step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container,gpu_gpu_0
0,22.7 MB,1.44 GB,206 µs,283 µs,
1,22.7 MB,1.44 GB,104 µs,277 µs,
2,22.7 MB,1.44 GB,104 µs,271 µs,
3,22.7 MB,1.44 GB,104 µs,265 µs,
4,22.7 MB,1.44 GB,104 µs,259 µs,
5,22.7 MB,1.44 GB,135 µs,253 µs,
6,22.7 MB,1.44 GB,131 µs,247 µs,
7,22.7 MB,1.44 GB,127 µs,240 µs,
8,22.7 MB,1.44 GB,123 µs,234 µs,
9,22.7 MB,1.44 GB,118 µs,228 µs,
10,22.7 MB,1.44 GB,114 µs,222 µs,
11,26.1 MB,1.44 GB,110 µs,216 µs,0%
12,26.1 MB,1.44 GB,106 µs,210 µs,0%
13,26.1 MB,1.44 GB,102 µs,163 µs,0%
14,26.1 MB,1.44 GB,97.7 µs,158 µs,0%
15,26.1 MB,1.44 GB,93.5 µs,153 µs,0%
16,26.1 MB,1.44 GB,89.4 µs,149 µs,0%
17,26.1 MB,1.44 GB,85.2 µs,144 µs,1%
18,26.1 MB,1.44 GB,81.1 µs,139 µs,1%
19,26.1 MB,1.44 GB,,134 µs,1%
20,26.1 MB,1.44 GB,,129 µs,1%
21,26.1 MB,1.44 GB,,125 µs,1%
22,26.1 MB,1.44 GB,,120 µs,1%
23,26.1 MB,1.44 GB,,115 µs,1%
24,26.1 MB,1.44 GB,,110 µs,1%
25,31.6 MB,1.44 GB,3.99 ms,105 µs,1%
26,31.6 MB,1.44 GB,4.25 ms,,1%
27,31.6 MB,1.44 GB,4.52 ms,,1%
28,31.6 MB,1.44 GB,4.79 ms,,0%
29,31.6 MB,1.44 GB,5.05 ms,,1%
30,31.6 MB,2.16 GB,5.32 ms,160 ms,1%
31,31.6 MB,2.16 GB,5.58 ms,168 ms,1%
32,31.6 MB,2.16 GB,5.85 ms,176 ms,0%
33,31.6 MB,2.16 GB,6.12 ms,184 ms,1%
34,31.6 MB,2.16 GB,6.38 ms,193 ms,0%
35,31.6 MB,2.16 GB,6.65 ms,201 ms,1%
36,31.6 MB,2.16 GB,6.91 ms,209 ms,1%
37,31.6 MB,2.16 GB,7.18 ms,217 ms,0%
38,31.6 MB,2.16 GB,7.44 ms,226 ms,1%
39,32.6 MB,2.16 GB,8.28 ms,234 ms,0%
