Index,response_time,cost
1,141.11404418945312,2.633188064575195e-06
2,138.99774551391602,2.593697931289673e-06
3,133.88638496398926,2.4983199434280395e-06
4,141.36323928833008,2.6378380451202395e-06
5,130.0959587097168,2.4275905895233155e-06
6,137.90993690490723,2.5733994226455687e-06
7,162.35642433166504,3.0295708780288696e-06
8,142.0492172241211,2.6506383934020996e-06
9,144.6932315826416,2.6999757013320926e-06
10,145.95799446105957,2.7235761766433715e-06
11,129.8396110534668,2.422807142257691e-06
12,145.15419006347656,2.708577186584473e-06
13,137.76965141296387,2.570781695365906e-06
14,133.24146270751953,2.4862856941223143e-06
15,147.50337600708008,2.7524129962921144e-06
16,144.3662166595459,2.693873602867127e-06
17,144.73223686218262,2.7007035398483277e-06
18,152.6289939880371,2.8480570278167727e-06
19,146.98314666748047,2.7427055168151855e-06
20,156.97617530822754,2.929175431251526e-06
21,146.0139274597168,2.7246198863983156e-06
22,152.8949737548828,2.8530202102661135e-06
23,143.0769920349121,2.6698166713714602e-06
24,133.71644020080566,2.495148774147034e-06
25,141.84885025024414,2.6468995456695558e-06
26,149.21579360961914,2.7843667087554936e-06
27,133.3397388458252,2.4881195268630985e-06
28,139.47830200195312,2.6026651153564457e-06
29,140.95640182495117,2.630246458053589e-06
30,161.21554374694824,3.0082820463180545e-06
31,155.52339553833008,2.9020665607452394e-06
32,138.60926628112793,2.5864489088058475e-06
33,129.60681915283203,2.418463245391846e-06
34,144.80323791503906,2.702028419494629e-06
35,136.1142635345459,2.5398921575546264e-06
36,141.18390083312988,2.6344915895462035e-06
37,153.23190689086914,2.859307382583618e-06
38,157.15818405151367,2.932571714401245e-06
39,338.3660316467285,6.313910150527954e-06
40,199.7100830078125,3.7265901489257815e-06
41,226.3545036315918,4.223775037765503e-06
42,188.16485404968262,3.5111561765670778e-06
43,168.84169578552246,3.1505860433578492e-06
44,156.50992393493652,2.9204751806259154e-06
45,164.4474983215332,3.06859031867981e-06
46,163.82527351379395,3.0569796037673953e-06
47,157.97686576843262,2.9478483152389527e-06
48,176.7186164855957,3.297569383621216e-06
49,165.43865203857422,3.087085247039795e-06
50,163.2495880126953,3.046237312316895e-06
51,161.6713523864746,3.0167874355316164e-06
52,182.30319023132324,3.401777529716492e-06
53,167.47426986694336,3.1250698757171634e-06
54,177.50463485717773,3.312236486434937e-06
55,190.7102108001709,3.558652533531189e-06
56,177.1728515625,3.3060454101562504e-06
57,155.95006942749023,2.910028295516968e-06
58,169.2582130432129,3.158358255386353e-06
59,402.6155948638916,7.512807000160217e-06
60,214.86201286315918,4.009325160026551e-06
