Index,GPU,AUTO
0,0.00029575,6.68e-05
1,0.00027625,6.536666666666667e-05
2,0.00028175,6.393333333333333e-05
3,0.00027550000000000003,6.249999999999999e-05
4,0.00026425,4.553333333333334e-05
5,0.00025825,4.436666666666666e-05
6,0.00023475000000000001,4.326666666666667e-05
7,0.00022874999999999998,3.03e-05
8,0.00022324999999999998,2.95e-05
9,0.0002175,2.8666666666666668e-05
10,0.000212,7.266666666666667e-06
11,0.00020624999999999997,7.1e-06
12,0.0002005,6.899999999999999e-06
13,0.00018449999999999999,6.733333333333333e-06
14,0.00017924999999999997,6.566666666666666e-06
15,0.00016475,6.4e-06
16,0.00016,0.0
17,0.00014549999999999999,0.0
18,0.00014074999999999998,0.08233333333333333
19,0.00013575000000000002,0.08700000000000001
20,0.00013099999999999999,0.18725
21,0.00012675000000000002,0.26260000000000006
22,0.00012199999999999998,0.27579999999999993
23,0.02808395,0.2892
24,0.08537,0.30240000000000006
25,0.09136833333333334,0.3158
26,0.138,0.32939999999999997
27,0.14633333333333334,0.3424
28,0.15500000000000003,0.3556
29,0.16333333333333333,0.36920000000000003
30,0.16874999999999998,0.3822
31,0.174,0.39180000000000004
32,0.18219999999999997,0.4048
33,0.1908,0.42000000000000004
34,0.19939999999999997,0.43339999999999995
35,0.194,0.4468
36,0.2008,0.4600000000000001
37,0.20739999999999997,0.4734
38,0.21400000000000002,0.4812
39,0.2204,0.49420000000000003
40,0.2112,0.5136000000000001
41,0.2258,0.5269999999999999
42,0.23200000000000004,0.54
43,0.24500000000000002,0.5533999999999999
44,0.2524,0.5668
45,0.2552,0.5780000000000001
46,0.2626,0.591
47,0.27,0.6044
48,0.27759999999999996,0.6162000000000001
49,0.2766,0.6294000000000001
50,0.2838,0.6212
51,0.2908,0.6668
52,0.29799999999999993,0.6852
53,0.3054,0.6954
54,0.31020000000000003,0.709
55,0.3174,0.7224
56,0.3224,0.7356
57,0.3292,0.7489999999999999
58,0.3366,0.7624000000000001
59,0.32819999999999994,0.7744
60,0.3398,0.7878
61,0.34659999999999996,0.7838
62,0.3534,0.6742000000000001
63,0.36019999999999996,0.734
64,0.367,0.7874000000000001
65,0.3738,0.8202
66,0.38079999999999997,0.8202
67,0.3876,0.8202
68,0.39459999999999995,0.8202
69,0.3892,0.7932
70,0.39459999999999995,0.8206
71,0.3604,0.8207999999999999
72,0.3382,0.8207999999999999
73,0.3304,0.8207999999999999
74,0.3532,0.8207999999999999
75,0.3522,0.8207999999999999
76,0.36900000000000005,0.8
77,0.37060000000000004,0.8192
78,0.37060000000000004,0.8202000000000002
79,0.37060000000000004,0.8202000000000002
80,0.37060000000000004,0.8260000000000002
81,0.37060000000000004,0.797
82,0.37060000000000004,0.7998000000000001
83,0.3564,0.8026
84,0.3458,0.8286
85,0.3266,0.8286
86,0.3202,0.7697999999999999
87,0.3308,0.7686000000000001
88,0.3412,0.7686000000000001
89,0.3412,0.7412000000000001
90,0.3278,0.7384000000000001
91,0.3218,0.6981999999999999
92,0.32280000000000003,0.7003999999999999
93,0.324,0.6688000000000001
94,0.325,0.6891999999999999
95,0.3262,0.6636000000000001
96,0.33440000000000003,0.6336
97,0.31920000000000004,0.6093999999999999
98,0.31920000000000004,0.6136
99,0.31920000000000004,0.6136
100,0.3026,0.5770000000000001
101,0.26260000000000006,0.5396000000000001
102,0.257,0.5142
103,0.23759999999999998,0.4878
104,0.23620000000000002,0.4878
105,0.20540000000000003,0.4548
106,0.20599999999999996,0.4548
107,0.21139999999999998,0.4548
108,0.21139999999999998,0.43760000000000004
109,0.20459999999999998,0.43760000000000004
110,0.1994,0.43760000000000004
111,0.19879999999999998,0.40140000000000003
112,0.1924,0.3496
113,0.1924,0.2744
114,0.1792,0.264
115,0.173,0.264
116,0.14900000000000002,0.24159999999999998
117,0.1436,0.24159999999999998
118,0.14420000000000002,0.24159999999999998
119,0.13624,0.2116
120,0.0889,0.2116
121,0.08408000000000002,0.15123920000000002
122,0.0829,0.15123920000000002
123,0.07982,0.15123920000000002
124,0.06956,0.1458392
125,0.06956,0.11363920000000001
126,0.06956,0.1074392
127,0.06956,0.1074392
128,0.06956,0.1074392
129,0.050617,0.1016392
130,0.050617,0.0692746
131,0.0506188,0.0243384
132,0.037221000000000004,0.024332799999999998
133,0.029342199999999995,0.0243396
134,0.0279422,0.0243396
135,0.0279422,0.030393749999999997
136,0.0128022,0.00019325
137,0.0050808,0.0001895
138,0.0062245,0.0001875
139,0.0062245,0.0001875
140,0.0062245,0.000198
141,0.008134666666666667,0.000169
142,0.0161,0.000166
143,0.0161,
144,0.0161,
145,0.0161,
146,0.000467,
147,0.000467,
