Execution Mode,Response Time
GPU,132.12900161743164
GPU,131.7708969116211
GPU,132.58118629455566
GPU,129.6311378479004
GPU,157.36689567565918
GPU,144.46158409118652
GPU,148.53534698486328
GPU,131.3671588897705
GPU,125.58584213256836
GPU,146.7409610748291
GPU,146.5217113494873
GPU,148.31228256225586
GPU,136.46483421325684
GPU,134.9142551422119
GPU,137.87999153137207
GPU,158.5618019104004
GPU,151.24859809875488
GPU,137.10956573486328
GPU,135.86773872375488
GPU,140.47279357910156
GPU,129.8436164855957
GPU,142.94371604919434
GPU,143.53575706481934
GPU,149.01251792907715
GPU,137.90454864501953
GPU,141.4219856262207
GPU,126.35369300842285
GPU,142.18482971191406
GPU,135.01105308532715
GPU,134.94586944580078
GPU,134.12628173828125
GPU,144.98558044433594
GPU,124.41425323486328
GPU,142.48676300048828
GPU,144.94595527648926
GPU,126.95770263671875
GPU,150.08974075317383
GPU,134.6263885498047
GPU,167.67034530639648
GPU,151.765775680542
GPU,124.13930892944336
GPU,130.55415153503418
GPU,144.82183456420898
GPU,125.83775520324707
GPU,140.86918830871582
GPU,135.7776165008545
GPU,149.76658821105957
GPU,135.64081192016602
GPU,141.9961929321289
GPU,140.30675888061523
GPU,134.76290702819824
GPU,127.70161628723145
GPU,133.29033851623535
GPU,142.22464561462402
GPU,125.35057067871094
GPU,134.92603302001953
GPU,130.18159866333008
GPU,129.12421226501465
GPU,135.19177436828613
GPU,144.2457675933838
GPU,144.69938278198242
GPU,133.1913948059082
GPU,134.44719314575195
GPU,135.3893756866455
GPU,151.23424530029297
GPU,126.29837989807129
GPU,134.78569984436035
GPU,148.14538955688477
GPU,135.20145416259766
GPU,140.0240421295166
GPU,133.12993049621582
GPU,126.73110961914062
GPU,126.00078582763672
GPU,150.55384635925293
GPU,147.59840965270996
GPU,127.84066200256348
GPU,126.15294456481934
GPU,125.85830688476562
GPU,137.4650478363037
GPU,126.92456245422363
GPU,152.47879028320312
GPU,140.8700466156006
GPU,149.07236099243164
GPU,137.86497116088867
GPU,139.92071151733398
GPU,159.37118530273438
GPU,133.92767906188965
GPU,136.78178787231445
GPU,124.78523254394531
GPU,133.0073356628418
GPU,142.79675483703613
GPU,132.02290534973145
GPU,147.63998985290527
GPU,144.08116340637207
GPU,146.19922637939453
GPU,157.9289436340332
GPU,149.11603927612305
GPU,135.95242500305176
GPU,147.3090648651123
GPU,173.2872486114502
GPU,135.80732345581055
GPU,140.45367240905762
GPU,129.9180507659912
GPU,148.54602813720703
GPU,123.32563400268555
GPU,145.02344131469727
GPU,129.07376289367676
GPU,151.38959884643555
GPU,141.4262294769287
GPU,135.0299835205078
GPU,129.85472679138184
GPU,133.9986801147461
GPU,126.8148422241211
GPU,145.6167697906494
GPU,133.99953842163086
GPU,134.60378646850586
GPU,143.5462474822998
GPU,138.99908065795898
GPU,141.62898063659668
GPU,138.63415718078613
GPU,159.0768337249756
GPU,126.35235786437988
GPU,140.80238342285156
GPU,127.05011367797852
GPU,163.07215690612793
GPU,135.20441055297852
GPU,125.91614723205566
GPU,133.4507942199707
GPU,132.9169750213623
GPU,143.8058853149414
GPU,131.3035488128662
GPU,147.4623680114746
GPU,140.42134284973145
GPU,136.1959457397461
GPU,141.78743362426758
GPU,129.27322387695312
GPU,159.06152725219727
GPU,124.27325248718262
GPU,140.16337394714355
GPU,143.9777374267578
GPU,157.22804069519043
GPU,123.25682640075684
GPU,132.6650619506836
GPU,146.41847610473633
GPU,151.4810562133789
GPU,150.90665817260742
GPU,146.96578979492188
GPU,134.19418334960938
GPU,144.28234100341797
GPU,136.05937957763672
