timestamp,matrix_size,response_time_ms,gpu_used
2025-09-14T10:01:07.425216,0,2598.231077194214,False
2025-09-14T10:01:07.542518,200,116.37234687805176,False
2025-09-14T10:01:07.701219,400,157.86314010620117,False
2025-09-14T10:01:07.852979,600,151.60322189331055,False
2025-09-14T10:01:07.964770,800,111.14096641540527,False
2025-09-14T10:01:08.076008,1000,110.5959415435791,False
2025-09-14T10:01:08.192906,1200,116.21212959289551,False
2025-09-14T10:01:08.305271,1400,111.67693138122559,False
2025-09-14T10:01:08.422159,1600,116.32704734802246,False
2025-09-14T10:01:08.540448,1800,117.56205558776855,False
2025-09-14T10:01:08.661885,2000,120.67914009094238,False
2025-09-14T10:01:08.809168,2200,146.6360092163086,False
2025-09-14T10:01:08.962833,2400,152.85992622375488,False
2025-09-14T10:01:09.117540,2600,153.94878387451172,False
2025-09-14T10:01:09.291359,2800,173.32816123962402,False
2025-09-14T10:01:09.488490,3000,195.36995887756348,False
2025-09-14T10:01:09.705853,3200,216.51196479797363,False
2025-09-14T10:01:09.941916,3400,235.35418510437012,False
2025-09-14T10:01:10.234840,3600,292.5717830657959,False
2025-09-14T10:01:10.537709,3800,302.51193046569824,False
2025-09-14T10:01:10.858861,4000,320.3258514404297,False
2025-09-14T10:01:11.307260,4200,447.5901126861572,False
2025-09-14T10:01:11.760176,4400,452.04877853393555,False
2025-09-14T10:01:12.186636,4600,425.65083503723145,False
2025-09-14T10:01:12.667031,4800,479.57777976989746,False
2025-09-14T10:01:13.185446,5000,517.7280902862549,False
2025-09-14T10:01:13.761681,5200,575.2389430999756,False
2025-09-14T10:01:14.368017,5400,605.48996925354,False
2025-09-14T10:01:15.050765,5600,681.8819046020508,False
2025-09-14T10:01:15.775488,5800,723.8359451293945,False
2025-09-14T10:01:16.544644,6000,768.3019638061523,False
2025-09-14T10:01:17.377810,6200,832.273006439209,False
2025-09-14T10:01:18.304639,6400,925.9581565856934,False
2025-09-14T10:01:19.276087,6600,970.5810546875,False
2025-09-14T10:01:20.425886,6800,1148.1611728668213,False
2025-09-14T10:01:21.838721,7000,1412.576675415039,False
2025-09-14T10:01:23.391307,7200,1551.5468120574951,False
2025-09-14T10:01:25.096606,7400,1704.4398784637451,False
2025-09-14T10:01:26.849431,7600,1752.0949840545654,False
2025-09-14T10:01:28.796618,7800,1946.2590217590332,False
2025-09-14T10:01:30.849058,8000,2051.8290996551514,False
2025-09-14T10:01:32.806064,8200,1955.7077884674072,False
2025-09-14T10:01:35.268753,8400,2461.7490768432617,False
2025-09-14T10:01:37.360298,8600,2091.2880897521973,False
2025-09-14T10:01:39.387124,8800,2026.0133743286133,False
2025-09-14T10:01:41.514919,9000,2126.9760131835938,False
2025-09-14T10:01:43.982831,9200,2467.620849609375,False
2025-09-14T10:01:46.437004,9400,2453.1848430633545,False
2025-09-14T10:01:49.095773,9600,2658.3540439605713,False
2025-09-14T10:01:52.564492,9800,3467.972993850708,False
2025-09-14T10:01:56.232533,10000,3667.4509048461914,False
2025-09-14T10:01:59.587918,10200,3354.4557094573975,False
2025-09-14T10:02:03.736462,10400,4147.701978683472,False
