step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container,gpu_gpu_0
0,11.6 MB,6.64 GB,157 µs,439 µs,
1,11.6 MB,6.64 GB,187 µs,439 µs,
2,11.6 MB,6.64 GB,183 µs,439 µs,
3,11.6 MB,6.64 GB,179 µs,439 µs,
4,11.6 MB,6.64 GB,175 µs,439 µs,
5,11.6 MB,6.64 GB,171 µs,365 µs,
6,11.6 MB,6.64 GB,168 µs,430 µs,
7,11.6 MB,6.64 GB,164 µs,367 µs,
8,11.6 MB,6.64 GB,160 µs,359 µs,
9,11.6 MB,6.64 GB,156 µs,352 µs,
10,11.6 MB,6.64 GB,152 µs,345 µs,
11,15.0 MB,6.64 GB,148 µs,338 µs,0%
12,15.0 MB,6.64 GB,144 µs,331 µs,0%
13,15.0 MB,6.64 GB,141 µs,323 µs,0%
14,15.0 MB,6.64 GB,137 µs,316 µs,0%
15,15.0 MB,6.64 GB,133 µs,309 µs,0%
16,15.0 MB,6.64 GB,76.7 µs,302 µs,0%
17,15.0 MB,6.64 GB,74.4 µs,295 µs,0%
18,15.0 MB,6.64 GB,72.1 µs,288 µs,0%
19,15.0 MB,6.64 GB,69.9 µs,280 µs,0%
20,15.0 MB,6.64 GB,67.6 µs,273 µs,0%
21,15.0 MB,6.64 GB,65.4 µs,266 µs,0%
22,15.0 MB,6.64 GB,63.1 µs,170 µs,0%
23,15.0 MB,6.64 GB,60.8 µs,170 µs,0%
24,15.0 MB,6.64 GB,58.6 µs,219 µs,0%
25,15.0 MB,6.64 GB,56.3 µs,213 µs,0%
26,15.0 MB,6.64 GB,54.1 µs,206 µs,0%
27,19.9 MB,6.64 GB,1.54 ms,200 µs,0%
28,19.9 MB,6.64 GB,1.62 ms,193 µs,0%
29,19.9 MB,11.1 GB,1.65 ms,156 ms,0%
30,19.9 MB,11.1 GB,1.73 ms,164 ms,0%
31,19.9 MB,11.1 GB,1.81 ms,172 ms,0%
32,19.9 MB,11.1 GB,1.89 ms,181 ms,0%
