,response_time_ms
0,31778.28693389893
1,141.88790321350098
2,135.40101051330566
3,135.43295860290527
4,139.40191268920898
5,139.50800895690918
6,140.88869094848633
7,146.43001556396484
8,215.8987522125244
9,136.10506057739258
10,135.32209396362305
11,155.0619602203369
12,144.14072036743164
13,169.89398002624512
14,185.5781078338623
15,175.6901741027832
16,141.72005653381348
17,138.1430625915527
18,134.41896438598633
19,130.84816932678223
20,132.54404067993164
21,133.5458755493164
22,134.1240406036377
23,136.34395599365234
24,137.99023628234863
25,142.5189971923828
26,141.93010330200195
27,208.47392082214355
28,135.89930534362793
29,134.5348358154297
30,138.70000839233398
31,135.06221771240234
32,139.07384872436523
33,134.05609130859375
34,135.33282279968262
35,158.30230712890625
36,138.35906982421875
37,152.99582481384277
38,155.1201343536377
39,139.2509937286377
40,136.92331314086914
41,154.1280746459961
42,141.3741111755371
43,152.88376808166504
44,159.62910652160645
45,155.49612045288086
46,144.1352367401123
47,211.4388942718506
48,142.52114295959473
49,135.06817817687988
50,221.4791774749756
51,160.7201099395752
52,147.11403846740723
53,314.72301483154297
54,141.48712158203125
55,417.59705543518066
56,141.33524894714355
57,138.02075386047363
58,161.4890098571777
59,154.13284301757812
60,153.5239219665527
61,139.14895057678223
62,141.5247917175293
63,222.78904914855957
64,140.53606986999512
65,137.60089874267578
66,141.95513725280762
67,142.29679107666016
68,146.53277397155762
69,221.0841178894043
70,237.6089096069336
71,133.8639259338379
72,258.40282440185547
73,157.32789039611816
74,139.79601860046387
75,176.55134201049805
76,140.25497436523438
77,135.56504249572754
78,136.51800155639648
79,139.37091827392578
80,145.3099250793457
81,155.39002418518066
82,140.10000228881836
83,139.93406295776367
84,135.32185554504397
85,136.34490966796875
86,145.13278007507324
87,141.46995544433594
88,210.38103103637695
89,136.70611381530762
90,153.21803092956543
91,138.43393325805664
92,140.1979923248291
93,139.085054397583
94,140.05088806152344
95,153.3341407775879
96,148.29516410827637
97,151.34406089782715
98,140.27738571166992
99,153.25427055358887
100,138.69690895080566
101,140.46907424926758
102,134.5200538635254
103,157.257080078125
104,139.56928253173828
105,209.14793014526367
106,145.81894874572754
107,145.7688808441162
108,176.06186866760254
109,138.36336135864258
110,140.9590244293213
111,389.3918991088867
112,197.90387153625488
113,139.65988159179688
114,188.6577606201172
115,132.84802436828613
116,137.41374015808103
117,137.18914985656738
118,142.07696914672852
119,153.16081047058103
120,135.01787185668945
121,142.10820198059082
122,209.66506004333496
123,150.3582000732422
124,134.90772247314453
125,139.65225219726562
126,204.23221588134768
127,155.78293800354004
128,138.49496841430664
129,137.51697540283203
130,160.32886505126953
131,148.26226234436035
132,145.96295356750488
133,133.79597663879397
134,138.1080150604248
135,149.49297904968262
136,161.8638038635254
137,193.4521198272705
138,136.66105270385742
139,134.01198387145996
140,137.47596740722656
141,149.8730182647705
142,135.8778476715088
143,157.94014930725098
144,153.4731388092041
145,136.2130641937256
146,138.24915885925293
147,136.1839771270752
148,137.76183128356934
149,152.2810459136963
150,164.7360324859619
151,136.3670825958252
152,219.57993507385257
153,141.5998935699463
154,140.66219329833984
155,135.0560188293457
156,133.88538360595703
157,160.5968475341797
158,136.66892051696777
159,136.83104515075684
160,461.16018295288086
161,137.8800868988037
162,152.49300003051758
163,154.71386909484863
164,136.43908500671387
165,133.89897346496582
166,134.70911979675293
167,141.20006561279297
168,136.84892654418945
169,402.3029804229736
170,178.31110954284668
171,221.0111618041992
172,136.63887977600098
173,142.41838455200195
174,161.4701747894287
175,136.2149715423584
176,136.93881034851074
177,133.6691379547119
178,152.37021446228027
179,138.3659839630127
180,137.4950408935547
181,142.34495162963867
182,136.9171142578125
183,140.23590087890625
184,166.1691665649414
185,137.7089023590088
186,152.8220176696777
187,139.71304893493652
188,145.064115524292
189,145.84589004516602
190,151.50713920593262
191,146.77977561950684
192,141.2961483001709
193,132.5852870941162
194,167.22416877746582
195,147.34697341918945
196,133.90517234802246
197,289.17598724365234
198,137.56799697875977
199,137.87317276000977
200,140.87390899658203
201,144.71077919006348
202,152.69088745117188
203,135.76912879943848
204,138.04388046264648
205,136.11388206481934
206,133.3940029144287
207,139.56475257873535
208,158.477783203125
209,133.7590217590332
210,138.14878463745117
211,134.11879539489746
212,173.5091209411621
213,151.82089805603027
214,143.47290992736816
215,136.22665405273438
216,137.21179962158203
217,130.92303276062012
218,150.84505081176758
219,151.2761116027832
220,142.27700233459473
221,156.9960117340088
222,197.9269981384277
223,139.87994194030762
224,151.14784240722656
225,172.82700538635254
226,136.5211009979248
227,142.17495918273926
228,338.9310836791992
229,140.18917083740234
230,133.82220268249512
231,152.81319618225098
232,132.60197639465332
233,136.55710220336914
234,134.92488861083984
235,139.15109634399414
236,142.81392097473145
237,137.06398010253906
238,287.29701042175293
239,139.48678970336914
240,163.14291954040527
241,138.68403434753418
242,140.23709297180176
243,139.1470432281494
244,136.1980438232422
245,140.1689052581787
246,136.6782188415527
247,160.14385223388672
248,139.14084434509277
249,156.66508674621582
250,281.36515617370605
251,139.37091827392578
252,197.8318691253662
253,145.4942226409912
254,155.89594841003418
255,161.1502170562744
256,137.5632286071777
257,136.83485984802246
258,139.8448944091797
259,143.2352066040039
260,139.678955078125
261,166.65291786193848
262,137.2969150543213
263,138.37003707885742
264,135.4658603668213
265,140.02680778503418
266,153.8088321685791
267,164.37983512878418
268,179.39376831054688
269,132.74502754211426
270,175.29892921447754
271,139.2519474029541
272,158.2040786743164
273,137.58492469787598
274,135.5891227722168
275,135.29014587402344
276,182.30080604553223
277,136.05499267578125
278,143.13912391662598
279,141.31927490234375
280,147.17388153076172
281,145.7350254058838
282,215.69085121154785
283,134.92608070373535
284,134.31596755981445
285,146.90613746643066
286,239.77088928222656
287,151.9339084625244
288,136.9922161102295
289,145.19810676574707
290,134.52696800231934
291,154.4477939605713
292,139.8720741271973
293,142.95291900634766
294,137.46023178100586
295,140.17295837402344
296,213.00601959228516
297,148.2689380645752
298,139.6808624267578
299,152.2669792175293
300,144.4559097290039
301,144.4869041442871
302,133.96406173706055
303,133.44717025756836
304,140.75326919555664
305,141.56270027160645
306,158.59317779541016
307,157.00888633728027
308,144.6688175201416
309,142.86494255065918
310,145.13492584228516
311,139.5871639251709
312,141.77298545837402
313,142.29774475097656
314,135.6489658355713
315,142.7438259124756
316,149.0030288696289
317,135.09726524353027
318,136.6782188415527
319,317.02494621276855
320,137.02988624572754
321,260.7078552246094
322,205.0490379333496
323,141.42894744873047
324,137.8929615020752
325,150.66027641296387
326,134.00816917419434
327,152.05621719360352
328,134.2158317565918
329,132.53402709960938
330,165.4648780822754
331,138.32759857177734
332,135.45703887939453
333,201.221227645874
334,144.6382999420166
335,131.2711238861084
336,136.7697715759277
337,136.40093803405762
338,134.5500946044922
339,135.7131004333496
340,137.9108428955078
341,131.9448947906494
342,132.79104232788086
343,135.34903526306152
344,142.28487014770508
345,179.5351505279541
346,138.4141445159912
347,136.05904579162598
348,247.04909324645996
349,137.07900047302246
350,145.1268196105957
351,159.05404090881348
352,207.7310085296631
353,195.67465782165527
354,139.54997062683103
355,135.3280544281006
356,139.54901695251465
357,140.63382148742676
358,145.2231407165527
359,145.13897895812988
360,149.65295791625977
361,137.0718479156494
362,137.77589797973633
363,141.27492904663086
364,139.7721767425537
365,141.16907119750977
366,165.5900478363037
367,155.1816463470459
368,138.80491256713867
369,133.05020332336426
370,139.77885246276855
371,240.02504348754883
372,139.87302780151367
373,153.08523178100586
374,132.5850486755371
375,174.29184913635254
376,138.4420394897461
377,142.14777946472168
378,514.4510269165039
379,137.68720626831055
380,137.10498809814453
381,139.2970085144043
382,455.27076721191406
383,139.80603218078613
384,173.6440658569336
385,153.08332443237305
386,148.27203750610352
387,137.02702522277832
388,136.71302795410156
389,149.33013916015625
390,136.6710662841797
391,149.39284324645996
392,139.42718505859375
393,140.91086387634277
394,148.79679679870603
395,177.97303199768066
396,134.91415977478027
397,139.0819549560547
398,257.1582794189453
399,166.2728786468506
400,212.752103805542
401,138.90719413757324
402,177.64616012573242
403,135.65778732299805
404,137.96401023864746
405,141.7243480682373
406,161.14020347595215
407,139.03212547302246
408,153.63669395446777
409,508.2440376281738
410,141.862154006958
411,136.84582710266113
412,136.53302192687988
413,139.9097442626953
414,153.2459259033203
415,138.68474960327148
416,135.30802726745603
417,215.83914756774905
418,155.75218200683594
419,160.8140468597412
420,136.2769603729248
421,133.14509391784668
422,139.71829414367676
423,141.3722038269043
424,138.85998725891113
425,241.455078125
426,139.25623893737793
427,139.4357681274414
428,139.24813270568848
429,159.05213356018066
430,141.62468910217285
431,140.92397689819336
432,139.7550106048584
433,154.8471450805664
434,209.17773246765137
435,179.23402786254883
436,142.41409301757812
437,141.2830352783203
438,158.0359935760498
439,135.89215278625488
440,160.89200973510742
441,144.54293251037598
442,167.02508926391602
443,141.4332389831543
444,152.5869369506836
445,137.4988555908203
446,370.4349994659424
447,170.7320213317871
448,149.69778060913086
449,135.25724411010742
450,157.00626373291016
451,136.5668773651123
452,162.83583641052246
453,226.9876003265381
454,138.70596885681152
455,135.93173027038574
456,136.63220405578613
457,149.72901344299316
458,133.9867115020752
459,135.2701187133789
460,134.85383987426758
461,205.55806159973145
462,140.68007469177246
463,144.66404914855957
464,134.97400283813477
465,143.53513717651367
466,143.77188682556152
467,154.6649932861328
468,161.6828441619873
469,161.8819236755371
470,135.66303253173828
471,134.20486450195312
472,212.3851776123047
473,152.8770923614502
474,140.83194732666016
475,136.45219802856445
476,186.5699291229248
477,156.27503395080566
478,138.91100883483887
479,142.43388175964355
480,143.84722709655762
481,142.49706268310547
482,143.29218864440918
483,143.265962600708
484,137.02702522277832
485,163.72990608215332
486,137.83502578735352
487,163.5439395904541
488,139.0678882598877
489,140.90490341186523
490,139.6479606628418
491,216.9177532196045
492,137.8798484802246
493,139.93406295776367
494,138.47994804382324
495,137.253999710083
496,146.60310745239258
497,136.52801513671875
498,133.7738037109375
499,133.08095932006836
