step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container,gpu_gpu_0
0,11.1 MB,6.64 GB,,,
1,11.1 MB,6.64 GB,,,
2,11.1 MB,6.64 GB,,,
3,11.1 MB,6.64 GB,,,
4,11.1 MB,6.64 GB,,,
5,11.1 MB,6.64 GB,,,
6,11.1 MB,6.64 GB,,,
7,11.1 MB,6.64 GB,,,
8,11.1 MB,6.64 GB,,,
9,14.5 MB,6.64 GB,,,0%
10,14.5 MB,6.64 GB,,,0%
11,14.5 MB,6.64 GB,,,0%
12,14.5 MB,6.64 GB,,,0%
13,14.5 MB,6.64 GB,,,0%
14,14.5 MB,6.64 GB,,,0%
15,14.5 MB,6.64 GB,,,0%
16,14.5 MB,6.64 GB,,,0%
17,14.5 MB,6.64 GB,,,0%
18,14.5 MB,6.64 GB,,,0%
19,19.3 MB,6.64 GB,1.10 ms,,0%
20,19.3 MB,6.64 GB,1.18 ms,,0%
21,19.3 MB,6.64 GB,1.26 ms,,0%
22,19.3 MB,6.64 GB,1.35 ms,,0%
23,19.3 MB,6.64 GB,1.43 ms,,0%
24,19.3 MB,10.3 GB,1.51 ms,137 ms,0%
25,19.3 MB,10.3 GB,1.60 ms,145 ms,0%
26,19.3 MB,10.3 GB,1.68 ms,154 ms,0%
27,19.3 MB,10.3 GB,1.76 ms,163 ms,0%
28,19.3 MB,10.3 GB,1.85 ms,171 ms,0%
29,19.3 MB,10.3 GB,1.93 ms,180 ms,0%
30,19.3 MB,10.3 GB,2.01 ms,188 ms,0%
31,19.3 MB,10.3 GB,1.55 ms,197 ms,0%
32,19.3 MB,10.3 GB,1.55 ms,206 ms,0%
33,19.3 MB,10.3 GB,1.55 ms,214 ms,0%
34,20.2 MB,10.3 GB,2.09 ms,223 ms,64%
35,20.2 MB,10.3 GB,2.16 ms,231 ms,70%
36,20.2 MB,10.3 GB,2.24 ms,240 ms,25%
37,20.2 MB,10.3 GB,2.31 ms,249 ms,15%
38,20.2 MB,10.3 GB,2.38 ms,257 ms,14%
39,20.2 MB,10.3 GB,2.45 ms,266 ms,20%
40,20.2 MB,10.3 GB,2.53 ms,274 ms,49%
41,20.2 MB,10.3 GB,2.60 ms,199 ms,34%
42,20.2 MB,13.3 GB,2.67 ms,305 ms,45%
43,20.2 MB,13.3 GB,2.75 ms,314 ms,16%
44,20.2 MB,13.3 GB,2.82 ms,323 ms,45%
45,20.2 MB,13.3 GB,2.89 ms,332 ms,32%
46,20.2 MB,13.3 GB,2.97 ms,341 ms,47%
47,20.2 MB,13.3 GB,2.48 ms,350 ms,30%
48,20.2 MB,13.3 GB,2.48 ms,359 ms,51%
49,20.2 MB,13.3 GB,2.48 ms,368 ms,29%
50,20.2 MB,13.3 GB,2.48 ms,377 ms,32%
51,21.4 MB,13.3 GB,3.17 ms,386 ms,44%
52,21.4 MB,13.3 GB,3.24 ms,395 ms,19%
53,21.4 MB,13.3 GB,3.31 ms,404 ms,45%
54,21.4 MB,13.3 GB,3.38 ms,413 ms,20%
55,21.4 MB,13.3 GB,3.45 ms,422 ms,19%
56,21.4 MB,13.3 GB,3.52 ms,431 ms,28%
57,21.4 MB,13.3 GB,3.59 ms,436 ms,36%
58,21.4 MB,13.3 GB,3.66 ms,445 ms,15%
59,21.4 MB,13.3 GB,3.73 ms,454 ms,44%
60,21.4 MB,13.3 GB,3.80 ms,463 ms,16%
61,21.4 MB,13.3 GB,3.87 ms,472 ms,42%
62,21.4 MB,13.3 GB,3.94 ms,480 ms,15%
63,21.4 MB,13.3 GB,4.01 ms,489 ms,45%
64,21.4 MB,13.3 GB,4.08 ms,498 ms,45%
65,22.1 MB,13.3 GB,4.08 ms,507 ms,15%
66,22.1 MB,13.3 GB,4.09 ms,516 ms,37%
67,22.1 MB,13.3 GB,4.09 ms,525 ms,38%
68,22.1 MB,13.3 GB,4.09 ms,534 ms,0%
69,22.1 MB,13.3 GB,3.88 ms,544 ms,0%
70,22.1 MB,13.3 GB,3.88 ms,544 ms,0%
71,22.1 MB,13.3 GB,3.88 ms,544 ms,0%
72,22.1 MB,13.3 GB,3.88 ms,544 ms,10%
73,22.1 MB,13.3 GB,3.88 ms,544 ms,0%
74,22.1 MB,13.3 GB,3.88 ms,476 ms,0%
75,22.1 MB,13.3 GB,3.88 ms,476 ms,33%
76,22.1 MB,13.3 GB,3.88 ms,476 ms,37%
77,22.1 MB,13.3 GB,3.88 ms,476 ms,57%
78,22.1 MB,13.3 GB,3.88 ms,476 ms,6%
79,22.1 MB,13.3 GB,3.86 ms,476 ms,9%
80,22.1 MB,13.3 GB,3.86 ms,476 ms,38%
81,22.1 MB,13.3 GB,3.86 ms,476 ms,46%
82,22.1 MB,13.3 GB,3.86 ms,476 ms,45%
83,22.1 MB,13.3 GB,3.21 ms,476 ms,0%
84,22.5 MB,13.3 GB,3.41 ms,357 ms,0%
85,22.5 MB,13.3 GB,3.41 ms,427 ms,16%
86,22.5 MB,13.3 GB,3.41 ms,427 ms,45%
87,22.5 MB,13.3 GB,3.41 ms,427 ms,40%
88,22.5 MB,13.3 GB,3.41 ms,427 ms,49%
89,22.5 MB,13.3 GB,3.41 ms,427 ms,20%
90,22.5 MB,13.3 GB,3.41 ms,427 ms,8%
91,22.5 MB,13.3 GB,3.41 ms,356 ms,27%
92,22.5 MB,13.3 GB,3.41 ms,411 ms,32%
93,22.5 MB,13.3 GB,3.41 ms,411 ms,34%
94,22.5 MB,13.3 GB,3.16 ms,411 ms,0%
95,22.5 MB,13.3 GB,3.16 ms,411 ms,45%
96,22.5 MB,13.3 GB,3.16 ms,411 ms,44%
97,22.5 MB,13.3 GB,3.17 ms,411 ms,69%
98,22.5 MB,13.3 GB,3.17 ms,411 ms,24%
99,22.5 MB,13.3 GB,3.17 ms,411 ms,37%
100,22.5 MB,13.3 GB,3.17 ms,411 ms,61%
101,22.5 MB,13.3 GB,3.17 ms,411 ms,70%
102,22.5 MB,13.3 GB,3.17 ms,365 ms,32%
103,22.5 MB,13.3 GB,3.17 ms,365 ms,43%
104,22.5 MB,13.3 GB,3.17 ms,365 ms,2%
105,22.5 MB,13.3 GB,3.17 ms,381 ms,0%
106,22.5 MB,13.3 GB,3.17 ms,381 ms,2%
107,22.5 MB,13.3 GB,3.17 ms,381 ms,33%
108,22.5 MB,13.3 GB,3.17 ms,381 ms,29%
109,22.6 MB,13.3 GB,3.18 ms,381 ms,21%
110,22.6 MB,13.3 GB,3.18 ms,381 ms,17%
111,22.6 MB,13.3 GB,2.96 ms,381 ms,23%
112,22.6 MB,13.3 GB,2.96 ms,381 ms,45%
113,22.6 MB,13.3 GB,2.96 ms,381 ms,56%
114,22.6 MB,13.3 GB,2.96 ms,381 ms,52%
115,22.6 MB,13.3 GB,2.96 ms,381 ms,45%
116,22.6 MB,13.3 GB,2.96 ms,381 ms,41%
117,22.6 MB,13.3 GB,2.96 ms,401 ms,33%
118,22.6 MB,13.3 GB,2.96 ms,401 ms,41%
119,22.6 MB,13.3 GB,2.96 ms,401 ms,12%
120,22.6 MB,13.3 GB,2.96 ms,432 ms,20%
121,22.6 MB,13.3 GB,2.96 ms,432 ms,33%
122,22.6 MB,13.3 GB,2.96 ms,432 ms,18%
123,22.6 MB,13.3 GB,2.96 ms,432 ms,22%
124,22.2 MB,13.3 GB,3.16 ms,432 ms,0%
125,22.2 MB,13.3 GB,2.73 ms,432 ms,0%
126,22.2 MB,13.3 GB,2.79 ms,432 ms,0%
127,22.2 MB,13.3 GB,2.85 ms,432 ms,0%
128,22.2 MB,13.3 GB,2.90 ms,432 ms,0%
129,22.2 MB,13.3 GB,3.40 ms,432 ms,0%
130,22.2 MB,13.3 GB,3.40 ms,432 ms,0%
131,22.2 MB,13.3 GB,3.40 ms,432 ms,0%
132,22.2 MB,13.3 GB,3.40 ms,432 ms,0%
133,22.2 MB,13.3 GB,3.40 ms,432 ms,0%
134,22.2 MB,13.3 GB,3.40 ms,380 ms,0%
135,22.2 MB,13.3 GB,3.40 ms,387 ms,0%
136,22.2 MB,13.3 GB,2.71 ms,323 ms,0%
137,22.2 MB,13.3 GB,2.71 ms,384 ms,0%
138,22.2 MB,13.3 GB,2.71 ms,377 ms,0%
139,22.2 MB,13.3 GB,2.71 ms,369 ms,0%
