,matrix_size,response_time_ms,gpu_used
0,0,2598.231077194214,False
1,200,116.37234687805176,False
2,400,157.86314010620117,False
3,600,151.60322189331055,False
4,800,111.14096641540527,False
5,1000,110.5959415435791,False
6,1200,116.21212959289552,False
7,1400,111.6769313812256,False
8,1600,116.32704734802246,False
9,1800,117.56205558776855,False
10,2000,120.67914009094238,False
11,2200,146.6360092163086,False
12,2400,152.85992622375488,False
13,2600,153.94878387451172,False
14,2800,173.32816123962402,False
15,3000,195.36995887756348,False
16,3200,216.51196479797363,False
17,3400,235.35418510437012,False
18,3600,292.5717830657959,False
19,3800,302.51193046569824,False
20,4000,320.3258514404297,False
21,4200,447.5901126861572,False
22,4400,452.04877853393555,False
23,4600,425.65083503723145,False
24,4800,479.57777976989746,False
25,5000,517.7280902862549,False
26,5200,575.2389430999756,False
27,5400,605.48996925354,False
28,5600,681.8819046020508,False
29,5800,723.8359451293945,False
30,6000,768.3019638061523,False
31,6200,832.273006439209,False
32,6400,925.9581565856934,False
33,6600,970.5810546875,False
34,6800,1148.1611728668213,False
35,7000,1412.576675415039,False
36,7200,1551.5468120574951,False
37,7400,1704.4398784637451,False
38,7600,1752.0949840545654,False
39,7800,1946.2590217590332,False
40,8000,2051.8290996551514,False
41,8200,1955.7077884674072,False
42,8400,2461.7490768432617,False
43,8600,2091.2880897521973,False
44,8800,2026.0133743286133,False
45,9000,2126.9760131835938,False
46,9200,2467.620849609375,False
47,9400,2453.1848430633545,False
48,9600,2658.3540439605713,False
49,9800,3467.972993850708,False
50,10000,3667.4509048461914,False
51,10200,3354.4557094573975,False
52,10400,4147.701978683472,False
53,10600,4269.8798179626465,False
54,10800,3462.3990058898926,False
55,11000,3809.6861839294434,False
56,11200,3809.3361854553223,False
57,11400,5125.566005706787,False
58,11600,5510.693311691284,False
59,11800,,
60,12000,,
61,12200,,
62,12400,,
63,12600,,
64,12800,,
65,13000,,
66,13200,,
67,13400,,
68,13600,,
69,13800,,
70,14000,7870.997190475464,False
71,14200,7380.685091018677,False
72,14400,8089.781999588013,False
73,14600,9240.85283279419,False
74,14800,9258.758068084717,False
75,15000,9644.983053207396,False
76,15200,11405.550956726074,False
77,15400,,
78,15600,,
79,15800,,
80,16000,,
81,16200,,
82,16400,,
83,16600,,
84,16800,,
85,17000,,
86,17200,,
87,17400,,
88,17600,,
89,17800,,
90,18000,15191.102266311646,False
91,18200,16592.344045639038,False
92,18400,16993.386030197144,False
93,18600,18267.30895042419,False
94,18800,,
95,19000,,
96,19200,,
97,19400,,
98,19600,,
99,19800,,
100,20000,,
