,matrix_size,response_time_ms,gpu_used
0,0,1946.737051010132,False
1,200,112.6861572265625,False
2,400,118.1938648223877,False
3,600,117.37990379333496,False
4,800,117.28572845458984,False
5,1000,110.8250617980957,False
6,1200,114.82810974121094,False
7,1400,111.6018295288086,False
8,1600,107.02896118164062,False
9,1800,126.68514251708984,False
10,2000,173.96187782287598,False
11,2200,142.3969268798828,False
12,2400,149.49512481689453,False
13,2600,172.9750633239746,False
14,2800,199.9611854553223,False
15,3000,214.17903900146484,False
16,3200,228.38687896728516,False
17,3400,266.9413089752197,False
18,3600,280.06601333618164,False
19,3800,348.87194633483887,False
20,4000,537.269115447998,False
21,4200,511.5010738372803,False
22,4400,454.5321464538574,False
23,4600,517.078161239624,False
24,4800,665.4770374298096,False
25,5000,532.167911529541,False
26,5200,604.6679019927979,False
27,5400,741.955041885376,False
28,5600,809.7760677337646,False
29,5800,878.1540393829346,False
30,6000,785.8676910400391,False
31,6200,835.4079723358154,False
32,6400,901.4620780944824,False
33,6600,1071.7990398406982,False
34,6800,1053.7900924682615,False
35,7000,1122.17116355896,False
36,7200,1211.4579677581787,False
37,7400,1287.2319221496582,False
38,7600,1463.9122486114502,False
39,7800,1533.276081085205,False
40,8000,1555.4208755493164,False
41,8200,1822.4940299987793,False
42,8400,2046.6609001159668,False
43,8600,2322.756052017212,False
44,8800,2250.8227825164795,False
45,9000,2798.473119735718,False
46,9200,2966.5021896362305,False
47,9400,2763.14115524292,False
48,9600,3172.537088394165,False
49,9800,2810.6181621551514,False
50,10000,2922.5940704345703,False
51,10200,2948.884963989258,False
52,10400,3330.630302429199,False
53,10600,3650.8829593658447,False
54,10800,4559.505939483643,False
55,11000,4664.561748504639,False
56,11200,4972.568988800049,False
57,11400,3990.17882347107,False
58,11600,,
59,11800,,
60,12000,,
61,12200,,
62,12400,,
63,12600,,
64,12800,,
65,13000,,
66,13200,,
67,13400,,
68,13600,6725.99196434021,False
69,13800,7785.200357437134,False
70,14000,8392.762899398804,False
71,14200,7883.807897567749,False
72,14400,,
73,14600,,
74,14800,,
75,15000,,
76,15200,,
77,15400,,
78,15600,,
79,15800,,
80,16000,,
81,16200,,
82,16400,11529.016971588137,False
83,16600,15330.188989639282,False
84,16800,12492.997884750366,False
85,17000,14949.753761291504,False
86,17200,,
87,17400,,
88,17600,,
89,17800,,
90,18000,,
91,18200,,
92,18400,,
93,18600,,
94,18800,,
95,19000,,
96,19200,,
97,19400,20090.53683280945,False
98,19600,19469.93613243103,False
99,19800,21561.792135238647,False
100,20000,20524.64771270752,False
