step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container
0,10.3 MB,4.94 GB,266 µs,112 µs
1,10.3 MB,4.94 GB,260 µs,109 µs
2,10.3 MB,4.94 GB,253 µs,106 µs
3,10.3 MB,4.94 GB,247 µs,104 µs
4,10.3 MB,4.94 GB,240 µs,101 µs
5,10.3 MB,4.94 GB,234 µs,98.4 µs
6,10.3 MB,4.94 GB,227 µs,95.8 µs
7,10.3 MB,4.94 GB,221 µs,93.2 µs
8,10.3 MB,4.94 GB,214 µs,90.5 µs
9,10.3 MB,4.94 GB,208 µs,87.9 µs
10,10.3 MB,4.94 GB,86.2 µs,85.3 µs
11,10.3 MB,4.94 GB,86.2 µs,82.7 µs
12,10.3 MB,4.94 GB,86.2 µs,80.0 µs
13,10.3 MB,5.39 GB,86.2 µs,77.4 µs
14,10.3 MB,5.39 GB,109 µs,74.8 µs
15,10.3 MB,5.39 GB,105 µs,
16,10.3 MB,5.39 GB,100 µs,
17,17.8 MB,5.39 GB,96.1 µs,
18,17.8 MB,5.39 GB,91.9 µs,
19,17.8 MB,5.39 GB,87.7 µs,
20,17.8 MB,5.39 GB,83.5 µs,
21,17.8 MB,5.39 GB,79.2 µs,
22,17.8 MB,5.39 GB,75.0 µs,
23,17.8 MB,5.39 GB,70.8 µs,
24,17.8 MB,5.39 GB,66.6 µs,
25,17.8 MB,5.39 GB,,
26,17.8 MB,5.39 GB,,
27,17.8 MB,5.39 GB,,
28,17.8 MB,5.39 GB,,
29,17.8 MB,5.39 GB,,
30,17.8 MB,5.39 GB,,
31,17.8 MB,6.13 GB,,2.20 s
32,17.8 MB,6.13 GB,,2.28 s
33,17.8 MB,6.13 GB,,2.37 s
34,17.8 MB,6.13 GB,,2.46 s
35,17.8 MB,6.13 GB,,2.55 s
36,18.3 MB,6.13 GB,785 µs,2.64 s
37,18.3 MB,6.13 GB,812 µs,2.72 s
38,18.3 MB,6.13 GB,840 µs,2.81 s
39,18.3 MB,6.13 GB,867 µs,2.90 s
40,18.3 MB,6.13 GB,894 µs,2.99 s
41,18.3 MB,6.13 GB,921 µs,3.07 s
42,18.3 MB,6.13 GB,948 µs,3.16 s
43,18.3 MB,6.13 GB,975 µs,3.25 s
44,18.3 MB,6.13 GB,1.00 ms,3.34 s
45,18.3 MB,6.13 GB,1.03 ms,3.43 s
46,18.3 MB,6.13 GB,1.06 ms,3.51 s
47,18.3 MB,6.40 GB,1.08 ms,3.56 s
48,18.3 MB,6.40 GB,1.11 ms,3.64 s
49,18.3 MB,6.40 GB,1.14 ms,3.73 s
50,18.3 MB,6.40 GB,1.16 ms,3.82 s
51,18.3 MB,6.40 GB,1.19 ms,3.90 s
52,18.3 MB,6.40 GB,1.22 ms,3.99 s
53,18.3 MB,6.40 GB,1.25 ms,4.08 s
54,18.3 MB,6.40 GB,1.27 ms,4.16 s
55,19.5 MB,6.40 GB,1.42 ms,4.25 s
56,19.5 MB,6.40 GB,1.78 ms,4.34 s
57,19.5 MB,6.40 GB,1.78 ms,4.42 s
58,19.5 MB,5.70 GB,1.78 ms,4.61 s
59,19.5 MB,5.70 GB,1.78 ms,4.70 s
60,19.5 MB,5.70 GB,1.78 ms,4.79 s
61,19.5 MB,5.70 GB,1.78 ms,4.88 s
62,19.5 MB,5.70 GB,1.78 ms,4.97 s
63,19.5 MB,5.70 GB,1.78 ms,5.06 s
64,19.5 MB,5.70 GB,1.78 ms,5.15 s
65,19.5 MB,5.70 GB,1.78 ms,5.24 s
66,19.5 MB,5.70 GB,1.78 ms,5.33 s
67,19.5 MB,5.70 GB,1.78 ms,5.33 s
68,19.5 MB,5.70 GB,1.78 ms,5.33 s
69,19.5 MB,5.70 GB,1.78 ms,5.33 s
70,19.5 MB,5.70 GB,1.78 ms,5.33 s
71,19.5 MB,5.70 GB,1.78 ms,5.33 s
72,19.5 MB,5.70 GB,1.78 ms,5.33 s
73,19.5 MB,6.76 GB,1.78 ms,4.43 s
74,19.6 MB,6.76 GB,1.61 ms,4.52 s
75,19.6 MB,6.76 GB,1.61 ms,4.61 s
76,19.6 MB,6.76 GB,1.61 ms,5.42 s
77,19.6 MB,6.76 GB,1.61 ms,5.42 s
78,19.6 MB,6.76 GB,1.61 ms,5.42 s
79,19.6 MB,6.76 GB,1.61 ms,5.42 s
80,19.6 MB,6.76 GB,1.61 ms,5.42 s
81,19.6 MB,6.76 GB,1.61 ms,5.42 s
