,response_time_ms
0,3355.8149337768555
1,141.88504219055176
2,139.31703567504883
3,127.58684158325195
4,164.8540496826172
5,128.60703468322754
6,174.1011142730713
7,143.6290740966797
8,137.02011108398438
9,130.36704063415527
10,125.19407272338869
11,126.07383728027344
12,125.86593627929688
13,137.53700256347656
14,128.36408615112305
15,168.66087913513184
16,130.63621520996094
17,122.24483489990234
18,157.41801261901855
19,125.62298774719238
20,158.74099731445312
21,128.8740634918213
22,129.76598739624023
23,125.08797645568848
24,121.9019889831543
25,128.40580940246582
26,170.29786109924316
27,127.83503532409668
28,167.0210361480713
29,129.40406799316406
30,160.9201431274414
31,127.68006324768066
32,131.74009323120117
33,120.26071548461914
34,116.82891845703124
35,115.53525924682616
36,116.09387397766112
37,197.36075401306152
38,129.77910041809082
39,162.80794143676758
40,139.05692100524902
41,129.7311782836914
42,127.93707847595216
43,123.21615219116212
44,135.56289672851562
45,163.86795043945312
46,125.20503997802734
47,125.35405158996582
48,130.4788589477539
49,164.89410400390625
50,130.2499771118164
51,128.68213653564453
52,167.9542064666748
53,122.42507934570312
54,130.9981346130371
55,170.37105560302734
56,165.79413414001465
57,122.47109413146973
58,119.43316459655762
59,163.161039352417
60,122.23672866821288
61,125.244140625
62,119.87924575805664
63,162.1408462524414
64,124.12714958190918
65,126.88207626342772
66,126.19400024414062
67,123.43907356262208
68,124.5110034942627
69,161.83996200561523
70,128.47900390625
71,124.45640563964844
72,133.70490074157715
73,276.3099670410156
74,170.759916305542
75,124.4049072265625
76,169.13986206054688
77,161.51022911071777
78,125.52285194396973
79,133.78500938415527
80,148.84495735168457
81,135.7278823852539
82,139.14108276367188
83,140.6149864196777
84,139.1298770904541
85,133.71586799621582
86,133.60095024108887
87,134.7208023071289
88,137.6321315765381
89,177.0319938659668
90,141.45469665527344
91,127.83002853393556
92,136.89923286437988
93,139.9850845336914
94,172.49608039855957
95,128.99184226989746
96,133.3639621734619
97,140.87700843811035
98,145.13373374938965
99,138.3209228515625
100,135.8621120452881
101,170.44305801391602
102,129.16207313537598
103,176.80001258850098
104,137.9079818725586
105,128.21388244628906
106,131.73794746398926
107,185.05406379699707
108,137.42899894714355
109,141.9961452484131
110,169.31891441345215
111,172.42193222045898
112,179.15010452270508
113,134.63807106018066
114,134.55510139465332
115,140.32483100891113
116,143.73397827148438
117,145.74480056762695
118,136.03591918945312
119,140.6111717224121
120,147.51911163330078
121,142.7452564239502
122,138.83209228515625
123,173.88200759887695
124,137.1016502380371
125,138.07106018066406
126,142.0729160308838
127,140.0909423828125
128,136.94167137145996
129,146.8510627746582
130,140.8371925354004
131,146.7690467834473
132,126.20091438293456
133,177.5369644165039
134,135.04409790039062
135,137.53795623779297
136,137.24398612976074
137,135.31494140625
138,213.54293823242188
139,140.06996154785156
140,142.6868438720703
141,173.8898754119873
142,139.12487030029297
143,141.38412475585938
144,134.8731517791748
145,170.85909843444824
146,142.5192356109619
147,143.98598670959473
148,135.51878929138184
149,138.40270042419434
150,177.71291732788086
151,143.4319019317627
152,134.75584983825684
153,173.80619049072266
154,131.55603408813477
155,140.82717895507812
156,152.70185470581055
157,135.89811325073242
158,138.1549835205078
159,174.49593544006348
160,140.3210163116455
161,138.1368637084961
162,182.2969913482666
163,130.44095039367676
164,136.12794876098633
165,162.26601600646973
166,127.71725654602052
167,125.58579444885254
168,125.55527687072754
169,121.52719497680664
170,125.68974494934082
171,134.3679428100586
172,135.84208488464355
173,131.23202323913574
174,129.4689178466797
175,130.43785095214844
176,122.64394760131836
177,125.46777725219728
178,162.02902793884277
179,123.03304672241212
180,129.50921058654785
181,132.8587532043457
182,127.3641586303711
183,128.3867359161377
184,124.35603141784668
185,126.8761157989502
186,139.0540599822998
187,166.4109230041504
188,125.90622901916504
189,123.54087829589844
190,127.69389152526855
191,164.0620231628418
192,137.57085800170898
193,130.07807731628418
194,169.1129207611084
195,131.7298412322998
196,140.18917083740234
197,138.1058692932129
198,131.52098655700684
199,138.78297805786133
200,138.18597793579102
201,136.42072677612305
202,178.79605293273926
203,176.8181324005127
204,139.9059295654297
205,136.02781295776367
206,140.0158405303955
207,176.1460304260254
208,141.42680168151855
209,138.6568546295166
210,181.347131729126
211,130.82480430603027
212,144.3030834197998
213,125.35500526428224
214,125.3211498260498
215,127.8362274169922
