step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container
0,22.1 MB,914 MB,54.6 µs,
1,22.1 MB,914 MB,52.3 µs,
2,25.5 MB,919 MB,49.9 µs,
3,25.5 MB,919 MB,47.5 µs,
4,25.5 MB,919 MB,45.1 µs,
5,25.5 MB,919 MB,42.7 µs,
6,25.5 MB,919 MB,40.4 µs,
7,25.5 MB,919 MB,,
8,25.5 MB,919 MB,,
9,25.5 MB,919 MB,,
10,25.5 MB,919 MB,,
11,25.5 MB,919 MB,,
12,25.5 MB,919 MB,,
13,25.5 MB,919 MB,,
14,31.3 MB,919 MB,3.36 ms,
15,31.3 MB,919 MB,3.62 ms,
16,31.3 MB,919 MB,3.87 ms,
17,31.3 MB,919 MB,4.12 ms,
18,31.3 MB,919 MB,4.38 ms,
19,31.3 MB,919 MB,4.63 ms,
20,31.3 MB,916 MB,4.89 ms,267 ms
21,31.3 MB,916 MB,5.14 ms,281 ms
22,31.3 MB,916 MB,5.39 ms,295 ms
23,31.3 MB,916 MB,5.65 ms,310 ms
24,31.3 MB,916 MB,5.90 ms,324 ms
25,31.3 MB,916 MB,6.15 ms,338 ms
26,31.3 MB,916 MB,6.41 ms,353 ms
27,31.3 MB,916 MB,6.66 ms,367 ms
28,31.3 MB,916 MB,4.87 ms,381 ms
29,32.5 MB,916 MB,7.46 ms,396 ms
30,21.4 MB,916 MB,7.72 ms,410 ms
31,21.4 MB,916 MB,7.99 ms,425 ms
32,21.4 MB,916 MB,8.25 ms,439 ms
33,21.4 MB,916 MB,8.52 ms,453 ms
34,21.4 MB,916 MB,8.78 ms,468 ms
35,21.4 MB,916 MB,9.04 ms,482 ms
36,21.4 MB,916 MB,9.31 ms,496 ms
37,21.4 MB,916 MB,9.57 ms,511 ms
38,21.4 MB,916 MB,9.84 ms,525 ms
39,21.4 MB,916 MB,10.1 ms,539 ms
40,21.4 MB,916 MB,10.4 ms,554 ms
41,21.4 MB,916 MB,10.6 ms,568 ms
42,22.1 MB,916 MB,11.0 ms,582 ms
43,22.1 MB,916 MB,11.2 ms,597 ms
44,22.1 MB,916 MB,11.5 ms,611 ms
45,22.1 MB,916 MB,11.8 ms,615 ms
46,22.1 MB,916 MB,12.0 ms,629 ms
47,22.1 MB,916 MB,12.3 ms,643 ms
48,22.1 MB,916 MB,12.6 ms,657 ms
49,22.1 MB,916 MB,12.8 ms,671 ms
50,22.1 MB,916 MB,13.1 ms,685 ms
51,22.1 MB,916 MB,13.4 ms,699 ms
52,22.1 MB,916 MB,13.6 ms,714 ms
53,22.1 MB,916 MB,13.9 ms,728 ms
54,22.1 MB,916 MB,14.2 ms,742 ms
55,22.1 MB,916 MB,14.4 ms,756 ms
56,22.1 MB,916 MB,14.7 ms,770 ms
57,22.1 MB,916 MB,12.7 ms,784 ms
58,22.1 MB,916 MB,12.7 ms,798 ms
59,21.8 MB,916 MB,15.7 ms,812 ms
60,21.8 MB,916 MB,16.0 ms,826 ms
61,21.8 MB,916 MB,16.2 ms,847 ms
62,21.8 MB,916 MB,16.5 ms,695 ms
63,21.8 MB,916 MB,16.5 ms,709 ms
64,21.8 MB,916 MB,16.5 ms,723 ms
65,21.8 MB,916 MB,16.5 ms,850 ms
66,21.8 MB,916 MB,16.5 ms,850 ms
67,21.8 MB,916 MB,16.5 ms,850 ms
68,21.8 MB,916 MB,16.5 ms,850 ms
69,21.8 MB,916 MB,16.5 ms,850 ms
70,21.8 MB,916 MB,16.5 ms,850 ms
71,21.8 MB,916 MB,16.5 ms,850 ms
72,21.6 MB,916 MB,16.6 ms,850 ms
73,21.6 MB,916 MB,16.6 ms,850 ms
74,21.6 MB,916 MB,16.7 ms,850 ms
75,21.6 MB,916 MB,16.7 ms,850 ms
76,21.6 MB,916 MB,16.7 ms,729 ms
77,21.6 MB,916 MB,16.7 ms,825 ms
78,21.6 MB,916 MB,16.7 ms,825 ms
79,21.6 MB,916 MB,16.7 ms,825 ms
80,21.6 MB,916 MB,16.7 ms,815 ms
81,21.6 MB,916 MB,16.7 ms,815 ms
82,21.6 MB,916 MB,16.7 ms,815 ms
83,21.6 MB,916 MB,16.7 ms,815 ms
84,21.6 MB,916 MB,16.7 ms,815 ms
85,21.6 MB,916 MB,16.7 ms,815 ms
86,21.6 MB,916 MB,16.7 ms,815 ms
87,21.6 MB,916 MB,16.7 ms,815 ms
88,21.6 MB,916 MB,13.1 ms,815 ms
89,21.6 MB,916 MB,12.2 ms,815 ms
90,21.6 MB,916 MB,12.2 ms,815 ms
91,21.6 MB,916 MB,12.2 ms,815 ms
92,21.6 MB,916 MB,12.2 ms,816 ms
93,21.6 MB,916 MB,12.2 ms,816 ms
94,21.6 MB,916 MB,12.2 ms,816 ms
95,21.6 MB,916 MB,12.2 ms,675 ms
96,21.6 MB,916 MB,12.2 ms,512 ms
97,21.6 MB,916 MB,12.2 ms,512 ms
98,21.6 MB,916 MB,12.2 ms,512 ms
99,21.6 MB,916 MB,12.2 ms,512 ms
100,21.6 MB,916 MB,12.2 ms,512 ms
101,21.6 MB,916 MB,12.2 ms,512 ms
102,21.6 MB,916 MB,8.11 ms,512 ms
103,21.6 MB,916 MB,9.53 ms,512 ms
104,21.6 MB,916 MB,8.09 ms,512 ms
105,21.6 MB,916 MB,7.93 ms,347 ms
106,21.6 MB,916 MB,6.09 ms,347 ms
107,21.6 MB,916 MB,6.09 ms,347 ms
108,21.6 MB,916 MB,6.09 ms,347 ms
109,21.6 MB,916 MB,6.09 ms,347 ms
110,21.6 MB,916 MB,6.09 ms,347 ms
111,21.6 MB,916 MB,6.09 ms,347 ms
112,21.6 MB,916 MB,6.09 ms,347 ms
113,21.6 MB,916 MB,6.09 ms,235 ms
114,21.6 MB,916 MB,6.09 ms,235 ms
115,21.6 MB,916 MB,6.09 ms,235 ms
116,21.6 MB,916 MB,6.09 ms,235 ms
117,21.6 MB,916 MB,6.09 ms,235 ms
118,21.6 MB,916 MB,6.09 ms,235 ms
119,21.6 MB,916 MB,1.95 ms,235 ms
120,21.6 MB,916 MB,1.95 ms,235 ms
121,21.6 MB,916 MB,1.95 ms,196 µs
122,21.6 MB,916 MB,1.95 ms,196 µs
123,21.6 MB,916 MB,1.95 ms,196 µs
124,21.6 MB,916 MB,1.62 ms,196 µs
125,21.6 MB,916 MB,1.59 ms,196 µs
126,21.6 MB,916 MB,1.55 ms,196 µs
127,21.6 MB,916 MB,1.52 ms,196 µs
128,21.6 MB,916 MB,1.49 ms,196 µs
129,21.6 MB,916 MB,1.46 ms,196 µs
130,21.6 MB,916 MB,1.42 ms,196 µs
131,21.6 MB,916 MB,1.39 ms,196 µs
132,21.6 MB,916 MB,266 µs,161 µs
133,21.6 MB,916 MB,260 µs,157 µs
134,21.6 MB,916 MB,254 µs,154 µs
