step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container,gpu_gpu_0
0,8.01 MB,274 MB,,,
1,8.01 MB,274 MB,,,
2,8.01 MB,274 MB,,,
3,8.01 MB,274 MB,,,
4,8.01 MB,274 MB,,,
5,8.01 MB,274 MB,,,
6,8.01 MB,274 MB,,,
7,8.01 MB,274 MB,,,
8,12.1 MB,278 MB,,,0%
9,12.1 MB,278 MB,,,0%
10,12.1 MB,278 MB,,,0%
11,12.1 MB,278 MB,,,0%
12,12.1 MB,278 MB,,,1%
13,12.1 MB,278 MB,,,4%
14,12.1 MB,278 MB,,,6%
15,12.1 MB,278 MB,,,13%
16,12.1 MB,278 MB,,,0%
17,12.1 MB,278 MB,,,0%
18,12.1 MB,278 MB,,,26%
19,12.1 MB,278 MB,,,24%
20,12.1 MB,278 MB,,,36%
21,12.1 MB,278 MB,,,18%
22,12.1 MB,278 MB,,,0%
23,12.1 MB,278 MB,,,0%
24,12.1 MB,278 MB,,,0%
25,12.1 MB,278 MB,,,52%
26,12.1 MB,1.25 GB,,241 ms,0%
27,12.1 MB,1.25 GB,,254 ms,0%
28,12.1 MB,1.25 GB,,267 ms,14%
29,12.1 MB,1.25 GB,,281 ms,81%
30,12.1 MB,1.25 GB,,294 ms,79%
31,12.1 MB,1.25 GB,,307 ms,0%
32,12.1 MB,1.25 GB,,320 ms,15%
33,12.1 MB,1.25 GB,,334 ms,10%
34,12.1 MB,1.25 GB,,347 ms,100%
35,12.1 MB,1.25 GB,,360 ms,0%
36,12.1 MB,1.25 GB,,373 ms,0%
37,12.1 MB,1.25 GB,,387 ms,0%
38,12.1 MB,1.25 GB,,400 ms,0%
39,12.1 MB,1.25 GB,,413 ms,92%
40,12.1 MB,1.25 GB,,427 ms,7%
41,12.1 MB,1.25 GB,,440 ms,0%
42,12.1 MB,1.25 GB,,453 ms,0%
43,12.1 MB,1.30 GB,,503 ms,2%
44,12.1 MB,1.30 GB,,517 ms,40%
45,16.9 MB,1.30 GB,1.32 ms,532 ms,0%
46,16.9 MB,1.30 GB,1.35 ms,546 ms,0%
47,16.9 MB,1.30 GB,1.38 ms,560 ms,87%
48,16.9 MB,1.30 GB,1.41 ms,574 ms,0%
49,16.9 MB,1.30 GB,1.44 ms,589 ms,0%
50,16.9 MB,1.30 GB,1.47 ms,603 ms,61%
51,16.9 MB,1.30 GB,1.50 ms,617 ms,0%
52,16.9 MB,1.30 GB,1.53 ms,632 ms,0%
53,16.9 MB,1.30 GB,1.56 ms,646 ms,100%
54,16.9 MB,1.30 GB,1.59 ms,660 ms,0%
55,16.9 MB,1.30 GB,1.62 ms,675 ms,40%
56,16.9 MB,1.30 GB,1.65 ms,689 ms,0%
57,16.9 MB,1.30 GB,1.68 ms,703 ms,37%
58,16.9 MB,1.30 GB,1.71 ms,718 ms,0%
59,16.9 MB,1.30 GB,1.74 ms,732 ms,0%
60,16.9 MB,1.30 GB,1.77 ms,746 ms,0%
61,16.9 MB,1.30 GB,1.80 ms,761 ms,0%
62,17.4 MB,1.30 GB,1.70 ms,775 ms,33%
63,17.4 MB,1.00 GB,1.70 ms,820 ms,0%
64,17.4 MB,1.00 GB,1.70 ms,835 ms,85%
65,17.4 MB,1.00 GB,1.70 ms,850 ms,0%
66,17.4 MB,1.00 GB,1.70 ms,864 ms,100%
67,17.4 MB,1.00 GB,1.70 ms,879 ms,0%
68,17.4 MB,1.00 GB,778 µs,898 ms,100%
69,17.4 MB,1.00 GB,803 µs,914 ms,0%
70,17.4 MB,1.00 GB,827 µs,930 ms,91%
71,17.4 MB,1.00 GB,852 µs,937 ms,0%
72,17.4 MB,1.00 GB,877 µs,937 ms,38%
73,17.4 MB,1.00 GB,901 µs,937 ms,0%
74,17.4 MB,1.00 GB,926 µs,937 ms,49%
75,17.4 MB,1.00 GB,951 µs,937 ms,0%
76,17.6 MB,1.00 GB,849 µs,937 ms,0%
77,17.6 MB,1.00 GB,871 µs,937 ms,0%
78,17.6 MB,1.00 GB,893 µs,937 ms,0%
79,17.6 MB,1.00 GB,914 µs,937 ms,0%
80,17.6 MB,1.00 GB,936 µs,937 ms,0%
81,17.6 MB,1.00 GB,958 µs,937 ms,100%
82,17.6 MB,1.00 GB,980 µs,937 ms,0%
83,17.6 MB,1.67 GB,1.00 ms,946 ms,35%
84,17.6 MB,1.67 GB,1.02 ms,946 ms,0%
85,17.6 MB,1.67 GB,1.05 ms,946 ms,0%
86,17.6 MB,1.67 GB,1.07 ms,957 ms,0%
87,17.6 MB,1.67 GB,1.09 ms,957 ms,0%
88,17.6 MB,1.67 GB,1.31 ms,957 ms,100%
89,17.6 MB,1.67 GB,1.31 ms,957 ms,17%
90,17.6 MB,1.67 GB,1.31 ms,957 ms,0%
91,17.6 MB,1.67 GB,1.31 ms,957 ms,22%
92,17.6 MB,1.67 GB,1.31 ms,957 ms,0%
93,17.6 MB,1.67 GB,1.10 ms,957 ms,0%
94,17.8 MB,1.67 GB,1.14 ms,957 ms,100%
95,17.8 MB,1.67 GB,1.14 ms,957 ms,0%
96,17.8 MB,1.67 GB,1.14 ms,957 ms,73%
97,17.8 MB,1.67 GB,1.14 ms,957 ms,0%
98,17.8 MB,1.67 GB,1.14 ms,957 ms,0%
99,17.8 MB,1.67 GB,1.14 ms,957 ms,37%
100,17.8 MB,1.67 GB,1.14 ms,957 ms,0%
101,17.8 MB,1.67 GB,1.14 ms,957 ms,0%
102,17.8 MB,1.67 GB,1.14 ms,957 ms,100%
103,17.8 MB,3.54 GB,1.14 ms,963 ms,0%
104,17.8 MB,3.54 GB,1.14 ms,772 ms,0%
105,17.8 MB,3.54 GB,963 µs,755 ms,0%
106,17.8 MB,3.54 GB,963 µs,739 ms,0%
107,17.8 MB,3.54 GB,963 µs,723 ms,100%
108,17.8 MB,3.54 GB,963 µs,707 ms,0%
109,17.8 MB,3.54 GB,963 µs,691 ms,0%
110,17.8 MB,3.54 GB,963 µs,675 ms,0%
