,matrix_size,response_time_ms,gpu_used
0,0,8323.86302947998,True
1,200,134.2008113861084,True
2,400,80.09862899780273,True
3,600,161.64708137512207,True
4,800,173.17867279052734,True
5,1000,152.46009826660156,True
6,1200,158.43510627746582,True
7,1400,161.95988655090332,True
8,1600,164.56007957458496,True
9,1800,206.55369758605957,True
10,2000,138.63706588745117,True
11,2200,141.85309410095215,True
12,2400,132.91382789611816,True
13,2600,177.23393440246582,True
14,2800,140.9127712249756,True
15,3000,146.61884307861328,True
16,3200,180.4189682006836,True
17,3400,166.6121482849121,True
18,3600,198.1070041656494,True
19,3800,194.4589614868164,True
20,4000,202.73900032043457,True
21,4200,220.06607055664065,True
22,4400,245.23615837097168,True
23,4600,245.41521072387695,True
24,4800,258.28099250793457,True
25,5000,281.9681167602539,True
26,5200,288.3331775665283,True
27,5400,310.96601486206055,True
28,5600,342.972993850708,True
29,5800,350.9409427642822,True
30,6000,367.2778606414795,True
31,6200,394.7601318359375,True
32,6400,406.07619285583496,True
33,6600,528.0051231384277,True
34,6800,512.286901473999,True
35,7000,475.4500389099121,True
36,7200,491.1909103393554,True
37,7400,526.1831283569336,True
38,7600,545.1850891113281,True
39,7800,606.407880783081,True
40,8000,597.2578525543213,True
41,8200,619.2209720611572,True
42,8400,696.8908309936523,True
43,8600,660.6299877166748,True
44,8800,708.4438800811768,True
45,9000,737.5948429107666,True
46,9200,777.3330211639404,True
47,9400,801.1150360107422,True
48,9600,852.2379398345947,True
49,9800,929.7778606414796,True
50,10000,887.2599601745605,True
51,10200,953.604221343994,True
52,10400,970.3330993652344,True
53,10600,1076.2641429901123,True
54,10800,1518.057346343994,True
55,11000,1064.18776512146,True
56,11200,1083.345890045166,True
57,11400,1150.6149768829346,True
58,11600,1189.1658306121826,True
59,11800,1263.3380889892578,True
60,12000,1278.026103973389,True
61,12200,1289.902925491333,True
62,12400,1322.4878311157229,True
63,12600,1368.199110031128,True
64,12800,1392.6680088043213,True
65,13000,1428.5800457000732,True
66,13200,1540.884017944336,True
67,13400,1528.773069381714,True
68,13600,2094.9113368988037,True
69,13800,1614.4120693206787,True
70,14000,1651.862859725952,True
71,14200,1736.617088317871,True
72,14400,1775.8281230926514,True
73,14600,1829.0798664093015,True
74,14800,1870.654344558716,True
75,15000,1966.6948318481443,True
76,15200,1958.3196640014648,True
77,15400,2116.2478923797607,True
78,15600,2077.134847640991,True
79,15800,2099.526882171631,True
80,16000,2155.928134918213,True
81,16200,2221.60005569458,True
82,16400,2318.814992904663,True
83,16600,2333.2958221435547,True
84,16800,2376.3070106506348,True
85,17000,3029.62589263916,True
86,17200,2517.713785171509,True
87,17400,2588.376045227051,True
88,17600,2640.500068664551,True
89,17800,2810.44602394104,True
90,18000,2766.3698196411133,True
91,18200,,
92,18400,,
93,18600,,
94,18800,,
95,19000,,
96,19200,,
97,19400,,
98,19600,,
99,19800,,
100,20000,3698.117017745972,True
