step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container,gpu_gpu_0
0,19.0 MB,662 MB,178 µs,287 µs,
1,19.0 MB,662 MB,173 µs,281 µs,
2,19.0 MB,662 MB,128 µs,275 µs,
3,19.0 MB,662 MB,125 µs,269 µs,
4,19.0 MB,662 MB,122 µs,263 µs,
5,19.0 MB,662 MB,118 µs,257 µs,
6,19.0 MB,662 MB,115 µs,251 µs,
7,19.0 MB,662 MB,112 µs,134 µs,
8,19.0 MB,662 MB,109 µs,134 µs,
9,19.0 MB,662 MB,105 µs,172 µs,
10,22.3 MB,666 MB,102 µs,167 µs,0%
11,22.3 MB,666 MB,99.0 µs,163 µs,0%
12,22.3 MB,666 MB,95.7 µs,158 µs,0%
13,22.3 MB,666 MB,92.5 µs,154 µs,0%
14,22.3 MB,666 MB,89.3 µs,149 µs,3%
15,22.3 MB,666 MB,86.0 µs,144 µs,0%
16,22.3 MB,666 MB,82.8 µs,140 µs,14%
17,22.3 MB,666 MB,79.6 µs,135 µs,0%
18,22.3 MB,666 MB,76.3 µs,131 µs,0%
19,22.3 MB,666 MB,,126 µs,23%
20,22.3 MB,666 MB,,122 µs,0%
21,27.2 MB,666 MB,921 µs,117 µs,0%
22,27.2 MB,666 MB,983 µs,113 µs,3%
23,27.2 MB,1.32 GB,1.05 ms,174 ms,19%
24,27.2 MB,1.32 GB,1.11 ms,187 ms,0%
25,27.2 MB,1.32 GB,1.17 ms,199 ms,61%
26,27.2 MB,1.32 GB,1.23 ms,212 ms,0%
27,27.2 MB,1.32 GB,1.29 ms,225 ms,0%
28,27.2 MB,1.32 GB,1.36 ms,238 ms,64%
29,27.2 MB,1.32 GB,1.42 ms,251 ms,0%
30,27.2 MB,1.32 GB,1.48 ms,264 ms,0%
31,27.2 MB,1.32 GB,1.54 ms,277 ms,0%
32,27.2 MB,1.32 GB,1.60 ms,290 ms,0%
33,27.2 MB,1.32 GB,1.23 ms,302 ms,0%
34,27.2 MB,1.32 GB,1.23 ms,315 ms,0%
35,27.2 MB,1.32 GB,1.23 ms,328 ms,0%
36,27.4 MB,1.32 GB,1.23 ms,341 ms,44%
37,27.4 MB,1.32 GB,1.27 ms,245 ms,85%
38,27.4 MB,1.30 GB,1.31 ms,404 ms,34%
39,27.4 MB,1.30 GB,1.35 ms,418 ms,0%
40,27.4 MB,1.30 GB,1.39 ms,432 ms,0%
41,27.4 MB,1.30 GB,1.43 ms,446 ms,0%
42,27.4 MB,1.30 GB,1.46 ms,461 ms,0%
43,27.4 MB,1.30 GB,1.50 ms,475 ms,99%
44,27.4 MB,1.30 GB,1.54 ms,489 ms,0%
45,17.7 MB,1.30 GB,1.58 ms,503 ms,0%
46,17.7 MB,1.30 GB,1.33 ms,517 ms,0%
47,17.7 MB,1.02 GB,1.36 ms,532 ms,42%
48,17.7 MB,1.02 GB,1.39 ms,546 ms,0%
49,17.7 MB,1.02 GB,1.43 ms,560 ms,0%
50,17.7 MB,1.02 GB,1.46 ms,574 ms,0%
51,17.7 MB,1.02 GB,1.49 ms,588 ms,0%
52,17.7 MB,1.02 GB,1.52 ms,602 ms,41%
53,17.7 MB,1.02 GB,1.55 ms,617 ms,0%
54,17.7 MB,1.02 GB,1.58 ms,500 ms,0%
55,17.7 MB,1.02 GB,1.61 ms,500 ms,100%
56,17.7 MB,1.02 GB,1.65 ms,500 ms,0%
57,17.7 MB,2.23 GB,1.70 ms,700 ms,0%
58,17.7 MB,2.23 GB,1.73 ms,715 ms,0%
59,17.7 MB,2.23 GB,1.54 ms,730 ms,64%
60,17.7 MB,2.23 GB,1.54 ms,744 ms,0%
61,18.0 MB,2.23 GB,1.54 ms,759 ms,34%
62,18.0 MB,2.23 GB,1.55 ms,774 ms,0%
63,18.0 MB,2.23 GB,1.55 ms,789 ms,0%
64,18.0 MB,2.23 GB,1.55 ms,803 ms,0%
65,18.0 MB,2.23 GB,1.55 ms,818 ms,0%
66,18.0 MB,2.23 GB,1.55 ms,833 ms,65%
67,18.0 MB,2.23 GB,1.55 ms,848 ms,0%
68,18.0 MB,2.23 GB,1.55 ms,862 ms,62%
69,18.0 MB,2.23 GB,1.55 ms,877 ms,0%
70,18.0 MB,1.73 GB,951 µs,906 ms,0%
71,18.0 MB,1.73 GB,951 µs,922 ms,0%
72,18.0 MB,1.73 GB,951 µs,932 ms,0%
73,18.0 MB,1.73 GB,1000 µs,932 ms,0%
74,18.0 MB,1.73 GB,1000 µs,932 ms,0%
75,18.0 MB,1.73 GB,1000 µs,932 ms,0%
76,18.0 MB,1.73 GB,1000 µs,932 ms,0%
77,18.0 MB,1.73 GB,1000 µs,932 ms,98%
78,18.0 MB,1.73 GB,1000 µs,932 ms,0%
79,18.0 MB,1.73 GB,1000 µs,932 ms,92%
80,18.0 MB,1.73 GB,1000 µs,932 ms,0%
