Index,AUTO_response_time,GPU_response_time,CPU_response_time,AUTO_cost,GPU_cost,CPU_cost
0,2299.1840839385986,9811.23948097229,1724.4877815246582,0.000353407585542202,0.0011809788963246348,0.0002650710168981552
1,86.68045997619629,136.51833534240723,127.48713493347168,1.332365350294113e-05,1.643271202516556e-05,1.959604751062393e-05
2,159.8785400390625,85.97025871276855,151.25699043273926,2.4574930389404298e-05,1.0348240041255954e-05,2.324971199941635e-05
3,173.97804260253906,165.41638374328613,132.52954483032227,2.6742164928436277e-05,1.9911170111179354e-05,2.037111633586883e-05
4,153.49369049072266,142.29650497436523,142.45376586914062,2.3593515165328978e-05,1.7128230303764347e-05,2.1896568351745602e-05
5,142.74096488952637,139.55097198486328,123.0234146118164,2.1940713713169094e-05,1.6797750497817994e-05,1.89099290599823e-05
6,134.6668243408203,152.35967636108398,147.0714569091797,2.069963756942749e-05,1.8339534243583683e-05,2.260635364151001e-05
7,175.9274959564209,157.96122550964355,131.3319206237793,2.704181540346145e-05,1.9013792714595797e-05,2.0187029519081114e-05
8,131.81753158569336,142.0055866241455,130.41481971740723,2.0261672780036927e-05,1.70932124619484e-05,2.0046061938762666e-05
9,127.5547981262207,165.6052589416504,140.6987190246582,1.9606448019981386e-05,1.9933905018806462e-05,2.162680010128021e-05
10,133.78572463989258,140.9994125366211,134.66062545776367,2.0564203734397888e-05,1.6972099287033083e-05,2.0698684739112854e-05
11,143.16420555114746,141.14656448364258,144.85712051391602,2.2005770035266874e-05,1.698981196689606e-05,2.2265987994194027e-05
12,155.61280250549316,156.76045417785645,163.91878128051758,2.391924387311935e-05,1.8869255869388582e-05,2.5195955870628355e-05
13,165.64817428588867,155.28392791748047,162.93978691101074,2.5461780869483944e-05,1.8691526403427126e-05,2.5045474646091455e-05
14,182.60059356689453,142.29364395141602,188.8258934020996,2.806753723716735e-05,1.7127885922431946e-05,2.9024428074836732e-05
15,202.96263694763184,152.91728973388672,233.51058959960938,3.119738692522049e-05,1.8406654165267948e-05,3.5892912727355956e-05
16,228.23967933654785,177.8885841369629,222.34115600585938,3.508272111082077e-05,2.1412448872566227e-05,3.417605908966064e-05
17,256.27379417419434,169.85845565795898,265.2737617492676,3.939184490251541e-05,2.0445862307548525e-05,4.0775229918479914e-05
18,292.0421600341797,186.9579315185547,289.69154357910156,4.4889800418853766e-05,2.250412621688843e-05,4.45284871635437e-05
19,316.9400215148926,202.72932052612305,328.17678451538086,4.871685070705414e-05,2.4402528311729435e-05,5.044405354785919e-05
20,359.6357822418213,202.36496925354004,399.7840404510498,5.527961608839034e-05,2.4358671349048615e-05,6.145080485773085e-05
21,447.44415283203125,232.95135498046875,423.59910011291504,6.877664073181151e-05,2.8040354598999024e-05,6.511141767835617e-05
22,466.02768898010254,244.0460205078125,455.83996772766113,7.163311607313156e-05,2.9375819488525395e-05,7.006716143941878e-05
23,482.0518970489502,252.37421989440918,494.3878173828125,7.409619709539413e-05,3.0378284848690038e-05,7.599235140991212e-05
24,522.344446182251,266.3477420806885,574.931812286377,8.02895648226738e-05,3.2060277714252475e-05,8.8372768866539e-05
25,566.3915634155273,281.30946159362793,581.335973739624,8.70600472126007e-05,3.3861219892025e-05,8.935715252351761e-05
26,642.3490524291992,310.6015205383301,616.905403137207,9.873547284889221e-05,3.73871050271988e-05,9.482452951622008e-05
27,658.8243007659912,330.3258419036865,703.8093090057373,0.00010126788327074052,3.976132158994675e-05,0.00010818252888727187
28,714.5753860473633,335.80355644226074,812.9323482513428,0.0001098373825893402,4.042067408895493e-05,0.0001249558312497139
29,810.8194351196289,358.4651470184326,811.5032196044922,0.00012463105537223815,4.3148449746608744e-05,0.00012473615988540648
30,826.252555847168,371.4884281158447,962.7437114715576,0.00012700328035926818,4.471606209230423e-05,0.00014798333589029311
31,936.1971378326416,398.97942543029785,981.3660144805908,0.00014390286205625532,4.802515343904496e-05,0.00015084577008581162
32,1027.6150226593018,413.08960914611816,1006.1518669128418,0.00015795470513296127,4.972359625291825e-05,0.0001546556034631729
33,1153.005027770996,482.69686698913574,1140.722417831421,0.00017722840281867978,5.810222187948228e-05,0.0001753404428448677
34,1272.9764461517334,494.9137210845947,1176.9826889038086,0.00019566920953798293,5.9572764606952675e-05,0.0001809140091114044
35,1388.047981262207,487.74542808532715,1361.38596534729,0.00021335685519981385,5.8709917178630824e-05,0.00020925863673353198
36,1480.9622287750244,506.7200183868408,1468.9485549926758,0.00022763870418500897,6.099388861322404e-05,0.00022579208238792417
37,1602.8935432434082,524.780797958374,1607.9167366027832,0.0002463807665319443,6.316786465024948e-05,0.00024715288158321376
38,1749.6006965637207,562.577486038208,1573.2202529907227,0.0002689311230688095,6.77174519944191e-05,0.00024181968508720395
39,1929.6953201293945,585.3283405303955,1599.1095542907715,0.00029661346765708926,7.045597234964372e-05,0.00024579912959003445
40,2082.995367050171,606.9444179534912,1665.8401012420654,0.00032017721786928175,7.305789958906175e-05,0.00025605628196191785
41,2140.8729553222656,634.2198371887207,1774.5090007781982,0.0003290735819625855,7.634104180240632e-05,0.0002727597785096168
42,2242.587375640869,686.4644527435303,1991.0851955413818,0.00034470810550975793,8.262972617673875e-05,0.0003060497054066658
