Execution Mode,Response Time
CPU,127.48713493347168
CPU,151.25699043273926
CPU,132.52954483032227
CPU,142.45376586914062
CPU,123.0234146118164
CPU,147.0714569091797
CPU,131.3319206237793
CPU,130.41481971740723
CPU,140.6987190246582
CPU,134.66062545776367
CPU,144.85712051391602
CPU,163.91878128051758
CPU,162.93978691101074
CPU,188.8258934020996
CPU,233.51058959960938
CPU,222.34115600585938
CPU,265.2737617492676
CPU,289.69154357910156
CPU,328.17678451538086
CPU,399.7840404510498
CPU,423.59910011291504
CPU,455.83996772766113
CPU,494.3878173828125
CPU,574.931812286377
CPU,581.335973739624
CPU,616.905403137207
CPU,703.8093090057373
CPU,812.9323482513428
CPU,811.5032196044922
CPU,962.7437114715576
CPU,981.3660144805908
CPU,1006.1518669128418
CPU,1140.722417831421
CPU,1176.9826889038086
CPU,1361.38596534729
CPU,1468.9485549926758
CPU,1607.9167366027832
CPU,1573.2202529907227
CPU,1599.1095542907715
CPU,1665.8401012420654
CPU,1774.5090007781982
CPU,1991.0851955413818
CPU,2043.5922622680664
CPU,2075.345230102539
CPU,2304.96563911438
CPU,2700.7840156555176
CPU,2832.4674129486084
CPU,3139.590263366699
CPU,3148.151111602783
CPU,3530.038070678711
CPU,3261.119604110718
CPU,3552.5620579719543
CPU,3665.650725364685
CPU,3826.732635498047
CPU,4317.0686562856035
CPU,4581.52969678243
CPU,4567.946592966716
CPU,5059.675574302673
CPU,4865.701198577881
CPU,5177.184104919434
CPU,5790.6705141067505
CPU,7088.732957839966
CPU,7649.869322776794
CPU,6114.427089691162
CPU,6531.763076782227
CPU,7309.449553489685
CPU,7756.107409795125
CPU,7674.002826213837
CPU,7785.242021083832
CPU,9056.248903274536
CPU,9240.85283279419
CPU,9258.758068084717
CPU,9644.983053207396
CPU,11405.550956726074
CPU,10068.875789642334
CPU,11784.947872161863
CPU,10453.467845916748
CPU,12072.386741638184
CPU,12636.921882629396
CPU,11988.736987113953
CPU,14735.864996910095
CPU,12435.904502868652
CPU,15206.098318099976
CPU,15191.102266311646
