timestamp,matrix_size,response_time_ms
2025-08-29T10:46:51.320660,0,95.18289566040039
2025-08-29T10:46:51.480281,200,159.32893753051758
2025-08-29T10:46:51.645690,400,164.9610996246338
2025-08-29T10:46:51.805707,600,159.53612327575684
2025-08-29T10:46:51.968451,800,161.97681427001953
2025-08-29T10:46:52.132283,1000,163.0859375
2025-08-29T10:46:52.290313,1200,155.75218200683594
2025-08-29T10:46:52.408453,1400,117.57111549377441
2025-08-29T10:46:52.610995,1600,202.11505889892578
2025-08-29T10:46:52.755598,1800,143.89491081237793
2025-08-29T10:46:52.885403,2000,129.14085388183594
2025-08-29T10:46:53.020542,2200,132.23695755004883
2025-08-29T10:46:53.202881,2400,181.6258430480957
2025-08-29T10:46:53.359763,2600,156.2061309814453
2025-08-29T10:46:53.528154,2800,167.88291931152344
2025-08-29T10:46:53.740675,3000,195.9989070892334
2025-08-29T10:46:53.952856,3200,211.58289909362793
2025-08-29T10:46:54.186816,3400,233.3841323852539
2025-08-29T10:46:54.445749,3600,258.24689865112305
2025-08-29T10:46:54.737811,3800,291.6741371154785
2025-08-29T10:46:55.089893,4000,351.55200958251953
2025-08-29T10:46:55.433964,4200,343.4879779815674
2025-08-29T10:46:55.813100,4400,378.48782539367676
2025-08-29T10:46:56.232210,4600,418.4691905975342
2025-08-29T10:46:56.684928,4800,452.06236839294434
2025-08-29T10:46:57.190122,5000,504.5192241668701
2025-08-29T10:46:57.740688,5200,549.9508380889893
2025-08-29T10:46:58.330600,5400,588.9930725097656
2025-08-29T10:46:58.975945,5600,644.8819637298584
2025-08-29T10:46:59.672393,5800,695.5351829528809
2025-08-29T10:47:00.453037,6000,777.353048324585
2025-08-29T10:47:01.335746,6200,882.2460174560547
2025-08-29T10:47:02.217848,6400,881.3600540161133
2025-08-29T10:47:03.185163,6600,966.6628837585449
2025-08-29T10:47:04.207157,6800,1021.3370323181152
2025-08-29T10:47:05.325035,7000,1117.2070503234863
2025-08-29T10:47:06.526865,7200,1201.0748386383057
2025-08-29T10:47:07.782774,7400,1255.4709911346436
2025-08-29T10:47:09.122621,7600,1339.359998703003
2025-08-29T10:47:10.574405,7800,1451.0998725891113
2025-08-29T10:47:12.135123,8000,1559.95512008667
2025-08-29T10:47:13.753738,8200,1617.8972721099854
2025-08-29T10:47:15.599628,8400,1845.146656036377
2025-08-29T10:47:17.466703,8600,1866.361141204834
2025-08-29T10:47:19.429698,8800,1962.357997894287
2025-08-29T10:47:21.743321,9000,2312.9849433898926
2025-08-29T10:47:23.925492,9200,2181.4351081848145
2025-08-29T10:47:26.259976,9400,2333.801031112671
2025-08-29T10:47:28.756149,9600,2495.352029800415
2025-08-29T10:47:31.366829,9800,2609.951972961426
2025-08-29T10:47:34.133459,10000,2765.8331394195557
2025-08-29T10:47:37.034417,10200,2900.391101837158
2025-08-29T10:47:40.077362,10400,3041.1782264709473
2025-08-29T10:47:43.284336,10600,3206.2132358551025
2025-08-29T10:47:43.359718,10800,-1
2025-08-29T10:47:43.526577,11000,-1
2025-08-29T10:47:43.695342,11200,-1
2025-08-29T10:47:43.863040,11400,-1
2025-08-29T10:47:44.027738,11600,-1
2025-08-29T10:47:44.194949,11800,-1
2025-08-29T10:47:48.827764,12000,4632.176160812378
2025-08-29T10:47:53.692425,12200,4862.979173660278
2025-08-29T10:47:58.660145,12400,4967.286109924316
2025-08-29T10:48:03.839598,12600,5179.018974304199
2025-08-29T10:48:09.472887,12800,5633.091688156128
2025-08-29T10:48:15.061828,13000,5588.260173797607
2025-08-29T10:48:21.236028,13200,6173.551082611084
2025-08-29T10:48:21.302471,13400,-1
2025-08-29T10:48:21.488496,13600,-1
2025-08-29T10:48:21.626558,13800,-1
2025-08-29T10:48:21.818156,14000,-1
2025-08-29T10:48:21.926941,14200,-1
2025-08-29T10:48:22.035990,14400,-1
