"Time","queue-proxy","user-container","requests"
2025-08-29 12:15:00,0.00138,0.0700,0.0250
2025-08-29 12:16:00,0.00388,0.181,0.0250
2025-08-29 12:17:00,0.00425,0.218,0.0250
2025-08-29 12:18:00,0.00439,0.201,0.0250
