step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container
0,8.53 MB,10.3 GB,,
1,8.53 MB,10.3 GB,,
2,12.4 MB,10.3 GB,,
3,12.4 MB,10.3 GB,,
4,12.4 MB,10.3 GB,,
5,12.4 MB,10.3 GB,,
6,12.4 MB,10.3 GB,,
7,12.4 MB,10.3 GB,,
8,12.4 MB,10.3 GB,,
9,12.4 MB,10.3 GB,,
10,12.4 MB,10.3 GB,,
11,12.4 MB,10.3 GB,,
12,12.4 MB,10.3 GB,,
13,12.4 MB,10.3 GB,,
14,12.4 MB,10.3 GB,,
15,16.5 MB,10.3 GB,1.29 ms,
16,16.5 MB,13.6 GB,1.37 ms,126 ms
17,16.5 MB,13.6 GB,1.45 ms,135 ms
18,16.5 MB,13.6 GB,1.54 ms,143 ms
19,16.5 MB,13.6 GB,1.62 ms,152 ms
20,16.5 MB,13.6 GB,1.70 ms,161 ms
21,16.5 MB,13.6 GB,1.78 ms,170 ms
22,16.5 MB,13.6 GB,1.86 ms,178 ms
23,16.5 MB,13.6 GB,1.94 ms,187 ms
24,16.5 MB,13.6 GB,2.03 ms,196 ms
25,16.5 MB,13.6 GB,2.11 ms,204 ms
26,16.5 MB,13.6 GB,2.19 ms,213 ms
27,17.1 MB,13.6 GB,2.05 ms,222 ms
28,17.1 MB,13.6 GB,2.12 ms,231 ms
29,17.1 MB,20.5 GB,2.20 ms,665 ms
30,17.1 MB,20.5 GB,2.27 ms,689 ms
31,17.1 MB,20.5 GB,2.34 ms,713 ms
32,17.1 MB,20.5 GB,2.41 ms,738 ms
33,17.1 MB,20.5 GB,2.49 ms,762 ms
34,17.1 MB,20.5 GB,2.56 ms,786 ms
35,17.1 MB,20.5 GB,2.63 ms,810 ms
36,17.1 MB,20.5 GB,2.71 ms,835 ms
37,17.1 MB,20.5 GB,2.78 ms,859 ms
38,17.1 MB,20.5 GB,2.85 ms,883 ms
39,17.1 MB,20.5 GB,2.92 ms,908 ms
40,17.1 MB,20.5 GB,2.42 ms,932 ms
41,17.5 MB,20.5 GB,2.19 ms,956 ms
42,17.5 MB,20.5 GB,2.24 ms,980 ms
43,17.5 MB,20.5 GB,2.29 ms,808 ms
44,17.5 MB,20.5 GB,2.35 ms,808 ms
45,17.5 MB,20.5 GB,2.40 ms,808 ms
46,17.5 MB,20.5 GB,2.45 ms,808 ms
47,17.5 MB,20.5 GB,2.50 ms,808 ms
48,17.5 MB,20.5 GB,2.55 ms,2.52 s
49,17.5 MB,20.5 GB,2.60 ms,2.58 s
50,17.5 MB,20.5 GB,2.65 ms,2.63 s
51,17.5 MB,20.5 GB,2.70 ms,2.68 s
52,17.5 MB,20.5 GB,2.75 ms,2.74 s
53,17.5 MB,20.5 GB,2.80 ms,2.79 s
54,17.5 MB,20.5 GB,2.85 ms,2.85 s
55,17.5 MB,20.5 GB,2.90 ms,2.90 s
56,17.5 MB,20.5 GB,2.51 ms,2.96 s
57,17.5 MB,20.5 GB,2.51 ms,3.01 s
58,17.5 MB,20.5 GB,2.49 ms,3.07 s
59,17.5 MB,20.5 GB,2.44 ms,3.12 s
60,17.6 MB,20.5 GB,2.29 ms,3.17 s
61,17.6 MB,20.5 GB,2.29 ms,3.79 s
62,17.6 MB,20.5 GB,1.57 ms,3.89 s
63,17.6 MB,20.5 GB,1.57 ms,3.97 s
64,17.6 MB,20.5 GB,1.57 ms,4.05 s
65,17.6 MB,20.5 GB,1.57 ms,4.13 s
66,17.6 MB,20.5 GB,1.57 ms,4.21 s
67,17.6 MB,20.5 GB,1.57 ms,4.29 s
68,17.6 MB,20.5 GB,1.57 ms,4.37 s
69,17.6 MB,20.5 GB,1.57 ms,4.45 s
70,17.6 MB,20.5 GB,1.57 ms,4.54 s
71,17.6 MB,20.5 GB,1.57 ms,4.62 s
72,17.6 MB,20.5 GB,1.57 ms,4.70 s
73,17.6 MB,20.5 GB,1.57 ms,4.78 s
74,17.6 MB,20.5 GB,1.57 ms,4.86 s
75,17.8 MB,20.5 GB,764 µs,5.07 s
76,17.8 MB,20.5 GB,764 µs,5.24 s
77,17.8 MB,20.5 GB,764 µs,5.33 s
78,17.8 MB,20.5 GB,764 µs,5.43 s
79,17.8 MB,20.5 GB,764 µs,5.53 s
80,17.8 MB,20.5 GB,764 µs,5.62 s
81,17.8 MB,20.5 GB,764 µs,5.72 s
82,17.8 MB,20.5 GB,764 µs,5.77 s
83,17.8 MB,20.5 GB,764 µs,5.77 s
84,17.8 MB,20.5 GB,764 µs,5.77 s
85,17.8 MB,20.5 GB,764 µs,5.77 s
86,17.8 MB,20.5 GB,764 µs,5.77 s
87,17.8 MB,20.5 GB,742 µs,5.77 s
88,17.8 MB,20.5 GB,742 µs,5.77 s
89,18.1 MB,20.5 GB,733 µs,4.63 s
90,18.1 MB,20.5 GB,733 µs,3.87 s
91,18.1 MB,20.5 GB,733 µs,3.87 s
92,18.1 MB,20.5 GB,733 µs,5.86 s
93,18.1 MB,20.5 GB,733 µs,5.86 s
94,18.1 MB,20.5 GB,733 µs,5.86 s
95,18.1 MB,20.5 GB,733 µs,5.86 s
96,18.1 MB,20.5 GB,733 µs,5.86 s
97,18.1 MB,20.5 GB,733 µs,5.86 s
98,18.1 MB,20.5 GB,733 µs,5.86 s
99,18.1 MB,20.5 GB,733 µs,5.86 s
100,18.0 MB,20.5 GB,751 µs,5.86 s
101,18.0 MB,20.5 GB,607 µs,5.86 s
102,18.0 MB,20.5 GB,620 µs,5.86 s
103,18.0 MB,20.5 GB,632 µs,5.82 s
104,18.0 MB,20.5 GB,645 µs,5.82 s
105,18.0 MB,20.5 GB,658 µs,5.82 s
106,18.0 MB,20.5 GB,759 µs,5.82 s
107,18.0 MB,20.5 GB,759 µs,5.82 s
108,18.0 MB,20.5 GB,759 µs,5.79 s
109,18.0 MB,20.5 GB,759 µs,5.79 s
110,18.0 MB,20.5 GB,759 µs,5.79 s
111,18.0 MB,20.5 GB,759 µs,5.79 s
112,18.0 MB,20.5 GB,759 µs,5.79 s
113,18.0 MB,20.5 GB,759 µs,5.79 s
114,18.0 MB,20.5 GB,655 µs,5.78 s
115,18.0 MB,20.5 GB,642 µs,5.78 s
116,18.0 MB,20.5 GB,630 µs,5.78 s
117,18.0 MB,20.5 GB,617 µs,5.78 s
118,18.0 MB,20.5 GB,604 µs,5.78 s
119,18.4 MB,20.5 GB,792 µs,5.78 s
120,18.4 MB,20.5 GB,805 µs,5.78 s
121,18.4 MB,20.5 GB,805 µs,5.82 s
122,18.4 MB,20.5 GB,805 µs,5.82 s
123,18.4 MB,20.5 GB,805 µs,5.82 s
124,18.4 MB,20.5 GB,805 µs,5.82 s
125,18.4 MB,20.5 GB,805 µs,5.82 s
126,18.4 MB,20.5 GB,805 µs,5.82 s
127,18.4 MB,20.5 GB,805 µs,5.82 s
128,18.4 MB,20.4 GB,805 µs,5.81 s
129,18.4 MB,20.4 GB,805 µs,5.81 s
130,18.4 MB,20.4 GB,805 µs,5.81 s
131,18.6 MB,20.4 GB,798 µs,5.81 s
132,18.6 MB,20.4 GB,798 µs,5.81 s
133,18.6 MB,20.4 GB,798 µs,5.81 s
134,18.6 MB,20.4 GB,798 µs,5.81 s
135,18.6 MB,20.4 GB,828 µs,4.77 s
136,18.6 MB,20.4 GB,828 µs,4.87 s
137,18.6 MB,20.4 GB,828 µs,4.96 s
138,18.6 MB,20.4 GB,828 µs,5.74 s
139,18.6 MB,20.4 GB,828 µs,5.74 s
140,18.6 MB,20.4 GB,828 µs,5.74 s
141,18.6 MB,20.4 GB,828 µs,5.74 s
142,18.6 MB,20.4 GB,806 µs,4.97 s
143,18.6 MB,20.4 GB,806 µs,4.88 s
144,18.6 MB,20.4 GB,806 µs,5.76 s
145,18.6 MB,20.4 GB,806 µs,5.76 s
146,18.6 MB,20.4 GB,806 µs,5.76 s
147,18.6 MB,20.4 GB,806 µs,5.76 s
148,18.6 MB,20.4 GB,806 µs,5.76 s
149,18.6 MB,20.4 GB,799 µs,5.76 s
150,18.6 MB,20.4 GB,799 µs,5.76 s
151,18.6 MB,20.4 GB,799 µs,5.76 s
152,18.6 MB,20.4 GB,799 µs,5.79 s
153,18.6 MB,20.4 GB,799 µs,5.79 s
154,18.6 MB,20.4 GB,799 µs,5.79 s
155,18.6 MB,20.4 GB,799 µs,5.79 s
156,18.6 MB,20.4 GB,799 µs,5.79 s
157,18.6 MB,20.4 GB,685 µs,5.79 s
158,18.6 MB,20.4 GB,671 µs,5.77 s
159,18.7 MB,20.4 GB,773 µs,5.77 s
160,18.7 MB,20.4 GB,589 µs,5.77 s
161,18.7 MB,20.4 GB,602 µs,5.77 s
162,18.7 MB,20.4 GB,614 µs,5.77 s
163,18.7 MB,20.4 GB,626 µs,5.77 s
164,18.7 MB,20.4 GB,732 µs,5.77 s
165,18.7 MB,20.4 GB,732 µs,5.77 s
166,18.7 MB,20.4 GB,732 µs,5.77 s
167,18.7 MB,20.4 GB,732 µs,5.77 s
168,18.7 MB,20.4 GB,732 µs,5.78 s
169,18.7 MB,20.4 GB,732 µs,5.78 s
170,18.7 MB,20.4 GB,717 µs,5.78 s
171,18.7 MB,20.4 GB,717 µs,5.78 s
172,18.7 MB,20.4 GB,717 µs,5.78 s
173,18.7 MB,20.4 GB,717 µs,5.78 s
174,18.7 MB,20.4 GB,717 µs,5.77 s
175,18.7 MB,20.4 GB,717 µs,5.77 s
176,18.7 MB,20.4 GB,717 µs,5.77 s
177,18.7 MB,20.4 GB,717 µs,5.77 s
178,18.7 MB,20.4 GB,717 µs,5.77 s
179,18.7 MB,20.4 GB,701 µs,5.77 s
180,18.7 MB,20.4 GB,701 µs,5.77 s
181,18.7 MB,20.4 GB,701 µs,5.77 s
182,18.7 MB,20.4 GB,701 µs,5.77 s
183,18.7 MB,20.4 GB,701 µs,4.96 s
184,18.8 MB,20.4 GB,737 µs,4.86 s
185,18.8 MB,20.4 GB,737 µs,4.76 s
186,18.8 MB,20.4 GB,737 µs,4.67 s
187,18.8 MB,20.4 GB,737 µs,4.57 s
188,10.3 MB,20.4 GB,737 µs,5.75 s
189,10.3 MB,20.4 GB,737 µs,5.75 s
190,10.3 MB,20.4 GB,737 µs,5.75 s
191,10.3 MB,20.4 GB,740 µs,5.75 s
192,10.3 MB,20.4 GB,740 µs,5.75 s
193,10.3 MB,20.4 GB,740 µs,5.75 s
194,10.3 MB,20.4 GB,740 µs,5.75 s
195,10.3 MB,20.4 GB,740 µs,5.75 s
196,10.3 MB,10.1 GB,740 µs,5.75 s
197,10.3 MB,10.1 GB,740 µs,5.75 s
198,10.4 MB,10.1 GB,709 µs,5.75 s
199,10.4 MB,10.1 GB,709 µs,5.75 s
200,10.4 MB,10.1 GB,709 µs,5.75 s
201,10.4 MB,10.1 GB,709 µs,5.75 s
202,10.4 MB,10.1 GB,595 µs,5.75 s
203,10.4 MB,10.1 GB,606 µs,5.76 s
204,10.4 MB,10.1 GB,709 µs,5.77 s
205,10.4 MB,10.1 GB,709 µs,5.77 s
206,10.4 MB,10.1 GB,709 µs,5.77 s
207,10.4 MB,10.1 GB,709 µs,5.77 s
208,10.4 MB,10.1 GB,710 µs,5.77 s
209,10.4 MB,10.1 GB,710 µs,5.77 s
210,10.4 MB,10.1 GB,710 µs,5.77 s
211,10.4 MB,10.1 GB,710 µs,5.77 s
212,10.4 MB,10.1 GB,710 µs,5.77 s
213,10.4 MB,10.1 GB,710 µs,5.77 s
214,10.4 MB,10.1 GB,710 µs,5.77 s
215,10.4 MB,10.1 GB,710 µs,5.77 s
216,10.4 MB,10.1 GB,710 µs,5.80 s
217,10.4 MB,10.1 GB,710 µs,5.80 s
218,10.4 MB,10.1 GB,710 µs,5.80 s
219,10.4 MB,10.1 GB,723 µs,5.80 s
220,10.4 MB,10.1 GB,723 µs,5.80 s
221,10.4 MB,10.1 GB,723 µs,5.80 s
222,10.4 MB,10.1 GB,723 µs,5.80 s
223,10.4 MB,10.1 GB,619 µs,5.80 s
224,10.4 MB,10.1 GB,607 µs,5.80 s
225,10.4 MB,10.1 GB,595 µs,5.80 s
226,10.4 MB,10.1 GB,583 µs,5.78 s
227,11.1 MB,10.1 GB,718 µs,5.78 s
228,11.1 MB,10.1 GB,718 µs,4.53 s
229,11.1 MB,10.1 GB,718 µs,4.63 s
230,11.1 MB,10.1 GB,679 µs,4.73 s
231,11.1 MB,10.1 GB,679 µs,4.82 s
232,11.1 MB,10.1 GB,679 µs,4.92 s
233,11.1 MB,10.1 GB,679 µs,5.02 s
234,11.1 MB,10.1 GB,679 µs,5.79 s
235,11.1 MB,10.1 GB,679 µs,5.79 s
236,11.1 MB,10.1 GB,679 µs,5.79 s
237,11.1 MB,10.1 GB,679 µs,5.79 s
238,11.1 MB,10.1 GB,679 µs,5.79 s
239,11.1 MB,10.1 GB,679 µs,5.79 s
240,11.1 MB,10.1 GB,679 µs,5.79 s
241,10.0 MB,10.1 GB,748 µs,5.79 s
242,10.0 MB,10.1 GB,748 µs,5.79 s
243,10.0 MB,10.1 GB,748 µs,5.79 s
244,10.0 MB,10.1 GB,791 µs,5.79 s
245,10.0 MB,10.1 GB,791 µs,5.79 s
246,10.0 MB,10.1 GB,791 µs,5.79 s
247,10.0 MB,10.1 GB,791 µs,5.79 s
248,10.0 MB,10.1 GB,791 µs,4.96 s
249,10.0 MB,10.1 GB,791 µs,5.05 s
250,10.0 MB,10.1 GB,791 µs,5.79 s
251,10.0 MB,10.1 GB,791 µs,5.73 s
252,10.0 MB,10.1 GB,791 µs,5.73 s
253,10.0 MB,10.1 GB,791 µs,5.73 s
254,9.76 MB,10.1 GB,797 µs,5.73 s
255,9.76 MB,10.1 GB,797 µs,5.73 s
256,9.76 MB,10.1 GB,797 µs,5.73 s
257,9.76 MB,10.1 GB,797 µs,5.73 s
258,9.76 MB,10.1 GB,816 µs,5.73 s
259,9.76 MB,10.1 GB,816 µs,5.73 s
260,9.76 MB,10.1 GB,816 µs,5.73 s
261,9.76 MB,10.1 GB,816 µs,5.73 s
262,9.76 MB,10.1 GB,816 µs,5.73 s
263,9.76 MB,10.1 GB,816 µs,5.68 s
264,9.76 MB,10.1 GB,816 µs,5.68 s
265,9.76 MB,10.1 GB,816 µs,5.68 s
266,9.76 MB,10.1 GB,816 µs,5.68 s
267,9.76 MB,10.1 GB,816 µs,5.68 s
268,9.76 MB,10.1 GB,602 µs,5.68 s
269,9.76 MB,10.1 GB,602 µs,5.68 s
270,9.76 MB,10.1 GB,602 µs,5.68 s
271,9.78 MB,10.1 GB,802 µs,5.68 s
272,9.78 MB,10.1 GB,802 µs,5.68 s
273,9.78 MB,10.1 GB,802 µs,5.68 s
274,9.78 MB,10.1 GB,802 µs,5.68 s
275,9.78 MB,10.1 GB,802 µs,5.72 s
276,9.78 MB,10.1 GB,802 µs,5.73 s
277,9.78 MB,10.1 GB,802 µs,5.73 s
278,9.78 MB,10.1 GB,802 µs,5.73 s
279,9.78 MB,10.1 GB,802 µs,5.73 s
280,9.78 MB,10.1 GB,802 µs,5.73 s
281,9.78 MB,10.1 GB,802 µs,5.73 s
282,9.79 MB,10.1 GB,803 µs,5.73 s
283,9.79 MB,10.1 GB,803 µs,5.73 s
284,9.79 MB,10.1 GB,803 µs,5.73 s
285,9.79 MB,10.1 GB,803 µs,5.73 s
286,9.79 MB,10.1 GB,803 µs,4.86 s
287,9.79 MB,10.1 GB,750 µs,4.94 s
288,9.79 MB,10.1 GB,750 µs,5.66 s
289,9.79 MB,10.1 GB,750 µs,5.66 s
290,9.79 MB,10.1 GB,750 µs,5.66 s
291,9.79 MB,10.1 GB,750 µs,5.66 s
292,9.79 MB,10.1 GB,750 µs,5.66 s
293,9.79 MB,10.1 GB,750 µs,5.66 s
294,9.79 MB,10.1 GB,750 µs,5.66 s
295,9.79 MB,10.1 GB,750 µs,5.66 s
296,9.79 MB,10.1 GB,648 µs,5.66 s
297,9.79 MB,10.1 GB,636 µs,5.66 s
298,9.79 MB,10.1 GB,623 µs,5.66 s
299,9.79 MB,10.1 GB,611 µs,5.01 s
300,9.80 MB,10.1 GB,749 µs,5.70 s
301,9.80 MB,10.1 GB,731 µs,5.74 s
302,9.80 MB,10.1 GB,731 µs,5.74 s
