step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container
767,9.82 MB,10.2 GB,797 µs,5.55 s
768,9.82 MB,10.2 GB,788 µs,5.55 s
769,9.82 MB,10.2 GB,788 µs,5.55 s
770,9.82 MB,10.2 GB,788 µs,5.55 s
771,9.82 MB,10.2 GB,788 µs,5.55 s
772,9.82 MB,10.2 GB,788 µs,5.55 s
773,9.82 MB,10.2 GB,788 µs,5.53 s
774,9.82 MB,10.2 GB,788 µs,5.53 s
775,9.82 MB,10.2 GB,788 µs,5.53 s
776,9.82 MB,10.2 GB,768 µs,5.53 s
777,9.82 MB,10.2 GB,768 µs,5.53 s
778,9.82 MB,10.2 GB,759 µs,4.77 s
779,9.82 MB,10.2 GB,759 µs,4.67 s
780,9.82 MB,10.2 GB,759 µs,4.58 s
781,9.82 MB,10.2 GB,759 µs,4.49 s
782,9.82 MB,10.2 GB,759 µs,4.40 s
783,9.82 MB,10.2 GB,759 µs,5.53 s
784,9.82 MB,10.2 GB,759 µs,5.53 s
785,9.82 MB,10.2 GB,759 µs,5.55 s
786,9.82 MB,10.2 GB,759 µs,5.55 s
787,9.82 MB,10.2 GB,759 µs,5.55 s
788,9.82 MB,10.2 GB,759 µs,5.55 s
789,9.82 MB,10.2 GB,759 µs,5.55 s
790,9.82 MB,10.2 GB,759 µs,5.55 s
791,9.82 MB,10.2 GB,759 µs,5.55 s
792,9.82 MB,10.2 GB,641 µs,5.55 s
793,9.82 MB,10.2 GB,629 µs,5.55 s
794,9.82 MB,10.2 GB,627 µs,5.55 s
795,9.82 MB,10.2 GB,751 µs,5.55 s
796,9.82 MB,10.2 GB,751 µs,5.55 s
797,9.82 MB,10.2 GB,751 µs,5.55 s
798,9.82 MB,10.2 GB,751 µs,5.54 s
799,9.82 MB,10.2 GB,751 µs,5.54 s
800,9.82 MB,10.2 GB,751 µs,5.49 s
801,9.82 MB,10.2 GB,751 µs,5.49 s
802,9.82 MB,10.2 GB,751 µs,5.49 s
803,9.82 MB,10.2 GB,751 µs,5.49 s
804,9.82 MB,10.2 GB,751 µs,5.49 s
805,9.82 MB,10.2 GB,751 µs,5.49 s
806,9.82 MB,10.2 GB,751 µs,5.49 s
807,9.82 MB,10.2 GB,736 µs,5.49 s
808,9.82 MB,10.2 GB,736 µs,5.49 s
809,9.82 MB,10.2 GB,736 µs,5.49 s
810,9.82 MB,10.2 GB,736 µs,5.49 s
811,9.82 MB,10.2 GB,736 µs,5.49 s
812,9.82 MB,10.2 GB,736 µs,5.49 s
813,9.82 MB,10.2 GB,736 µs,5.51 s
814,9.82 MB,10.2 GB,736 µs,5.51 s
815,9.82 MB,10.2 GB,736 µs,5.51 s
