"Time","GPU 0","GPU 0"
2025-09-18 11:03:00,62%,
2025-09-18 11:03:02,66%,
2025-09-18 11:03:04,63%,
2025-09-18 11:03:06,65%,
2025-09-18 11:03:08,63%,
2025-09-18 11:03:10,36%,
2025-09-18 11:03:12,65%,
2025-09-18 11:03:14,63%,
2025-09-18 11:03:16,65%,
2025-09-18 11:03:18,67%,
2025-09-18 11:03:20,66%,
2025-09-18 11:03:22,66%,
2025-09-18 11:03:24,62%,
2025-09-18 11:03:26,61%,
2025-09-18 11:03:28,62%,
2025-09-18 11:03:30,59%,
2025-09-18 11:03:32,47%,
2025-09-18 11:03:34,62%,
2025-09-18 11:03:36,65%,
2025-09-18 11:03:38,63%,
2025-09-18 11:03:40,63%,
2025-09-18 11:03:42,62%,
2025-09-18 11:03:44,62%,
2025-09-18 11:03:46,64%,
2025-09-18 11:03:48,65%,
2025-09-18 11:03:50,63%,
2025-09-18 11:03:52,55%,
2025-09-18 11:03:54,63%,
2025-09-18 11:03:56,62%,
2025-09-18 11:03:58,64%,
2025-09-18 11:04:00,61%,
2025-09-18 11:04:02,64%,
2025-09-18 11:04:04,62%,
2025-09-18 11:04:06,55%,
2025-09-18 11:04:08,20%,
2025-09-18 11:04:10,61%,
2025-09-18 11:04:12,66%,
2025-09-18 11:04:14,67%,
2025-09-18 11:04:16,67%,
2025-09-18 11:04:18,65%,
2025-09-18 11:04:20,63%,
2025-09-18 11:04:22,65%,
2025-09-18 11:04:24,62%,
2025-09-18 11:04:26,61%,
2025-09-18 11:04:28,62%,
2025-09-18 11:04:30,62%,
2025-09-18 11:04:32,64%,
2025-09-18 11:04:34,63%,
2025-09-18 11:04:36,64%,
2025-09-18 11:04:38,62%,
2025-09-18 11:04:40,62%,
2025-09-18 11:04:42,65%,
2025-09-18 11:04:44,24%,
2025-09-18 11:04:46,66%,
2025-09-18 11:04:48,64%,
2025-09-18 11:04:50,67%,
2025-09-18 11:04:52,66%,
2025-09-18 11:04:54,64%,
2025-09-18 11:04:56,64%,
2025-09-18 11:04:58,63%,
2025-09-18 11:05:00,62%,
2025-09-18 11:05:02,62%,
2025-09-18 11:05:04,43%,
2025-09-18 11:05:06,63%,
2025-09-18 11:05:08,65%,
2025-09-18 11:05:10,61%,
2025-09-18 11:05:12,66%,
2025-09-18 11:05:14,67%,
2025-09-18 11:05:16,66%,
2025-09-18 11:05:18,65%,
2025-09-18 11:05:20,66%,
2025-09-18 11:05:22,65%,
2025-09-18 11:05:24,62%,
2025-09-18 11:05:26,59%,
2025-09-18 11:05:28,33%,
2025-09-18 11:05:30,62%,
2025-09-18 11:05:32,42%,
2025-09-18 11:05:34,62%,
2025-09-18 11:05:36,62%,
2025-09-18 11:05:38,55%,
2025-09-18 11:05:40,62%,
2025-09-18 11:05:42,65%,
2025-09-18 11:05:44,64%,
2025-09-18 11:05:46,63%,
2025-09-18 11:05:48,64%,
2025-09-18 11:05:50,15%,
2025-09-18 11:05:52,64%,
2025-09-18 11:05:54,64%,
2025-09-18 11:05:56,62%,
2025-09-18 11:05:58,62%,
2025-09-18 11:06:00,63%,
2025-09-18 11:06:02,62%,
2025-09-18 11:06:04,61%,
2025-09-18 11:06:06,60%,
2025-09-18 11:06:08,62%,
2025-09-18 11:06:10,64%,
2025-09-18 11:06:12,67%,
2025-09-18 11:06:14,60%,
2025-09-18 11:06:16,66%,
2025-09-18 11:06:18,63%,
2025-09-18 11:06:20,66%,
2025-09-18 11:06:22,62%,
2025-09-18 11:06:24,58%,
2025-09-18 11:06:26,58%,
2025-09-18 11:06:28,57%,
2025-09-18 11:06:30,61%,
2025-09-18 11:06:32,58%,
2025-09-18 11:06:34,59%,
2025-09-18 11:06:36,61%,
2025-09-18 11:06:38,59%,
2025-09-18 11:06:40,58%,
2025-09-18 11:06:42,62%,
2025-09-18 11:06:44,51%,
2025-09-18 11:06:46,62%,
2025-09-18 11:06:48,65%,
2025-09-18 11:06:50,66%,
2025-09-18 11:06:52,63%,
2025-09-18 11:06:54,60%,
2025-09-18 11:06:56,56%,
2025-09-18 11:06:58,58%,
2025-09-18 11:07:00,58%,
2025-09-18 11:07:02,61%,
2025-09-18 11:07:04,63%,
2025-09-18 11:07:06,65%,
2025-09-18 11:07:08,62%,
2025-09-18 11:07:10,65%,
2025-09-18 11:07:12,62%,
2025-09-18 11:07:14,61%,
2025-09-18 11:07:16,65%,
2025-09-18 11:07:18,64%,
2025-09-18 11:07:20,39%,
2025-09-18 11:07:22,62%,
2025-09-18 11:07:24,59%,
2025-09-18 11:07:26,62%,
2025-09-18 11:07:28,61%,
2025-09-18 11:07:30,59%,
2025-09-18 11:07:32,59%,
2025-09-18 11:07:34,58%,
2025-09-18 11:07:36,60%,
2025-09-18 11:07:38,58%,
2025-09-18 11:07:40,60%,
2025-09-18 11:07:42,65%,
2025-09-18 11:07:44,62%,
2025-09-18 11:07:46,64%,
2025-09-18 11:07:48,63%,
2025-09-18 11:07:50,63%,
2025-09-18 11:07:52,64%,
2025-09-18 11:07:54,58%,
2025-09-18 11:07:56,59%,
2025-09-18 11:07:58,60%,
2025-09-18 11:08:00,60%,
2025-09-18 11:08:02,65%,
