"Time","GPU 0","GPU 0"
2025-09-18 11:28:22,65%,
2025-09-18 11:28:24,64%,
2025-09-18 11:28:26,63%,
2025-09-18 11:28:28,65%,
2025-09-18 11:28:30,61%,
2025-09-18 11:28:32,61%,
2025-09-18 11:28:34,54%,
2025-09-18 11:28:36,63%,
2025-09-18 11:28:38,63%,
2025-09-18 11:28:40,64%,
2025-09-18 11:28:42,65%,
2025-09-18 11:28:44,66%,
2025-09-18 11:28:46,51%,
2025-09-18 11:28:48,66%,
2025-09-18 11:28:50,65%,
2025-09-18 11:28:52,62%,
2025-09-18 11:28:54,41%,
2025-09-18 11:28:56,64%,
2025-09-18 11:28:58,63%,
2025-09-18 11:29:00,64%,
2025-09-18 11:29:02,61%,
2025-09-18 11:29:04,60%,
2025-09-18 11:29:06,60%,
2025-09-18 11:29:08,59%,
2025-09-18 11:29:10,63%,
2025-09-18 11:29:12,65%,
2025-09-18 11:29:14,66%,
2025-09-18 11:29:16,54%,
2025-09-18 11:29:18,66%,
2025-09-18 11:29:20,65%,
2025-09-18 11:29:22,62%,
2025-09-18 11:29:24,61%,
2025-09-18 11:29:26,32%,
2025-09-18 11:29:28,61%,
2025-09-18 11:29:30,62%,
2025-09-18 11:29:32,61%,
2025-09-18 11:29:34,62%,
2025-09-18 11:29:36,63%,
2025-09-18 11:29:38,61%,
2025-09-18 11:29:40,61%,
2025-09-18 11:29:42,63%,
2025-09-18 11:29:44,64%,
2025-09-18 11:29:46,56%,
2025-09-18 11:29:48,20%,
2025-09-18 11:29:50,65%,
2025-09-18 11:29:52,63%,
2025-09-18 11:29:54,62%,
2025-09-18 11:29:56,60%,
2025-09-18 11:29:58,61%,
2025-09-18 11:30:00,61%,
2025-09-18 11:30:02,59%,
2025-09-18 11:30:04,59%,
2025-09-18 11:30:06,58%,
2025-09-18 11:30:08,58%,
2025-09-18 11:30:10,62%,
2025-09-18 11:30:12,67%,
2025-09-18 11:30:14,65%,
2025-09-18 11:30:16,57%,
2025-09-18 11:30:18,64%,
2025-09-18 11:30:20,65%,
2025-09-18 11:30:22,61%,
2025-09-18 11:30:24,57%,
2025-09-18 11:30:26,59%,
2025-09-18 11:30:28,39%,
2025-09-18 11:30:30,62%,
2025-09-18 11:30:32,62%,
2025-09-18 11:30:34,61%,
2025-09-18 11:30:36,62%,
2025-09-18 11:30:38,59%,
2025-09-18 11:30:40,60%,
2025-09-18 11:30:42,0%,
2025-09-18 11:30:44,63%,
2025-09-18 11:30:46,51%,
2025-09-18 11:30:48,68%,
