Index,AUTO-cpu-revision,AUTO-gpu-revision,CPU,GPU
0,6.45e-05,,7.053333333333333e-05,0.000439
1,5.8200000000000005e-05,,6.9e-05,0.000439
2,5.673333333333334e-05,,6.75e-05,0.000439
3,5.5299999999999996e-05,,6.596666666666667e-05,0.000439
4,5.383333333333334e-05,,6.446666666666667e-05,0.000439
5,5.24e-05,,6.296666666666667e-05,0.000365
6,5.093333333333334e-05,,6.146666666666667e-05,0.00043
7,4.2766666666666665e-05,,5.996666666666667e-05,0.000367
8,4.1500000000000006e-05,,5.326666666666666e-05,0.000359
9,4.0199999999999995e-05,,5.1899999999999994e-05,0.000352
10,3.8900000000000004e-05,,4.57e-05,0.000345
11,3.756666666666667e-05,,4.443333333333333e-05,0.000338
12,4.41e-05,,4.32e-05,0.000331
13,4.2749999999999996e-05,,4.1966666666666666e-05,0.000323
14,4.135e-05,,0.0373618,0.000316
15,0.05752295,,0.04036093333333333,0.000309
16,0.123,,0.0947575,0.000302
17,0.132,,0.1074058,0.000295
18,0.13925,,0.14279999999999998,0.000288
19,0.14825,,0.1518,0.00028
20,0.157,,0.16040000000000001,0.000273
21,0.16540000000000002,,0.16920000000000002,0.000266
22,0.1738,,0.17760000000000004,0.00017
23,0.18239999999999998,,0.18659999999999996,0.00017
24,0.191,,0.20139999999999997,0.0686095
25,0.1996,,0.2102,0.07260649999999999
26,0.20800000000000002,,0.269,0.094402
27,0.2822,,0.27999999999999997,0.1004
28,0.29300000000000004,,0.3788,0.105731
29,0.30419999999999997,,0.4784,0.165
30,0.3154,,0.49559999999999993,0.17160000000000003
31,0.45999999999999996,,0.507,0.18039999999999998
32,0.6245999999999999,,0.5247999999999999,0.1888
33,0.6294000000000001,,0.542,0.19740000000000002
34,0.6472,,0.5589999999999999,0.20600000000000004
35,0.6654,,0.5763999999999999,0.2144
36,0.908,,0.5936,0.223
37,1.1902000000000001,,0.5952,0.23159999999999997
38,1.2244,,0.7896,0.24
39,1.2586,,0.8091999999999999,0.2486
40,1.295,,0.8306000000000001,0.25680000000000003
41,1.2928,,0.8497999999999999,0.2492
42,1.3208,,0.8686,0.2774
43,1.5088000000000001,,0.8086,0.28580000000000005
44,1.5408,,1.1747999999999998,0.2946
45,1.9,,1.1942,0.304
46,1.9460000000000002,,1.4285999999999999,0.3124
47,2.304,,1.7756,0.3214
48,2.354,,2.154,0.3298
49,2.4040000000000004,,2.2020000000000004,0.3386
50,2.4539999999999997,,2.368,0.34720000000000006
51,2.506,,2.418,0.3558
52,2.734,,2.4680000000000004,0.3646
53,2.7879999999999994,,2.5140000000000002,0.3726
54,2.844,,2.568,0.38120000000000004
55,2.896,,2.614,0.3896
56,3.0799999999999996,,2.664,0.3982
57,3.136,,2.7119999999999997,0.40599999999999997
58,3.31,,2.7600000000000002,0.41459999999999997
59,3.3699999999999997,,2.9440000000000004,0.4232
60,3.536,,3.1019999999999994,0.43199999999999994
61,3.6019999999999994,,3.446,0.4404
62,3.84,,3.476,0.449
63,3.7700000000000005,,3.536,0.4584
64,3.836,,3.595999999999999,0.4668
65,4.14,,3.868,0.4756
66,4.220000000000001,,3.944,0.484
67,4.304,,4.0200000000000005,0.493
68,4.388,,4.096,0.5006
69,4.508,,4.172,0.5094000000000001
70,4.651999999999999,,4.29,0.4808
71,4.808,,4.367999999999999,0.44960000000000006
72,4.898,,4.442,0.503
73,4.978,,4.502000000000001,0.5188
74,5.048,,4.65,0.5052000000000001
75,5.168,,4.734,0.5052000000000001
76,5.26,,4.854,0.5052000000000001
77,5.258,,5.0280000000000005,0.5052000000000001
78,5.504,,4.982,0.5038
79,5.582,,5.058,0.5038
80,5.542,,5.366,0.5038
81,5.642,,5.46,0.48599999999999993
82,5.544,,5.491999999999999,0.5004
83,5.3420000000000005,,5.51,0.5004
84,5.497999999999999,,5.138,0.4612
85,5.292,,5.318,0.47359999999999997
86,5.228,,5.36,0.4892
87,5.194,,5.396,0.4892
88,5.1739999999999995,,5.206,0.4892
89,5.4079999999999995,,5.018,0.47040000000000004
90,5.851999999999999,,5.0280000000000005,0.4720000000000001
91,5.856,,5.106,0.4596
92,5.858,,5.668,0.4838
93,5.858,,5.668,0.4838
94,5.858,,5.67,0.4838
95,5.858,,5.67,0.4692
96,5.858,,5.67,0.4676
97,5.858,,5.67,0.48319999999999996
98,5.858,,5.666,0.48319999999999996
99,5.837999999999999,,5.66,0.48319999999999996
100,5.837999999999999,,5.498000000000001,0.48319999999999996
101,5.837999999999999,,5.48,0.483
102,5.83,0.132,5.46,0.47379999999999994
103,5.831999999999999,0.141,5.434000000000001,0.47379999999999994
104,5.789999999999999,0.14400000000000002,5.404000000000001,0.47379999999999994
105,5.574,0.154,5.478,0.4755999999999999
106,5.582,0.1635,5.462000000000001,0.4739999999999999
107,5.716,0.1735,5.644,0.4766
108,5.716,0.18499999999999997,5.634,0.4766
109,5.716,0.19466666666666668,5.634,0.47640000000000005
110,5.716,0.181,5.632000000000001,0.47640000000000005
111,5.716,0.19074999999999998,5.632000000000001,0.47640000000000005
112,5.700000000000001,0.20099999999999998,5.632000000000001,0.4612
113,5.700000000000001,0.2,5.632000000000001,0.4596
114,5.700000000000001,0.21000000000000002,5.626,0.4676
115,5.700000000000001,0.205,5.626,0.4502
116,5.67,0.22080000000000002,5.626,0.46499999999999997
117,5.646,0.23020000000000002,5.626,0.469
118,5.644,0.23760000000000003,5.626,0.469
119,5.644,0.2474,5.62,0.469
120,5.4959999999999996,0.257,5.6160000000000005,0.47519999999999996
121,5.4959999999999996,0.26639999999999997,5.42,0.4758
122,5.4959999999999996,0.26180000000000003,5.268,0.4758
123,5.43,0.2692,5.104,0.44299999999999995
124,5.43,0.277,5.234,0.41180000000000005
125,5.214,0.28440000000000004,5.212000000000001,0.41180000000000005
126,5.394,0.2916,5.62,0.41180000000000005
127,5.394,0.2796,5.62,0.41679999999999995
128,5.394,0.2864,5.618,0.39760000000000006
129,5.164,0.265,5.618,0.39920000000000005
130,4.668,0.2854,5.442,0.3864
131,4.832,0.29300000000000004,5.424000000000001,0.3794
132,4.8420000000000005,0.30060000000000003,5.62,0.3742
133,4.852,0.30840000000000006,5.62,0.3742
134,4.62,0.2988,5.622,0.3638
135,4.394,0.30440000000000006,5.4159999999999995,0.3652
136,4.394,0.3104,5.427999999999999,0.3524
137,4.394,0.3362,5.446,0.3478
138,4.31,0.3438,5.602,0.3156
139,4.31,0.35119999999999996,5.602,0.3092
140,4.31,0.359,5.6,0.2934
141,4.31,0.36640000000000006,5.6,0.2934
142,4.31,0.374,5.446,0.2408
143,4.31,0.3862,5.422,0.2408
144,3.8,0.39380000000000004,5.406000000000001,0.2408
145,3.8,0.4018,5.385999999999999,0.2408
146,3.444,0.3992,5.38,0.22160000000000002
147,3.3600000000000003,0.4056,5.398,0.20740000000000003
148,3.498,0.41180000000000005,5.418,0.2
149,3.2920000000000003,0.42519999999999997,5.601999999999999,0.2
150,2.7884,0.41720000000000007,5.6,0.2
151,2.5944000000000003,0.4168,5.422,0.1892
152,2.5944000000000003,0.41980000000000006,5.6,0.1672
153,2.5944000000000003,0.4266,5.6,0.1672
154,2.5944000000000003,0.43479999999999996,5.606,0.1672
155,2.5944000000000003,0.43760000000000004,5.606,0.13954
156,2.4764000000000004,0.4408,5.609999999999999,0.13954
157,2.4764000000000004,0.44400000000000006,5.609999999999999,0.0938824
158,2.4764000000000004,0.43520000000000003,5.606,0.093884
159,2.0612000000000004,0.4368,5.604000000000001,0.0938858
160,2.052,0.433,5.432,0.09388740000000001
161,2.0408,0.433,5.414,0.0679882
162,1.9428,0.4422,5.606,0.0641514
163,1.7582,0.4422,5.606,0.0641514
164,1.2242000000000002,0.4396,5.606,0.0641514
165,1.2242000000000002,0.4452,5.608,0.0336314
166,0.9822000000000001,0.4286,5.606,0.0336314
167,0.8504252000000001,0.44400000000000006,5.395999999999999,0.0178362
168,0.8720252000000001,0.4484,5.422,0.0160906
169,0.8720252000000001,0.46340000000000003,5.4399999999999995,0.0041144
170,0.8274252000000001,0.4544,5.458,0.004116
171,0.8274252000000001,0.457,5.614,0.0050212500000000005
172,0.8274252000000001,0.4588,5.614,0.005014000000000001
173,0.8274252000000001,0.4572,5.614,0.006503000000000001
174,0.8274252000000001,0.46040000000000003,5.419999999999999,0.006500333333333334
175,0.8274252000000001,0.47620000000000007,5.438,0.009548000000000001
176,0.45882520000000004,0.48979999999999996,5.603999999999999,0.018600000000000002
177,0.33304560000000005,0.5016,5.603999999999999,0.018600000000000002
178,0.327446,0.46560000000000007,5.438,0.018600000000000002
179,0.3274468,0.46560000000000007,5.418,0.018600000000000002
180,0.2854452,0.46579999999999994,5.396,0.000372
181,0.255475,0.46579999999999994,5.602,0.00038
182,0.24947500000000003,0.46559999999999996,5.602,
183,0.02349064,0.5004,5.44,
184,0.023504,0.5025999999999999,5.42,
185,0.023504,0.5025999999999999,5.4,
186,0.023504,0.503,5.2299999999999995,
187,0.023504,0.48579999999999995,5.36,
188,0.023504,0.48760000000000003,5.596,
189,0.018203999999999998,0.5044000000000001,5.596,
190,0.018203999999999998,0.49060000000000004,5.596,
191,0.00012780000000000002,0.49239999999999995,5.454000000000001,
192,0.00012820000000000003,0.47940000000000005,5.45,
193,0.00013175,0.47600000000000003,5.602,
194,0.00013175,0.47825,5.602,
195,0.000125,0.48175,5.422,
196,0.000125,0.49825,5.4399999999999995,
197,0.000125,0.49425,5.606,
198,0.00012425,0.49425,5.606,
199,0.00012425,0.47825,5.61,
200,0.00012425,0.456,5.61,
201,0.00012425,0.4565,5.444,
202,0.00012275,0.45425000000000004,5.462000000000001,
203,0.00012174999999999999,0.4485,5.61,
204,0.0001175,0.4465,5.612,
205,0.000118,0.42075,5.612,
206,0.00011475,0.4485,5.382,
207,0.00011549999999999999,0.4485,5.076,
208,0.000116,0.43625,5.246,
209,0.00011925,0.403,5.244,
210,0.00011825,0.404,5.394,
211,0.00011825,0.40475,5.3740000000000006,
212,0.00011395,0.40575,5.608,
213,0.0001135,0.38249999999999995,5.604,
214,0.00010955,0.37675,5.604,
215,0.00010912499999999998,0.37675,5.604,
216,0.0001037,0.37675,5.606,
217,0.00010180000000000001,0.37675,5.606,
218,0.0001006,0.36974999999999997,5.606,
219,9.67e-05,0.36874999999999997,5.606,
220,9.535e-05,0.366,5.606,
221,9.3725e-05,0.365,5.452,
222,9.237500000000001e-05,0.3575,5.25,
223,8.4775e-05,0.31625,5.414,
224,7.520000000000001e-05,0.298,5.606,
225,7.434999999999999e-05,0.25175000000000003,5.446,
226,7.3425e-05,0.253,5.610000000000001,
227,7.257499999999999e-05,0.23335,5.612000000000001,
228,7.5e-05,0.24259999999999998,5.362,
229,7.37e-05,0.20285,5.382,
230,6.4225e-05,0.20235,5.404,
231,5.955e-05,0.18460000000000001,5.422000000000001,
232,5.992499999999999e-05,0.18385,5.442,
233,5.8425000000000004e-05,0.1751,5.462,
234,5.690000000000001e-05,0.1751,5.6160000000000005,
235,5.5375e-05,0.1751,5.6160000000000005,
236,5.237499999999999e-05,0.1751,5.6160000000000005,
237,5.0874999999999997e-05,0.170875,5.6160000000000005,
238,4.9424999999999995e-05,0.1586235,5.4479999999999995,
239,5.376666666666666e-05,0.1386235,5.422,
240,5.22e-05,0.1288735,5.606,
241,5.0633333333333335e-05,0.1203735,5.418,
242,4.91e-05,0.1203735,5.436,
243,4.756666666666667e-05,0.1279,5.458,
244,3.266666666666667e-05,0.094395,5.614,
245,3.173333333333334e-05,0.094395,5.614,
246,3.0799999999999996e-05,0.03186133333333333,5.614,
247,2.986666666666667e-05,0.031891,5.614,
248,2.8933333333333333e-05,0.031891,5.4479999999999995,
249,2.6300000000000002e-05,0.031891,5.465999999999999,
250,2.535e-05,0.031865000000000004,5.614,
251,2.435e-05,0.03186233333333333,5.601999999999999,
252,2.34e-05,0.031884666666666665,5.384,
253,2.96e-05,0.047594000000000004,5.4,
254,2.85e-05,0.0475905,5.42,
255,2.74e-05,0.0004905,5.606,
256,2.6300000000000002e-05,0.0004905,5.606,
257,2.52e-05,0.00047749999999999995,5.606,
258,2.4100000000000003e-05,0.00047749999999999995,5.606,
259,2.3e-05,0.00047749999999999995,5.612,
260,2.1899999999999997e-05,0.00047749999999999995,5.616,
261,2.08e-05,0.00047749999999999995,5.616,
262,,0.00047749999999999995,5.616,
263,,0.000481,5.606,
264,,0.000481,5.606,
265,,,5.606,
266,,,5.608,
267,,,5.608,
268,,,5.61,
269,,,5.61,
270,,,5.608,
271,,,5.608,
272,,,5.608,
273,,,5.422,
274,,,5.44,
275,,,5.465999999999999,
276,,,5.624,
277,,,5.624,
278,,,5.624,
279,,,5.624,
280,,,5.624,
281,,,5.622,
282,,,5.622,
283,,,5.626,
284,,,5.446,
285,,,5.064,
286,,,5.0600000000000005,
287,,,5.4719999999999995,
288,,,5.616,
289,,,5.616,
290,,,5.62,
291,,,5.62,
292,,,5.62,
293,,,5.622,
294,,,5.622,
295,,,5.622,
296,,,5.622,
297,,,5.622,
298,,,5.622,
299,,,5.492,
300,,,5.628,
301,,,5.464,
302,,,5.46,
303,,,5.478,
304,,,5.65,
305,,,5.65,
306,,,5.65,
307,,,5.65,
308,,,5.486,
309,,,5.468,
310,,,5.45,
311,,,5.656,
312,,,5.651999999999999,
313,,,5.651999999999999,
314,,,5.651999999999999,
315,,,5.662,
316,,,5.662,
317,,,5.456,
318,,,5.294,
319,,,5.296,
320,,,5.5,
321,,,5.66,
322,,,5.66,
323,,,5.651999999999999,
324,,,5.651999999999999,
325,,,5.508,
326,,,5.4879999999999995,
327,,,5.651999999999999,
328,,,5.652,
329,,,5.494000000000001,
330,,,5.28,
331,,,5.28,
332,,,5.434,
333,,,5.414,
334,,,5.648000000000001,
335,,,5.662,
336,,,5.662,
337,,,5.6659999999999995,
338,,,5.6659999999999995,
339,,,5.667999999999999,
340,,,5.667999999999999,
341,,,5.662,
342,,,5.662,
343,,,5.504,
344,,,5.662,
345,,,5.656,
346,,,5.651999999999999,
347,,,5.639999999999999,
348,,,5.639999999999999,
349,,,5.639999999999999,
350,,,5.644,
351,,,5.644,
352,,,5.642,
353,,,5.45,
354,,,5.468,
355,,,5.486,
356,,,5.476000000000001,
357,,,5.456,
358,,,5.438,
359,,,5.644,
360,,,5.474,
361,,,5.465999999999999,
362,,,5.642,
363,,,5.642,
364,,,5.642,
365,,,5.642,
366,,,5.642,
367,,,5.482000000000001,
368,,,5.652000000000001,
369,,,5.652000000000001,
370,,,5.652000000000001,
371,,,5.478,
372,,,5.65,
373,,,5.65,
374,,,5.65,
375,,,5.204,
376,,,5.448,
377,,,5.0920000000000005,
378,,,5.476000000000001,
379,,,5.446,
380,,,5.628,
381,,,5.628,
382,,,5.628,
383,,,5.6,
384,,,5.6,
385,,,5.6,
386,,,5.602,
387,,,5.6,
388,,,5.5920000000000005,
389,,,5.5920000000000005,
390,,,5.5920000000000005,
391,,,5.596,
392,,,5.42,
393,,,5.594,
394,,,5.594,
395,,,5.594,
396,,,5.574000000000001,
397,,,5.569999999999999,
398,,,5.569999999999999,
399,,,5.561999999999999,
400,,,5.561999999999999,
401,,,5.552,
402,,,5.552,
403,,,5.548,
404,,,5.544,
405,,,5.544,
406,,,5.35,
407,,,5.554,
408,,,5.542,
409,,,5.542,
410,,,5.55,
411,,,5.55,
412,,,5.36,
413,,,5.512,
414,,,5.518,
415,,,5.526000000000001,
416,,,5.526000000000001,
417,,,5.526000000000001,
418,,,5.526000000000001,
419,,,5.296,
420,,,5.312,
421,,,5.124,
422,,,5.164,
423,,,5.2,
424,,,5.2379999999999995,
425,,,5.536,
426,,,5.536,
427,,,5.532000000000001,
428,,,5.384,
429,,,5.3740000000000006,
430,,,5.356,
431,,,5.337999999999999,
432,,,5.172,
433,,,5.12,
434,,,5.0840000000000005,
435,,,5.3260000000000005,
436,,,5.531999999999999,
437,,,5.531999999999999,
438,,,5.5280000000000005,
439,,,5.5280000000000005,
440,,,5.356,
441,,,5.374,
442,,,5.525999999999999,
443,,,5.534,
444,,,5.532,
445,,,5.532,
446,,,5.532,
447,,,5.308000000000001,
448,,,5.328,
449,,,5.346000000000001,
450,,,5.384,
451,,,5.409999999999999,
452,,,5.561999999999999,
453,,,5.548,
454,,,5.548,
455,,,5.548,
456,,,5.564,
457,,,5.564,
458,,,5.564,
459,,,5.564,
460,,,5.564,
461,,,5.5600000000000005,
462,,,5.406000000000001,
463,,,5.378000000000001,
464,,,5.554,
465,,,5.554,
466,,,5.554,
467,,,5.55,
468,,,5.568,
469,,,5.5600000000000005,
470,,,5.5600000000000005,
471,,,5.5600000000000005,
472,,,5.5600000000000005,
473,,,5.5600000000000005,
474,,,5.561999999999999,
475,,,5.351999999999999,
476,,,5.558,
477,,,5.561999999999999,
478,,,5.36,
479,,,5.378,
480,,,5.406,
481,,,5.435999999999999,
482,,,5.588,
483,,,5.588,
484,,,5.588,
485,,,5.588,
486,,,5.588,
487,,,5.585999999999999,
488,,,5.441999999999999,
489,,,5.58,
490,,,5.58,
491,,,5.568,
492,,,5.578,
493,,,5.568,
494,,,5.568,
495,,,5.35,
496,,,5.368,
497,,,5.388,
498,,,5.406000000000001,
499,,,5.5600000000000005,
500,,,5.5600000000000005,
501,,,5.5600000000000005,
502,,,5.5600000000000005,
503,,,5.561999999999999,
504,,,5.38,
505,,,4.9239999999999995,
506,,,5.2139999999999995,
507,,,5.178,
508,,,5.5920000000000005,
509,,,5.5920000000000005,
510,,,5.586,
511,,,5.586,
512,,,5.586,
513,,,5.42,
514,,,5.438,
515,,,5.587999999999999,
516,,,5.587999999999999,
517,,,5.59,
518,,,5.422,
519,,,5.58,
520,,,5.434,
521,,,5.226000000000001,
522,,,5.062,
523,,,5.196,
