Execution Mode,Response Time
CPU,1296.862506866455
CPU,1321.9619274139404
CPU,1633.514642715454
CPU,1371.4063167572021
CPU,1366.6644096374512
CPU,1330.804443359375
CPU,1677.974557876587
CPU,1287.007188796997
CPU,1274.1146087646484
CPU,1782.0990562438965
CPU,1334.368371963501
CPU,1607.5062274932861
CPU,1541.9054985046387
CPU,1476.8392086029053
CPU,1571.230173110962
CPU,1566.2261962890625
CPU,1574.6265888214111
CPU,1441.469430923462
CPU,1324.991512298584
CPU,1592.8645133972168
CPU,2589.2621994018555
CPU,1945.8881855010986
CPU,2027.9422760009766
CPU,2935.901165008545
CPU,1263.5327816009521
CPU,1432.1485042572021
CPU,1257.429027557373
CPU,1742.6845073699951
CPU,1268.9760208129883
CPU,1453.904676437378
CPU,1295.5868244171143
CPU,1427.149772644043
CPU,2595.920467376709
CPU,3598.8533973693848
CPU,1332.6696395874023
CPU,1669.640827178955
CPU,2310.8970165252686
CPU,1340.9804821014404
CPU,1360.9723567962646
CPU,1323.7929344177246
CPU,1277.6493072509766
CPU,1298.2508182525635
CPU,1357.3962688446045
CPU,1610.6765270233154
CPU,1334.1768264770508
CPU,1361.2346649169922
CPU,1374.8397827148438
CPU,1427.269983291626
CPU,1837.099552154541
CPU,1685.744571685791
CPU,1378.787612915039
CPU,1801.2868404388428
CPU,1325.1289367675781
CPU,1605.0914287567139
CPU,1257.8272342681885
CPU,2581.4201831817627
CPU,1917.3884391784668
CPU,1320.9590911865234
CPU,1855.6107997894287
CPU,1311.0521793365479
CPU,1358.646583557129
CPU,1371.6157913208008
CPU,1760.979986190796
CPU,1374.8195171356201
CPU,1327.4339199066162
CPU,1404.800796508789
CPU,1550.1468658447266
CPU,1617.055320739746
CPU,1369.6735858917236
CPU,1882.7356338500977
CPU,1358.1360340118408
CPU,1706.562900543213
CPU,2129.973793029785
CPU,1749.1351127624512
CPU,1374.7060298919678
CPU,1274.6113300323486
CPU,1330.3129196166992
CPU,1291.5390014648438
CPU,1519.816255569458
CPU,1385.7256889343262
CPU,1351.2916564941406
CPU,1238.0319118499756
CPU,1578.3985614776611
CPU,1382.6273441314697
CPU,1358.9668273925781
CPU,1232.9467296600342
CPU,1400.0950336456299
CPU,1420.0260639190674
CPU,1265.0902271270752
CPU,1341.6702270507812
CPU,1230.8132648468018
CPU,1233.9787006378174
CPU,1786.8731498718262
CPU,1265.8480167388916
CPU,1326.3696193695068
CPU,1302.6916027069092
CPU,1826.9959449768066
CPU,1983.0524921417236
CPU,1559.7981452941895
CPU,1341.0512924194336
CPU,1691.4242267608643
CPU,1359.0248107910156
CPU,2562.2798442840576
CPU,1377.9607772827148
CPU,1238.2729530334473
CPU,2313.549280166626
CPU,1368.6780452728271
CPU,1375.243854522705
CPU,1293.5306072235107
CPU,1315.342903137207
CPU,1465.1349544525146
CPU,1530.26762008667
CPU,2533.7661743164062
CPU,1290.051555633545
CPU,1336.1867904663086
CPU,1366.068696975708
CPU,1381.8746089935303
CPU,1394.1834449768066
CPU,1360.6207847595215
CPU,1251.34859085083
CPU,2096.548891067505
CPU,2110.837984085083
CPU,1309.9263668060303
CPU,2078.5080432891846
CPU,1287.0416164398193
CPU,1351.5429973602295
CPU,1322.2949981689453
CPU,1370.2765464782715
CPU,1776.73020362854
CPU,1325.2689838409424
CPU,1874.3698120117188
CPU,1313.5966777801514
CPU,1378.787612915039
CPU,1518.7955379486084
CPU,1299.6824264526367
CPU,1397.28364944458
CPU,1347.5314140319824
CPU,1417.4606800079346
CPU,1294.1340923309326
CPU,1229.2398929595947
CPU,1434.999704360962
CPU,1455.1899909973145
CPU,1672.7232456207275
CPU,2669.9904918670654
CPU,1406.4602375030518
CPU,1497.8795051574707
CPU,1300.1017570495605
CPU,1312.7166748046875
CPU,1262.6912117004395
CPU,1579.9838542938232
CPU,1303.309154510498
CPU,1371.8388557434082
CPU,1276.6411781311035
CPU,3232.4298858642574
CPU,1810.211992263794
CPU,1318.5205459594727
CPU,1350.8362293243408
CPU,1696.497392654419
CPU,1376.4567375183105
CPU,1800.7818698883057
CPU,1374.3883609771729
CPU,1345.0809478759766
CPU,1701.020860671997
CPU,1322.3956108093262
CPU,1288.9713764190674
CPU,1702.745246887207
CPU,1227.0910739898682
CPU,1670.0282573699951
CPU,1603.5122871398926
CPU,2093.6789512634277
CPU,1586.9776248931885
CPU,1412.451410293579
CPU,1263.5227680206299
CPU,1417.5333976745605
CPU,1248.5578536987305
CPU,1651.786756515503
CPU,1405.639362335205
CPU,1751.3129234313965
CPU,1243.8955783843994
CPU,1520.0983047485352
CPU,1425.9079933166504
CPU,1279.5958042144775
CPU,1272.733736038208
CPU,1429.9405574798584
CPU,2480.186605453491
CPU,3213.9575958251958
CPU,1647.340440750122
CPU,1282.5135707855225
CPU,2727.170419692993
CPU,1546.6158866882324
CPU,1314.4440174102783
CPU,1744.469928741455
CPU,2974.4990825653076
CPU,2016.9971466064453
CPU,1229.0722846984863
CPU,1512.311029434204
CPU,1362.914752960205
CPU,1302.8131484985352
CPU,1341.330909729004
CPU,1428.0243873596191
CPU,1513.0478382110596
CPU,1244.466209411621
CPU,1317.0316696166992
CPU,1325.688648223877
CPU,1527.1498203277588
CPU,1335.2157592773438
CPU,2180.149984359741
CPU,1564.0592098236084
CPU,1299.1742134094238
CPU,1833.6533069610596
CPU,1473.0591297149658
CPU,1309.4784259796143
CPU,2415.2600288391113
CPU,1295.4555988311768
CPU,1345.0071811676025
CPU,2997.5284576416016
CPU,1974.404764175415
CPU,1717.7621364593506
CPU,1425.5291938781738
CPU,1602.7843952178955
CPU,1362.5327110290527
CPU,1258.7650299072266
CPU,1454.123067855835
CPU,1933.0797672271729
CPU,1426.4513492584229
CPU,1702.606725692749
CPU,1391.042423248291
CPU,1363.0999088287354
CPU,1601.133632659912
CPU,1488.1537914276123
CPU,1609.9256038665771
