step,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu-2_queue-proxy,cpu-cpu-2_user-container,cpu-cpu-1_queue-proxy,cpu-cpu-1_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,ram-cpu-2_queue-proxy,ram-cpu-2_user-container,ram-cpu-1_queue-proxy,ram-cpu-1_user-container,gpu_gpu_0
0,7.18 MB,16.0 MB,,,,,,,,,7.28 MB,16.1 MB,
1,7.18 MB,16.0 MB,,,,,,,,,7.28 MB,16.1 MB,
2,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
3,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
4,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
5,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
6,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
7,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
8,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
9,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
10,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
11,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
12,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
13,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
14,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
15,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
16,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
17,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
18,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
19,7.18 MB,16.0 MB,,,,,,,,,11.0 MB,19.4 MB,
20,7.18 MB,16.0 MB,,,,2.17 ms,,,,,11.0 MB,33.2 MB,
21,7.18 MB,16.0 MB,,,,2.28 ms,,,,,11.0 MB,33.2 MB,
22,7.18 MB,16.0 MB,,,,2.39 ms,,,,,11.0 MB,33.2 MB,
23,7.18 MB,16.0 MB,,,,2.49 ms,,,,,11.0 MB,33.2 MB,
24,7.18 MB,16.0 MB,,,,2.60 ms,,,,,11.0 MB,33.2 MB,
25,7.18 MB,16.0 MB,,,,2.70 ms,,,,,11.0 MB,33.2 MB,
26,7.18 MB,16.0 MB,,,,2.81 ms,,,,,11.0 MB,33.2 MB,
27,7.18 MB,16.0 MB,,,,2.91 ms,,,,,11.0 MB,33.2 MB,
28,7.18 MB,16.0 MB,,,792 µs,3.02 ms,,,,,15.2 MB,33.2 MB,
29,7.18 MB,16.0 MB,,,814 µs,3.12 ms,,,,,15.2 MB,33.2 MB,
30,7.18 MB,16.0 MB,,,836 µs,3.23 ms,,,,,15.2 MB,33.2 MB,
31,7.18 MB,16.0 MB,,,858 µs,3.33 ms,,,,,15.2 MB,33.2 MB,
32,7.18 MB,16.0 MB,,,880 µs,3.44 ms,,,,,15.2 MB,33.2 MB,
33,7.18 MB,16.0 MB,,,902 µs,3.55 ms,,,,,15.2 MB,33.2 MB,
34,7.18 MB,16.0 MB,,,924 µs,3.65 ms,,,,,15.2 MB,33.2 MB,
35,7.18 MB,16.0 MB,,,946 µs,3.76 ms,,,,,15.2 MB,33.2 MB,
36,7.18 MB,16.0 MB,,,968 µs,2.67 ms,,,,,15.2 MB,33.7 MB,
37,7.18 MB,16.0 MB,,,990 µs,2.74 ms,,,,,15.2 MB,33.7 MB,
38,7.18 MB,16.0 MB,,,1.01 ms,2.82 ms,,,,,15.2 MB,33.7 MB,
39,7.18 MB,16.0 MB,,,1.03 ms,2.89 ms,,,,,15.2 MB,33.7 MB,
40,7.18 MB,16.0 MB,,,1.06 ms,2.96 ms,,,,,15.2 MB,33.7 MB,
41,7.18 MB,16.0 MB,,,1.08 ms,3.03 ms,,,,,15.2 MB,33.7 MB,
42,7.18 MB,16.0 MB,,,1.10 ms,3.10 ms,,,,,15.2 MB,33.7 MB,
43,7.18 MB,16.0 MB,,,1.12 ms,3.17 ms,,,,,15.2 MB,33.7 MB,
44,7.18 MB,16.0 MB,,,1.12 ms,3.24 ms,,,,,15.8 MB,33.7 MB,
45,7.18 MB,16.0 MB,,,1.14 ms,3.31 ms,,,,,15.8 MB,33.7 MB,
46,7.18 MB,16.0 MB,,,1.16 ms,3.01 ms,,,,,15.8 MB,34.0 MB,
47,7.18 MB,16.0 MB,,,1.19 ms,3.07 ms,,,,,15.8 MB,34.0 MB,
48,7.18 MB,16.0 MB,,,1.21 ms,3.13 ms,,,,,15.8 MB,34.0 MB,
49,7.18 MB,16.0 MB,,,1.23 ms,3.20 ms,,,,,15.8 MB,34.0 MB,
50,7.18 MB,16.0 MB,,,1.25 ms,3.26 ms,,,,,15.8 MB,34.0 MB,
51,7.18 MB,16.0 MB,,,1.27 ms,3.32 ms,,,,,15.8 MB,34.0 MB,
52,7.18 MB,16.0 MB,,,1.29 ms,3.39 ms,,,,,15.8 MB,34.0 MB,
53,7.18 MB,16.0 MB,,,1.29 ms,3.45 ms,,,,,15.8 MB,34.0 MB,
54,7.18 MB,16.0 MB,,,1.29 ms,3.51 ms,,,,,15.8 MB,34.0 MB,
55,7.18 MB,16.0 MB,,,1.29 ms,3.57 ms,,,,,15.8 MB,34.0 MB,
56,7.18 MB,16.0 MB,,,1.29 ms,3.64 ms,,,,,15.8 MB,34.0 MB,
57,7.18 MB,16.0 MB,,,1.29 ms,3.70 ms,,,,,15.8 MB,34.0 MB,
58,7.18 MB,16.0 MB,,,1.29 ms,3.31 ms,,,,,15.8 MB,34.0 MB,
