,response_time_ms,gpu_used
0,3053.3151626586914,False
1,2151.4899730682373,False
2,2150.205135345459,False
3,2119.624137878418,False
4,2078.5610675811768,False
5,2142.444849014282,False
6,2076.164722442627,False
7,2075.927734375,False
8,2072.7407932281494,False
9,2171.53000831604,False
10,2114.1040325164795,False
11,2082.489252090454,False
12,2114.187002182007,False
13,2078.3438682556152,False
14,2075.727939605713,False
15,2074.256896972656,False
16,2077.337741851806,False
17,2078.1309604644775,False
18,2140.980005264282,False
19,2074.4917392730713,False
20,2079.0860652923584,False
21,2114.6881580352783,False
22,2117.130756378174,True
23,2112.5428676605225,True
24,2109.7238063812256,True
25,2106.633186340332,True
26,2106.189012527466,True
27,2104.8641204833984,True
28,2128.5240650177,True
29,2105.1859855651855,True
30,2114.3319606781006,True
31,2110.2828979492188,True
32,2107.254981994629,True
33,2104.1200160980225,True
34,2121.227979660034,True
35,2103.250741958618,True
36,2157.1199893951416,True
37,2105.315923690796,True
38,2106.6598892211914,True
39,2108.4887981414795,True
40,2108.5522174835205,True
41,2113.572120666504,True
42,2150.3920555114746,True
43,2109.527826309204,True
44,2107.503890991211,True
45,2105.7190895080566,True
46,2111.2430095672607,True
47,2108.910083770752,True
48,2152.2607803344727,True
49,2104.724884033203,True
50,2112.2679710388184,True
51,2129.1117668151855,True
52,2113.5730743408203,True
53,2112.7569675445557,True
54,2118.8206672668457,True
55,2104.2139530181885,True
56,2102.9582023620605,True
57,2119.701862335205,True
58,2113.9261722564697,True
59,2105.5619716644287,True
60,2148.573160171509,True
61,2102.593898773194,True
62,2108.0589294433594,True
63,2133.498191833496,True
64,2109.1620922088623,True
65,2102.697372436523,True
66,2136.485815048218,True
67,2106.548070907593,True
68,2109.0781688690186,True
69,2108.6349487304688,True
70,2118.4980869293213,True
71,2106.7399978637695,True
72,2142.451763153076,True
73,2149.8560905456543,True
74,2153.386116027832,True
75,2105.5119037628174,True
76,2078.366756439209,False
77,2075.406074523926,False
78,2073.557138442993,False
79,2077.028751373291,False
80,2179.9979209899902,False
81,2077.315092086792,False
82,2077.587842941284,False
83,2076.6971111297607,False
84,2082.6690196990967,False
85,2082.1149349212646,False
86,2089.1730785369873,False
87,2151.803970336914,False
88,2080.933094024658,False
89,2077.6350498199463,False
90,2116.6210174560547,False
91,2075.6583213806152,False
92,2086.1549377441406,False
93,2074.727773666382,False
94,2077.415943145752,False
95,2092.982053756714,False
96,2078.399896621704,False
97,2117.213249206543,False
98,2075.395107269287,False
99,2074.3658542633057,False
100,2097.1078872680664,False
101,2074.0389823913574,False
102,2117.3019409179688,False
103,2150.710105895996,False
104,2074.8281478881836,False
105,2116.6231632232666,False
106,2157.16290473938,False
107,2075.1419067382812,False
108,2123.325824737549,False
109,2076.4050483703613,False
110,2118.6442375183105,False
111,2149.303913116455,False
112,2077.354907989502,False
113,2113.392114639282,False
114,2075.5016803741455,False
115,2080.6310176849365,False
116,2075.157880783081,False
117,2168.47825050354,False
118,2078.5470008850098,False
119,2076.8837928771973,False
120,2073.259115219116,False
121,2069.7946548461914,False
122,2088.31524848938,False
123,2101.959228515625,False
124,2150.9950160980225,False
125,2116.17112159729,False
126,2096.935033798218,False
127,2092.2980308532715,False
128,2116.9447898864746,False
129,2118.8502311706543,False
130,2149.7321128845215,False
131,2074.2766857147217,False
132,2075.4470825195312,False
133,2093.2211875915527,False
134,2077.4762630462646,False
135,2221.5700149536133,False
136,2080.3909301757812,False
137,2112.2210025787354,False
138,2076.746940612793,False
139,2121.91104888916,False
140,2101.4280319213867,False
141,2199.9642848968506,False
142,2148.247718811035,False
143,2075.307130813598,False
144,2120.4521656036377,False
145,2076.235055923462,False
146,2071.2690353393555,False
147,2097.590208053589,False
148,2148.4498977661133,False
149,2113.541841506958,False
150,2076.369047164917,False
151,2157.6778888702393,False
152,2114.6581172943115,False
153,2080.8017253875732,False
154,2079.648017883301,False
155,2119.619131088257,False
156,2079.2078971862793,False
157,2116.619110107422,False
158,2073.9002227783203,False
159,2122.967004776001,False
160,2148.3712196350098,False
161,2148.6639976501465,False
162,2149.358034133911,False
163,2150.438070297241,False
164,2076.0703086853027,False
165,2073.424816131592,False
166,2073.570728302002,False
167,2074.7039318084717,False
168,2076.8539905548096,False
169,2111.7968559265137,False
170,2075.721025466919,False
171,2118.220090866089,False
172,2075.756788253784,False
173,2075.2499103546143,False
174,2091.9768810272217,False
175,2155.992031097412,False
176,2122.01189994812,False
177,2074.9340057373047,False
178,2103.386878967285,False
179,2075.6359100341797,False
180,2152.6308059692383,False
181,2157.1710109710693,False
182,2074.4900703430176,False
183,2119.875907897949,False
184,2073.2169151306152,False
185,2076.4291286468506,False
186,2073.0409622192383,False
187,2168.818950653076,False
188,2076.5700340270996,False
189,2119.976282119751,False
190,2147.4568843841553,False
191,2076.335906982422,False
192,2116.985082626343,False
193,2071.885108947754,False
194,2075.453996658325,False
195,2077.7738094329834,False
196,2174.7751235961914,False
197,2116.345167160034,False
198,2075.540781021118,False
199,2152.449131011963,False
