step,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu-2_queue-proxy,cpu-cpu-2_user-container,cpu-cpu-1_queue-proxy,cpu-cpu-1_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,ram-cpu-2_queue-proxy,ram-cpu-2_user-container,ram-cpu-1_queue-proxy,ram-cpu-1_user-container,gpu_gpu_0
0,,,,,,,,,,,,,
1,,,,,,,,,,,,2.12 MB,
2,,,,,,,,,,,3.63 MB,2.12 MB,
3,,,,,,,,,,,3.63 MB,2.12 MB,
4,,,,,,,,,,,3.63 MB,2.12 MB,
5,,,,,,,,,,,3.63 MB,2.12 MB,
6,,,,,,,,,,,3.63 MB,2.12 MB,
7,,,,,,,,,,,3.63 MB,2.12 MB,
8,,,,,,,,,,,3.63 MB,2.12 MB,
9,,,,,,,,,,,3.63 MB,2.12 MB,
10,,,,,,,,,,,3.63 MB,2.12 MB,
11,,,,,,,,,,,3.63 MB,2.12 MB,
12,,,,,,1.77 ms,,,,,3.63 MB,16.0 MB,
13,,,,,487 µs,1.92 ms,,,,,7.82 MB,16.0 MB,
14,,,,,515 µs,2.07 ms,,,,,7.82 MB,16.0 MB,
15,,,,,543 µs,2.23 ms,,,,,7.82 MB,16.0 MB,
16,,,,,570 µs,2.38 ms,,,,,7.82 MB,16.0 MB,
17,,,,,598 µs,2.53 ms,,,,,7.82 MB,16.0 MB,
18,,,,,626 µs,2.68 ms,,,,,7.82 MB,16.0 MB,
19,,,,,654 µs,2.84 ms,,,,,7.82 MB,16.0 MB,
20,,,,,681 µs,2.99 ms,,,,,7.82 MB,16.0 MB,
21,,,,,709 µs,3.14 ms,,,,,7.82 MB,16.0 MB,
22,,,,,737 µs,3.29 ms,,,,,7.82 MB,16.0 MB,
23,,,,,765 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
24,,,,,792 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
25,,,,,621 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
26,,,,,621 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
27,,,,,621 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
28,,,,,621 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
29,,,,,621 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
30,,,,,621 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
31,,,,,621 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
32,,,,,621 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
33,,,,,621 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
34,,,,,621 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
35,,,,,621 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
36,,,,,621 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
37,,,,,621 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
38,,,,,621 µs,2.39 ms,,,,,7.82 MB,16.0 MB,
39,,,,,705 µs,2.39 ms,,,,,7.99 MB,16.0 MB,
40,,,,,720 µs,2.39 ms,,,,,7.99 MB,16.0 MB,
41,,,,,810 µs,2.39 ms,,,,,7.99 MB,16.0 MB,
42,,,,,825 µs,2.39 ms,,,,,7.99 MB,16.0 MB,
43,,,,,840 µs,2.38 ms,,,,,7.99 MB,16.1 MB,
44,,,,,855 µs,2.43 ms,,,,,7.99 MB,16.1 MB,
45,,,,,869 µs,2.48 ms,,,,,7.99 MB,16.1 MB,
46,3.42 MB,2.12 MB,,,884 µs,2.54 ms,,,,,7.99 MB,16.1 MB,0%
47,3.42 MB,2.12 MB,,,891 µs,2.59 ms,,,,,7.99 MB,16.1 MB,0%
48,3.42 MB,2.12 MB,,,891 µs,2.65 ms,,,,,7.99 MB,16.1 MB,0%
49,3.42 MB,2.12 MB,,,891 µs,2.70 ms,,,,,7.99 MB,16.1 MB,0%
50,3.42 MB,2.12 MB,,,891 µs,2.76 ms,,,,,7.99 MB,16.1 MB,0%
51,3.42 MB,2.12 MB,,,891 µs,2.81 ms,,,,,7.99 MB,16.1 MB,0%
52,3.42 MB,2.12 MB,,,891 µs,2.87 ms,,,,,7.99 MB,16.1 MB,0%
53,3.42 MB,2.12 MB,,,891 µs,2.92 ms,,,,,7.99 MB,16.1 MB,0%
54,3.42 MB,2.12 MB,,,891 µs,2.98 ms,,,,,7.99 MB,16.1 MB,0%
55,3.42 MB,2.12 MB,,,891 µs,3.03 ms,,,,,7.99 MB,16.1 MB,0%
56,3.42 MB,2.12 MB,,,753 µs,3.08 ms,,,,,8.01 MB,16.1 MB,0%
57,3.42 MB,2.12 MB,,,753 µs,3.14 ms,,,,,8.01 MB,16.1 MB,0%
58,7.31 MB,2.12 MB,,,753 µs,3.19 ms,487 µs,,,,8.01 MB,16.1 MB,0%
59,7.31 MB,2.12 MB,,,753 µs,3.25 ms,514 µs,,,,8.01 MB,16.1 MB,0%
60,7.31 MB,2.12 MB,,,753 µs,3.28 ms,541 µs,,,,8.01 MB,16.1 MB,0%
61,7.31 MB,2.12 MB,,,753 µs,1.09 ms,567 µs,,,,8.01 MB,16.1 MB,0%
62,7.31 MB,2.12 MB,,,518 µs,1.09 ms,594 µs,,,,8.01 MB,16.1 MB,0%
63,7.31 MB,16.1 MB,,,518 µs,1.09 ms,620 µs,4.69 ms,,,8.01 MB,16.1 MB,0%
64,7.31 MB,16.1 MB,,,518 µs,1.09 ms,647 µs,4.95 ms,,,8.01 MB,16.1 MB,0%
