step,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu-2_queue-proxy,cpu-cpu-2_user-container,cpu-cpu-1_queue-proxy,cpu-cpu-1_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,ram-cpu-2_queue-proxy,ram-cpu-2_user-container,ram-cpu-1_queue-proxy,ram-cpu-1_user-container,gpu_gpu_0
0,,,,,,,,,,,,,
1,,,,,,,,,,,,,
2,,,,,,,,,,,3.52 MB,2.40 MB,
3,,,,,,,,,,,3.52 MB,2.40 MB,
4,,,,,,,,,,,3.52 MB,2.40 MB,
5,,,,,,,,,,,3.52 MB,2.40 MB,
6,,,,,,,,,,,3.52 MB,2.40 MB,
7,,,,,,,,,,,3.52 MB,2.40 MB,
8,,,,,,,,,,,3.52 MB,2.40 MB,
9,,,,,,,,,,,3.52 MB,2.40 MB,
10,,,,,,,,,,,3.52 MB,2.40 MB,
11,,,,,,,,,,,3.52 MB,2.40 MB,
12,,,,,,,,,,,3.52 MB,2.40 MB,
13,,,,,,,,,,,3.52 MB,2.40 MB,
14,,,,,,,,,,,3.52 MB,2.40 MB,
15,,,,,,,,,,,3.52 MB,2.40 MB,
16,,,,,,,,,,,3.52 MB,2.40 MB,
17,,,,,,,,,,,3.52 MB,2.40 MB,
18,,,,,,,,,,,3.52 MB,2.40 MB,
19,,,,,,,,,,,3.52 MB,2.40 MB,
20,,,,,,,,,,,3.52 MB,2.40 MB,
21,,,,,583 µs,1.95 ms,,,,,7.67 MB,17.1 MB,
22,,,,,603 µs,2.05 ms,,,,,7.67 MB,17.1 MB,
23,,,,,623 µs,2.14 ms,,,,,7.67 MB,17.1 MB,
24,,,,,643 µs,2.24 ms,,,,,7.67 MB,17.1 MB,
25,,,,,663 µs,2.33 ms,,,,,7.67 MB,17.1 MB,
26,,,,,683 µs,2.42 ms,,,,,7.67 MB,17.1 MB,
27,,,,,703 µs,2.52 ms,,,,,7.67 MB,17.1 MB,
28,,,,,723 µs,2.61 ms,,,,,7.67 MB,17.1 MB,
29,,,,,743 µs,2.71 ms,,,,,7.67 MB,17.1 MB,
30,,,,,763 µs,2.80 ms,,,,,7.67 MB,17.1 MB,
31,,,,,783 µs,2.90 ms,,,,,7.67 MB,17.1 MB,
32,,,,,803 µs,2.99 ms,,,,,7.67 MB,17.1 MB,
33,,,,,823 µs,3.09 ms,,,,,7.67 MB,17.1 MB,
34,,,,,843 µs,3.18 ms,,,,,7.67 MB,17.1 MB,
35,,,,,863 µs,3.28 ms,,,,,7.67 MB,17.1 MB,
36,,,,,883 µs,3.37 ms,,,,,7.67 MB,17.1 MB,
37,,,,,903 µs,2.35 ms,,,,,7.67 MB,17.1 MB,
38,,,,,701 µs,2.41 ms,,,,,7.80 MB,17.1 MB,
39,,,,,716 µs,2.47 ms,,,,,7.80 MB,17.1 MB,
