step,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu-2_queue-proxy,cpu-cpu-2_user-container,cpu-cpu-1_queue-proxy,cpu-cpu-1_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,ram-cpu-2_queue-proxy,ram-cpu-2_user-container,ram-cpu-1_queue-proxy,ram-cpu-1_user-container,gpu_gpu_0
0,,,,,114 µs,0 s,,,,,6.33 MB,15.9 MB,
1,,,,,110 µs,0 s,,,,,6.33 MB,15.9 MB,
2,,,,,106 µs,0 s,,,,,10.0 MB,18.2 MB,
3,,,,,101 µs,0 s,,,,,10.0 MB,18.2 MB,
4,,,,,,0 s,,,,,10.0 MB,18.2 MB,
5,,,,,,0 s,,,,,10.0 MB,18.2 MB,
6,,,,,,0 s,,,,,10.0 MB,18.2 MB,
7,,,,,,0 s,,,,,10.0 MB,18.2 MB,
8,,,,,,0 s,,,,,10.0 MB,18.2 MB,
9,,,,,,0 s,,,,,10.0 MB,18.2 MB,
10,,,,,,0 s,,,,,10.0 MB,18.2 MB,
11,,,,,,0 s,,,,,10.0 MB,18.2 MB,
12,,,,,,,,,,,10.0 MB,18.2 MB,
13,,,,,,,,,,,10.0 MB,18.2 MB,
14,,,,,,,,,,,10.0 MB,18.2 MB,
15,,,,,544 µs,,,,,,14.0 MB,18.2 MB,
16,,,,,571 µs,,,,,,14.0 MB,18.2 MB,
17,,,,,599 µs,,,,,,14.0 MB,18.2 MB,
18,,,,,626 µs,,,,,,14.0 MB,18.2 MB,
19,,,,,653 µs,,,,,,14.0 MB,18.2 MB,
20,,,,,680 µs,,,,,,14.0 MB,18.2 MB,
21,,,,,708 µs,,,,,,14.0 MB,18.2 MB,
22,,,,,735 µs,2.10 ms,,,,,14.0 MB,32.0 MB,
23,,,,,762 µs,2.20 ms,,,,,14.0 MB,32.0 MB,
24,,,,,789 µs,2.29 ms,,,,,14.0 MB,32.0 MB,
25,,,,,816 µs,2.39 ms,,,,,14.0 MB,32.0 MB,
26,,,,,844 µs,2.49 ms,,,,,14.0 MB,32.0 MB,
27,,,,,871 µs,2.58 ms,,,,,14.0 MB,32.0 MB,
28,,,,,898 µs,2.68 ms,,,,,14.0 MB,32.0 MB,
29,,,,,711 µs,2.78 ms,,,,,14.0 MB,32.0 MB,
30,,,,,655 µs,2.88 ms,,,,,14.2 MB,32.0 MB,
31,,,,,674 µs,2.97 ms,,,,,14.2 MB,32.0 MB,
32,,,,,692 µs,3.07 ms,,,,,14.2 MB,32.0 MB,
33,,,,,711 µs,3.17 ms,,,,,14.2 MB,32.0 MB,
34,,,,,729 µs,3.27 ms,,,,,14.2 MB,32.0 MB,
35,,,,,748 µs,3.36 ms,,,,,14.2 MB,32.0 MB,
36,,,,,766 µs,3.46 ms,,,,,14.2 MB,32.0 MB,
37,,,,,785 µs,3.56 ms,,,,,14.2 MB,32.0 MB,
38,,,,,803 µs,3.66 ms,,,,,14.2 MB,32.0 MB,
39,,,,,821 µs,3.75 ms,,,,,14.2 MB,32.0 MB,
40,,,,,840 µs,3.85 ms,,,,,14.2 MB,32.0 MB,
41,,,,,858 µs,3.95 ms,,,,,14.2 MB,32.0 MB,
42,,,,,743 µs,4.04 ms,,,,,14.3 MB,32.0 MB,
43,,,,,759 µs,4.14 ms,,,,,14.3 MB,32.0 MB,
44,,,,,774 µs,2.56 ms,,,,,14.3 MB,32.0 MB,
45,,,,,790 µs,2.61 ms,,,,,14.3 MB,32.0 MB,
46,,,,,806 µs,2.67 ms,,,,,14.3 MB,32.0 MB,
47,,,,,932 µs,2.73 ms,,,,,14.3 MB,32.0 MB,
48,,,,,945 µs,2.79 ms,,,,,14.3 MB,32.0 MB,
49,,,,,945 µs,2.85 ms,,,,,14.3 MB,32.0 MB,
50,,,,,945 µs,2.90 ms,,,,,14.3 MB,32.0 MB,
51,,,,,945 µs,2.96 ms,,,,,14.3 MB,32.0 MB,
52,,,,,945 µs,3.02 ms,,,,,14.3 MB,32.0 MB,
53,,,,,945 µs,3.08 ms,,,,,14.3 MB,32.0 MB,
54,,,,,945 µs,3.13 ms,,,,,14.3 MB,32.0 MB,
55,,,,,945 µs,3.19 ms,,,,,14.3 MB,32.0 MB,
56,,,,,945 µs,3.25 ms,,,,,14.3 MB,32.0 MB,
57,,,,,813 µs,3.31 ms,,,,,14.3 MB,32.0 MB,
58,,,,,862 µs,3.37 ms,,,,,14.4 MB,32.0 MB,
59,,,,,862 µs,3.42 ms,,,,,14.4 MB,32.0 MB,
60,,,,,862 µs,3.47 ms,,,,,14.4 MB,32.0 MB,
61,,,,,862 µs,3.47 ms,,,,,14.4 MB,32.0 MB,
62,,,,,625 µs,1.33 ms,,,,,14.4 MB,32.0 MB,
63,,,,,625 µs,1.38 ms,,,,,14.4 MB,32.0 MB,
64,,,,,625 µs,1.38 ms,,,,,14.4 MB,32.0 MB,
65,,,,,625 µs,1.38 ms,,,,,14.4 MB,32.0 MB,
66,,,,,625 µs,1.38 ms,,,,,14.4 MB,32.0 MB,
67,,,,,625 µs,1.38 ms,,,,,14.4 MB,32.0 MB,
68,,,,,625 µs,1.38 ms,,,,,14.4 MB,32.0 MB,
69,,,,,625 µs,1.38 ms,,,,,14.4 MB,32.0 MB,
70,,,,,614 µs,1.38 ms,,,,,14.5 MB,32.0 MB,
71,,,,,614 µs,1.38 ms,,,,,14.5 MB,32.0 MB,
72,,,,,614 µs,1.38 ms,,,,,14.5 MB,32.0 MB,
73,,,,,614 µs,1.38 ms,,,,,14.5 MB,32.0 MB,
74,,,,,614 µs,1.38 ms,,,,,14.5 MB,32.0 MB,
75,,,,,520 µs,1.40 ms,,,,,14.5 MB,32.1 MB,
76,,,,,600 µs,1.40 ms,,,,,14.5 MB,32.1 MB,
77,,,,,600 µs,1.40 ms,,,,,14.5 MB,32.1 MB,
78,,,,,600 µs,1.40 ms,,,,,14.5 MB,32.1 MB,
79,,,,,600 µs,1.40 ms,,,,,14.5 MB,32.1 MB,
80,,,,,600 µs,1.40 ms,,,,,14.5 MB,32.1 MB,
81,,,,,600 µs,1.40 ms,,,,,14.5 MB,32.1 MB,
82,,,,,597 µs,1.12 ms,,,,,14.5 MB,32.1 MB,
83,,,,,597 µs,1.14 ms,,,,,14.5 MB,32.1 MB,
84,,,,,597 µs,1.17 ms,,,,,14.5 MB,32.1 MB,
85,,,,,597 µs,1.17 ms,,,,,14.5 MB,32.1 MB,
86,3.73 MB,2.42 MB,,,597 µs,1.20 ms,,,,,14.5 MB,32.1 MB,0%
87,3.73 MB,2.42 MB,,,597 µs,1.22 ms,,,,,14.5 MB,32.1 MB,0%
88,3.73 MB,2.42 MB,,,597 µs,1.25 ms,,,,,14.5 MB,32.1 MB,0%
89,3.73 MB,2.42 MB,,,597 µs,1.45 ms,,,,,14.5 MB,32.1 MB,0%
90,3.73 MB,2.42 MB,,,605 µs,1.45 ms,,,,,14.5 MB,32.1 MB,0%
91,3.73 MB,2.42 MB,,,605 µs,1.45 ms,,,,,14.5 MB,32.1 MB,0%
92,3.73 MB,2.42 MB,,,605 µs,1.45 ms,,,,,14.5 MB,32.1 MB,0%
93,3.73 MB,2.42 MB,,,605 µs,1.45 ms,,,,,14.5 MB,32.1 MB,0%
94,3.73 MB,2.42 MB,,,605 µs,1.45 ms,,,,,14.5 MB,32.1 MB,0%
95,3.73 MB,2.42 MB,,,605 µs,1.45 ms,,,,,14.5 MB,32.1 MB,0%
96,3.73 MB,2.42 MB,,,525 µs,1.45 ms,,,,,14.5 MB,32.1 MB,0%
97,3.73 MB,2.42 MB,,,515 µs,1.45 ms,,,,,14.5 MB,32.1 MB,0%
98,3.73 MB,2.42 MB,,,505 µs,1.25 ms,,,,,14.5 MB,32.1 MB,0%
99,3.73 MB,2.42 MB,,,495 µs,1.25 ms,,,,,14.5 MB,32.1 MB,0%
100,3.73 MB,16.1 MB,,,485 µs,1.25 ms,,3.84 ms,,,14.5 MB,32.1 MB,0%
101,6.79 MB,16.1 MB,,,548 µs,1.25 ms,511 µs,4.10 ms,,,14.6 MB,32.1 MB,0%
102,6.79 MB,16.1 MB,,,515 µs,1.25 ms,533 µs,4.36 ms,,,14.6 MB,32.1 MB,0%
103,6.79 MB,16.1 MB,,,515 µs,1.25 ms,556 µs,4.62 ms,,,14.6 MB,32.1 MB,0%
104,6.79 MB,16.1 MB,,,515 µs,896 µs,578 µs,4.88 ms,,,14.6 MB,32.1 MB,0%
105,6.79 MB,16.1 MB,,,515 µs,915 µs,601 µs,5.14 ms,,,14.6 MB,32.1 MB,0%
106,6.79 MB,16.1 MB,,,515 µs,934 µs,623 µs,5.40 ms,,,14.6 MB,32.1 MB,0%
107,6.79 MB,16.1 MB,,,515 µs,953 µs,646 µs,5.66 ms,,,14.6 MB,32.1 MB,0%
108,6.79 MB,16.1 MB,,,515 µs,972 µs,668 µs,5.92 ms,,,14.6 MB,32.1 MB,0%
109,6.79 MB,16.1 MB,,,515 µs,991 µs,691 µs,6.18 ms,,,14.6 MB,32.1 MB,0%
110,6.79 MB,16.1 MB,,,515 µs,871 µs,713 µs,6.44 ms,,,14.6 MB,32.1 MB,0%
111,6.79 MB,16.1 MB,,,515 µs,987 µs,736 µs,6.71 ms,,,14.6 MB,32.1 MB,0%
112,6.79 MB,16.1 MB,,,515 µs,968 µs,758 µs,6.97 ms,,,14.6 MB,32.1 MB,0%
113,6.79 MB,16.1 MB,,,515 µs,949 µs,781 µs,7.23 ms,,,14.6 MB,32.1 MB,0%
114,6.79 MB,16.1 MB,,,473 µs,930 µs,803 µs,7.49 ms,,,14.6 MB,32.1 MB,0%
115,6.79 MB,16.1 MB,,,473 µs,911 µs,826 µs,7.75 ms,,,14.6 MB,32.1 MB,0%
116,6.79 MB,16.1 MB,,,473 µs,776 µs,848 µs,5.71 ms,,,14.6 MB,32.1 MB,0%
117,6.79 MB,16.1 MB,,,473 µs,776 µs,666 µs,5.71 ms,,,14.6 MB,32.1 MB,0%
118,6.79 MB,16.1 MB,,,445 µs,776 µs,666 µs,5.71 ms,,,14.6 MB,32.1 MB,0%
119,6.79 MB,16.1 MB,,,445 µs,776 µs,666 µs,5.71 ms,,,14.6 MB,32.1 MB,0%
120,6.79 MB,16.1 MB,,,445 µs,776 µs,666 µs,8.01 ms,,,14.6 MB,32.1 MB,0%
121,6.89 MB,16.1 MB,,,445 µs,776 µs,704 µs,8.24 ms,,,14.6 MB,32.1 MB,0%
122,6.89 MB,16.1 MB,,,445 µs,776 µs,720 µs,8.47 ms,,,14.6 MB,32.1 MB,0%
123,6.89 MB,16.1 MB,,,445 µs,563 µs,736 µs,8.70 ms,,,14.6 MB,32.1 MB,0%
124,6.89 MB,16.1 MB,,,445 µs,563 µs,752 µs,8.93 ms,,,14.6 MB,32.1 MB,0%
125,6.89 MB,16.1 MB,,,445 µs,563 µs,768 µs,9.16 ms,,,14.6 MB,32.1 MB,0%
