timestamp,response_time_ms
2025-08-14T13:27:54.542433,49930.028676986694
2025-08-14T13:28:10.554836,16011.115074157715
2025-08-14T13:28:26.843827,16288.188934326172
2025-08-14T13:28:43.773128,16928.39288711548
2025-08-14T13:28:59.811069,16036.942958831787
2025-08-14T13:29:16.361591,16549.81517791748
2025-08-14T13:29:35.078323,18715.884685516357
2025-08-14T13:29:51.283890,16204.581260681152
2025-08-14T13:29:53.284151,1999.5460510253906
2025-08-14T13:29:55.343054,2058.155059814453
2025-08-14T13:29:57.393485,2049.673080444336
2025-08-14T13:29:59.441264,2047.212839126587
2025-08-14T13:30:01.611321,2169.1880226135254
2025-08-14T13:30:03.667562,2055.4587841033936
2025-08-14T13:30:05.717266,2049.1371154785156
2025-08-14T13:30:07.813418,2095.3831672668457
2025-08-14T13:30:09.902529,2088.3591175079346
2025-08-14T13:30:11.874128,1970.8662033081055
2025-08-14T13:30:13.913786,2039.0288829803467
2025-08-14T13:30:15.941786,2027.176856994629
2025-08-14T13:30:17.975679,2033.141851425171
2025-08-14T13:30:20.018637,2042.374849319458
2025-08-14T13:30:22.106993,2087.6681804656982
2025-08-14T13:30:24.220041,2112.6441955566406
2025-08-14T13:30:26.304670,2083.8119983673096
2025-08-14T13:30:28.360530,2055.3290843963623
2025-08-14T13:30:30.413428,2052.2091388702393
2025-08-14T13:30:32.481303,2067.0769214630127
2025-08-14T13:30:34.517082,2035.1369380950928
2025-08-14T13:30:36.554198,2036.4069938659668
2025-08-14T13:30:38.593134,2037.1720790863037
2025-08-14T13:30:40.702007,2107.9959869384766
2025-08-14T13:30:42.761316,2058.690071105957
2025-08-14T13:30:44.841570,2079.4427394866943
2025-08-14T13:30:46.881008,2038.668155670166
2025-08-14T13:30:48.915151,2033.8799953460693
2025-08-14T13:30:51.009039,2093.1270122528076
2025-08-14T13:30:53.133574,2123.8720417022705
2025-08-14T13:30:55.182930,2048.687219619751
2025-08-14T13:30:57.230844,2047.1978187561035
2025-08-14T13:30:59.275158,2043.5988903045654
2025-08-14T13:31:01.362402,2086.5678787231445
2025-08-14T13:31:03.473816,2110.766649246216
2025-08-14T13:31:05.524245,2049.888849258423
2025-08-14T13:31:07.588508,2063.6892318725586
2025-08-14T13:31:09.672171,2083.193063735962
2025-08-14T13:31:11.730695,2057.6579570770264
2025-08-14T13:31:13.778116,2046.9207763671875
2025-08-14T13:31:15.852998,2074.134111404419
2025-08-14T13:31:17.917673,2063.9519691467285


