step,ram-cpu_queue-proxy,ram-cpu_user-container,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu_queue-proxy,cpu-cpu_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,gpu_gpu_0
0,6.32 MB,291 MB,,,,,,,
1,6.32 MB,291 MB,,,,,,,
2,9.66 MB,291 MB,,,,,,,
3,9.66 MB,291 MB,,,,,,,
4,9.66 MB,291 MB,,,,,,,
5,9.66 MB,291 MB,,,,,,,
6,9.66 MB,291 MB,,,,,,,
7,9.66 MB,291 MB,,,,,,,
8,9.66 MB,291 MB,,,,,,,
9,9.66 MB,291 MB,,,,,,,
10,9.66 MB,291 MB,,,,,,,
11,9.66 MB,291 MB,,,,,,,
12,9.66 MB,291 MB,,,,,,,
13,9.66 MB,291 MB,,,,,,,
14,9.66 MB,1.02 GB,,,,,,,
15,9.66 MB,1.02 GB,,,,,,,
16,9.66 MB,1.02 GB,,,,,,,
17,9.66 MB,1.02 GB,,,,,,,
18,9.66 MB,1.02 GB,,,,,,,
19,14.0 MB,1.02 GB,,,924 µs,,,,
20,14.0 MB,1.02 GB,,,964 µs,,,,
21,14.0 MB,1.02 GB,,,1.00 ms,,,,
22,14.0 MB,1.02 GB,,,1.04 ms,,,,
23,14.0 MB,1.02 GB,,,1.08 ms,,,,
24,14.0 MB,1.02 GB,,,1.12 ms,,,,
25,14.0 MB,1.02 GB,,,1.16 ms,,,,
26,14.0 MB,1.32 GB,,,1.20 ms,1.62 s,,,
27,14.0 MB,1.32 GB,,,1.24 ms,1.70 s,,,
28,14.0 MB,1.32 GB,,,1.28 ms,1.79 s,,,
29,14.0 MB,1.32 GB,,,1.32 ms,1.87 s,,,
30,14.0 MB,1.32 GB,,,1.36 ms,1.96 s,,,
31,14.0 MB,1.32 GB,,,1.40 ms,2.04 s,,,
32,14.0 MB,1.32 GB,,,1.44 ms,2.13 s,,,
33,14.0 MB,1.32 GB,,,1.48 ms,2.21 s,,,
34,14.0 MB,1.32 GB,,,1.52 ms,2.30 s,,,
35,14.0 MB,1.32 GB,,,1.56 ms,2.38 s,,,
36,14.0 MB,1.32 GB,,,1.59 ms,2.47 s,,,
37,14.1 MB,1.32 GB,,,1.12 ms,2.55 s,,,
38,14.1 MB,1.32 GB,,,1.15 ms,2.63 s,,,
39,14.1 MB,1.32 GB,,,1.17 ms,2.07 s,,,
40,14.1 MB,1.32 GB,,,1.20 ms,2.07 s,,,
41,14.1 MB,1.32 GB,,,1.22 ms,2.07 s,,,
42,14.1 MB,1.32 GB,,,1.25 ms,2.07 s,,,
43,14.1 MB,1.66 GB,,,1.27 ms,3.18 s,,,
44,14.1 MB,1.66 GB,,,1.30 ms,3.26 s,,,
45,14.1 MB,1.66 GB,,,1.32 ms,3.35 s,,,
46,14.1 MB,1.66 GB,,,1.35 ms,3.43 s,,,
47,14.1 MB,1.66 GB,,,1.37 ms,3.52 s,,,
48,14.1 MB,1.66 GB,,,1.40 ms,3.61 s,,,
49,14.2 MB,1.66 GB,,,1.24 ms,3.69 s,,,
50,14.2 MB,1.66 GB,,,1.26 ms,3.78 s,,,
51,14.2 MB,1.66 GB,,,1.28 ms,3.86 s,,,
52,14.2 MB,1.66 GB,,,1.28 ms,3.95 s,,,
53,14.2 MB,1.66 GB,,,1.28 ms,4.04 s,,,
54,14.2 MB,1.66 GB,,,1.28 ms,4.12 s,,,
55,14.2 MB,1.66 GB,,,1.28 ms,4.21 s,,,
56,14.2 MB,1.66 GB,,,1.28 ms,4.29 s,,,
57,14.2 MB,1.66 GB,,,1.28 ms,4.38 s,,,
58,14.2 MB,1.66 GB,,,1.28 ms,4.46 s,,,
59,14.2 MB,1.66 GB,,,1.28 ms,4.55 s,,,
60,14.2 MB,1.66 GB,,,1.28 ms,3.80 s,,,
61,14.2 MB,1.66 GB,,,1.28 ms,3.80 s,,,
62,14.2 MB,1.66 GB,,,659 µs,3.80 s,,,
63,14.2 MB,1.66 GB,,,659 µs,3.80 s,,,
64,14.2 MB,1.66 GB,,,659 µs,3.80 s,,,
65,14.2 MB,1.66 GB,,,659 µs,3.80 s,,,
66,14.2 MB,1.66 GB,,,551 µs,3.80 s,,,
67,14.2 MB,1.66 GB,,,540 µs,3.72 s,,,0%
68,14.2 MB,1.66 GB,,,530 µs,3.64 s,,,0%
69,14.3 MB,1.66 GB,,284 MB,623 µs,3.55 s,,,0%
70,14.3 MB,1.66 GB,,284 MB,623 µs,3.46 s,,,0%
71,14.3 MB,1.66 GB,,284 MB,623 µs,3.38 s,,,0%
72,14.3 MB,1.66 GB,7.13 MB,284 MB,623 µs,3.29 s,,,50%
73,14.3 MB,595 MB,7.13 MB,284 MB,623 µs,5.08 s,,,21%
74,14.3 MB,595 MB,7.13 MB,284 MB,623 µs,5.07 s,,,0%
75,14.3 MB,595 MB,7.13 MB,284 MB,623 µs,5.07 s,,,0%
76,14.3 MB,595 MB,7.13 MB,284 MB,623 µs,5.07 s,,,0%
77,14.3 MB,595 MB,7.13 MB,284 MB,623 µs,5.07 s,,,41%
78,14.3 MB,595 MB,7.13 MB,284 MB,623 µs,5.07 s,,,26%
79,14.3 MB,595 MB,7.13 MB,1.59 GB,594 µs,5.07 s,,189 ms,0%
80,14.3 MB,595 MB,7.13 MB,1.59 GB,594 µs,5.07 s,,204 ms,0%
81,14.3 MB,595 MB,7.13 MB,1.59 GB,594 µs,5.07 s,,219 ms,98%
82,14.3 MB,595 MB,7.13 MB,1.59 GB,594 µs,5.07 s,,234 ms,0%
83,14.3 MB,595 MB,7.13 MB,1.59 GB,594 µs,5.07 s,,249 ms,0%
84,14.4 MB,595 MB,7.20 MB,1.59 GB,517 µs,5.07 s,203 µs,264 ms,59%
