step,ram-cpu_queue-proxy,ram-cpu_user-container,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu_queue-proxy,cpu-cpu_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,gpu_gpu_0
0,6.59 MB,269 MB,,,177 µs,19.4 µs,,,
1,6.59 MB,269 MB,,,173 µs,19.0 µs,,,
2,10.4 MB,271 MB,,,169 µs,18.6 µs,,,
3,10.4 MB,271 MB,,,166 µs,18.2 µs,,,
4,10.4 MB,271 MB,,,162 µs,17.8 µs,,,
5,10.4 MB,271 MB,,,158 µs,17.4 µs,,,
6,10.4 MB,271 MB,,,154 µs,17.0 µs,,,
7,10.4 MB,271 MB,,,151 µs,16.6 µs,,,
8,10.4 MB,271 MB,,,147 µs,16.2 µs,,,
9,10.4 MB,271 MB,,,143 µs,0 s,,,
10,10.4 MB,271 MB,,,139 µs,0 s,,,
11,10.4 MB,271 MB,,,43.1 µs,0 s,,,
12,10.4 MB,271 MB,,,43.1 µs,0 s,,,
13,10.4 MB,271 MB,,,43.1 µs,0 s,,,
14,10.4 MB,271 MB,,,43.1 µs,0 s,,,
15,10.4 MB,271 MB,,,43.1 µs,0 s,,,
16,10.4 MB,271 MB,,,55.1 µs,0 s,,,
17,10.4 MB,271 MB,,,53.3 µs,0 s,,,
18,10.4 MB,271 MB,,,51.4 µs,0 s,,,
19,10.4 MB,271 MB,,,49.6 µs,0 s,,,
20,10.4 MB,271 MB,,,47.7 µs,0 s,,,
21,10.4 MB,271 MB,,,45.9 µs,0 s,,,
22,10.4 MB,271 MB,,,44.0 µs,0 s,,,
23,10.4 MB,271 MB,,,42.2 µs,0 s,,,
24,10.4 MB,271 MB,,,40.4 µs,0 s,,,
25,10.4 MB,271 MB,,,38.5 µs,0 s,,,
26,10.4 MB,271 MB,,,36.7 µs,,,,
27,10.4 MB,271 MB,,,34.8 µs,,,,
28,10.4 MB,271 MB,,,33.0 µs,,,,
29,10.4 MB,271 MB,,,,,,,
30,10.4 MB,271 MB,,,,,,,
31,10.4 MB,271 MB,,,,,,,
32,10.4 MB,1.46 GB,,,,2.17 s,,,
33,10.4 MB,1.46 GB,,,,2.24 s,,,
34,10.4 MB,1.46 GB,,,,2.31 s,,,
35,14.3 MB,1.46 GB,,,1.12 ms,2.38 s,,,
36,14.3 MB,1.46 GB,,,1.15 ms,2.45 s,,,
37,14.3 MB,1.46 GB,,,1.17 ms,2.52 s,,,
38,14.3 MB,1.46 GB,,,1.20 ms,2.59 s,,,
39,14.3 MB,1.46 GB,,,1.23 ms,2.66 s,,,
40,14.3 MB,1.46 GB,,,1.26 ms,2.73 s,,,
41,14.3 MB,1.46 GB,,,1.28 ms,2.80 s,,,
42,14.3 MB,1.63 GB,,,1.31 ms,3.13 s,,,
43,14.3 MB,1.63 GB,,,1.34 ms,3.21 s,,,
44,14.3 MB,1.63 GB,,,1.36 ms,3.29 s,,,
45,14.3 MB,1.63 GB,,,1.39 ms,3.36 s,,,
46,14.3 MB,1.63 GB,,,1.42 ms,3.44 s,,,
47,14.3 MB,1.63 GB,,,1.45 ms,3.52 s,,,
48,14.3 MB,1.63 GB,,,1.47 ms,3.59 s,,,
49,14.3 MB,1.63 GB,,,1.50 ms,3.67 s,,,
50,14.3 MB,1.63 GB,,,1.53 ms,3.75 s,,,
51,14.3 MB,1.63 GB,,,1.55 ms,3.82 s,,,
52,14.5 MB,1.63 GB,,,1.28 ms,3.90 s,,,
53,14.5 MB,1.77 GB,,,1.28 ms,4.12 s,,,
54,14.5 MB,1.77 GB,,,1.28 ms,4.20 s,,,
55,14.5 MB,1.77 GB,,,1.28 ms,4.28 s,,,
56,14.5 MB,1.77 GB,,,1.28 ms,4.36 s,,,
57,14.5 MB,1.77 GB,,,1.28 ms,4.44 s,,,
58,14.5 MB,1.77 GB,,,1.28 ms,4.52 s,,,
59,14.5 MB,1.77 GB,,,1.28 ms,4.60 s,,,
60,14.5 MB,1.77 GB,,,1.28 ms,4.68 s,,,
61,14.5 MB,1.77 GB,,,1.28 ms,4.76 s,,,
62,14.5 MB,1.77 GB,3.47 MB,2.50 MB,363 µs,3.30 s,,,0%
63,14.5 MB,1.77 GB,3.47 MB,2.50 MB,373 µs,3.40 s,,,0%
64,14.5 MB,1.77 GB,3.47 MB,2.50 MB,383 µs,2.88 s,,,0%
65,14.5 MB,1.77 GB,3.47 MB,2.50 MB,394 µs,2.88 s,,,0%
66,14.5 MB,1.77 GB,3.47 MB,2.50 MB,404 µs,2.88 s,,,0%
67,14.5 MB,1.77 GB,3.47 MB,2.50 MB,414 µs,2.88 s,,,0%
68,14.5 MB,572 MB,3.47 MB,2.50 MB,424 µs,3.55 s,,,0%
69,14.5 MB,572 MB,3.47 MB,2.50 MB,434 µs,3.63 s,,,0%
70,14.5 MB,572 MB,3.47 MB,2.50 MB,444 µs,3.72 s,,,0%
71,14.6 MB,572 MB,3.47 MB,2.50 MB,424 µs,3.80 s,,,0%
72,14.6 MB,572 MB,3.47 MB,2.50 MB,433 µs,3.88 s,,,82%
73,14.6 MB,572 MB,3.47 MB,2.50 MB,443 µs,3.97 s,,,0%
74,14.6 MB,572 MB,7.07 MB,2.50 MB,452 µs,4.05 s,737 µs,,0%
75,14.6 MB,572 MB,7.07 MB,646 MB,461 µs,4.14 s,778 µs,197 ms,0%
76,14.6 MB,572 MB,7.07 MB,646 MB,563 µs,4.22 s,818 µs,212 ms,97%
77,14.6 MB,572 MB,7.07 MB,646 MB,563 µs,4.30 s,859 µs,226 ms,0%
78,14.6 MB,572 MB,7.07 MB,646 MB,563 µs,4.39 s,900 µs,241 ms,0%
79,14.6 MB,572 MB,7.07 MB,646 MB,563 µs,5.04 s,941 µs,255 ms,0%
80,14.6 MB,572 MB,7.07 MB,646 MB,563 µs,5.04 s,981 µs,269 ms,0%
81,14.6 MB,572 MB,7.07 MB,646 MB,563 µs,4.37 s,1.02 ms,284 ms,0%
82,14.6 MB,572 MB,7.07 MB,646 MB,563 µs,4.29 s,1.06 ms,298 ms,0%
83,14.6 MB,572 MB,7.07 MB,646 MB,563 µs,4.20 s,1.10 ms,313 ms,0%
84,14.6 MB,572 MB,7.07 MB,646 MB,563 µs,4.12 s,1.14 ms,327 ms,0%
85,14.6 MB,572 MB,7.07 MB,1.76 GB,563 µs,4.04 s,1.19 ms,355 ms,100%
86,14.6 MB,572 MB,7.07 MB,1.76 GB,563 µs,3.95 s,1.23 ms,370 ms,0%
87,14.6 MB,572 MB,7.07 MB,1.76 GB,563 µs,3.87 s,953 µs,385 ms,41%
88,14.6 MB,572 MB,7.16 MB,1.76 GB,563 µs,3.78 s,807 µs,400 ms,0%
89,14.6 MB,572 MB,7.16 MB,1.76 GB,563 µs,3.70 s,831 µs,415 ms,100%
90,14.7 MB,572 MB,7.16 MB,1.76 GB,484 µs,3.62 s,855 µs,430 ms,0%
91,14.7 MB,572 MB,7.16 MB,1.76 GB,484 µs,3.03 s,880 µs,445 ms,0%
92,14.7 MB,572 MB,7.16 MB,1.76 GB,484 µs,2.47 s,904 µs,460 ms,0%
93,14.7 MB,572 MB,7.16 MB,1.76 GB,484 µs,2.47 s,928 µs,475 ms,0%
94,14.7 MB,572 MB,7.16 MB,1.76 GB,484 µs,2.47 s,953 µs,490 ms,69%
