step,ram-cpu_queue-proxy,ram-cpu_user-container,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu_queue-proxy,cpu-cpu_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,gpu_gpu_0
0,6.66 MB,269 MB,,,168 µs,52.3 µs,,,
1,6.66 MB,269 MB,,,164 µs,42.4 µs,,,
2,13.6 MB,489 MB,,,160 µs,41.5 µs,,,
3,13.6 MB,489 MB,,,156 µs,40.7 µs,,,
4,13.6 MB,489 MB,,,153 µs,39.8 µs,,,
5,13.6 MB,489 MB,,,149 µs,38.9 µs,,,
6,13.6 MB,489 MB,,,145 µs,9.40 µs,,,
7,13.6 MB,489 MB,,,141 µs,9.40 µs,,,
8,13.6 MB,489 MB,,,138 µs,9.40 µs,,,
9,13.6 MB,489 MB,,,134 µs,11.9 µs,,,
10,13.6 MB,489 MB,,,130 µs,11.6 µs,,,
11,13.6 MB,489 MB,,,60.6 µs,11.3 µs,,,
12,13.6 MB,489 MB,,,58.8 µs,11.0 µs,,,
13,13.6 MB,489 MB,,,57.0 µs,10.7 µs,,,
14,13.6 MB,489 MB,,,55.2 µs,10.4 µs,,,
15,13.6 MB,566 MB,,,53.4 µs,780 ms,,,
16,13.6 MB,566 MB,,,51.6 µs,837 ms,,,
17,13.6 MB,566 MB,,,49.8 µs,894 ms,,,
18,14.8 MB,566 MB,,,787 µs,952 ms,,,
19,14.8 MB,566 MB,,,817 µs,1.01 s,,,
20,14.8 MB,566 MB,,,846 µs,1.07 s,,,
21,14.8 MB,566 MB,,,875 µs,1.12 s,,,
22,14.8 MB,566 MB,,,905 µs,1.18 s,,,
23,14.8 MB,566 MB,,,934 µs,1.24 s,,,
24,14.8 MB,566 MB,,,963 µs,1.30 s,,,
25,14.8 MB,566 MB,,,957 µs,1.35 s,,,
26,14.8 MB,566 MB,,,988 µs,1.41 s,,,
27,14.8 MB,566 MB,,,1.02 ms,1.47 s,,,
28,14.8 MB,566 MB,,,1.05 ms,1.09 s,,,
29,14.8 MB,566 MB,,,1.08 ms,1.09 s,,,
30,14.9 MB,566 MB,,,786 µs,1.09 s,,,
31,14.9 MB,566 MB,,,809 µs,1.09 s,,,
32,14.9 MB,566 MB,,,831 µs,1.09 s,,,
33,14.9 MB,566 MB,,,853 µs,1.09 s,,,
34,14.9 MB,1.46 GB,,,876 µs,2.30 s,,,
35,14.9 MB,1.46 GB,,,898 µs,2.37 s,,,
36,14.9 MB,1.46 GB,,,921 µs,2.44 s,,,
37,14.9 MB,1.46 GB,,,943 µs,2.51 s,,,
38,14.9 MB,1.46 GB,,,965 µs,2.58 s,,,
39,14.9 MB,1.46 GB,,,988 µs,2.65 s,,,
40,14.9 MB,1.46 GB,,,1.01 ms,2.72 s,,,
41,15.3 MB,1.46 GB,,,882 µs,2.79 s,,,
42,15.3 MB,1.46 GB,,,902 µs,2.86 s,,,
43,15.3 MB,1.46 GB,,,921 µs,2.93 s,,,
44,15.3 MB,1.46 GB,,,940 µs,3.00 s,,,
45,15.3 MB,1.46 GB,,,960 µs,3.07 s,,,
46,15.3 MB,1.46 GB,,,979 µs,3.15 s,,,
47,15.3 MB,1.46 GB,,,999 µs,3.22 s,,,
48,15.3 MB,1.46 GB,,,1.16 ms,3.29 s,,,
49,15.3 MB,1.46 GB,,,1.16 ms,3.36 s,,,
50,15.3 MB,1.46 GB,,,1.16 ms,3.43 s,,,
51,15.3 MB,1.46 GB,,,1.16 ms,2.79 s,,,
52,15.3 MB,1.46 GB,,,1.16 ms,2.79 s,,,
53,15.3 MB,1.46 GB,,,1.16 ms,2.79 s,,,
54,15.3 MB,1.46 GB,,,1.16 ms,2.79 s,,,
55,15.3 MB,1.46 GB,,,999 µs,2.79 s,,,
56,15.3 MB,1.46 GB,,,979 µs,2.79 s,,,
