,matrix_size,response_time_ms,gpu_used
0,0,2001.9960403442385,False
1,200,77.26001739501953,False
2,400,137.72988319396973,False
3,600,185.0769519805908,False
4,800,119.25792694091795,False
5,1000,110.89301109313963,False
6,1200,105.6818962097168,False
7,1400,113.14630508422852,False
8,1600,109.53092575073242,False
9,1800,111.79494857788086,False
10,2000,118.63398551940918,False
11,2200,132.3678493499756,False
12,2400,149.16515350341797,False
13,2600,160.01391410827637,False
14,2800,180.03010749816897,False
15,3000,199.84006881713867,False
16,3200,221.60720825195312,False
17,3400,262.88580894470215,False
18,3600,295.16100883483887,False
19,3800,347.4581241607666,False
20,4000,352.1590232849121,False
21,4200,469.07711029052734,False
22,4400,407.4540138244629,False
23,4600,440.9000873565674,False
24,4800,491.69397354125977,False
25,5000,590.9266471862793,False
26,5200,580.0578594207764,False
27,5400,616.7242527008057,False
28,5600,672.52516746521,False
29,5800,800.6370067596436,False
30,6000,797.7719306945801,False
31,6200,850.86989402771,False
32,6400,1098.6592769622805,False
33,6600,1213.860034942627,False
34,6800,1324.9850273132324,False
35,7000,1366.6799068450928,False
36,7200,1586.379051208496,False
37,7400,1687.777042388916,False
38,7600,1774.88374710083,False
39,7800,1936.3629817962649,False
40,8000,2038.90323638916,False
41,8200,2235.3501319885254,False
42,8400,2305.720090866089,False
43,8600,2180.5419921875,False
44,8800,2166.3310527801514,False
45,9000,2148.1218338012695,False
46,9200,2356.572151184082,False
47,9400,2447.3490715026855,False
48,9600,3311.5932941436768,False
49,9800,3007.150888442993,False
50,10000,3798.595905303955,False
51,10200,4008.434057235718,False
52,10400,4169.564962387085,False
53,10600,3839.5450115203857,False
54,10800,1361.7079257965088,True
55,11000,1095.3311920166016,True
56,11200,1153.581142425537,True
57,11400,1190.4330253601074,True
58,11600,1226.093053817749,True
59,11800,1276.8356800079346,True
60,12000,1272.1030712127686,True
61,12200,1338.3710384368896,True
62,12400,1435.7941150665283,True
63,12600,1431.9961071014404,True
64,12800,1475.787878036499,True
65,13000,1489.422082901001,True
66,13200,1597.4960327148438,True
67,13400,1579.3719291687012,True
68,13600,2243.1609630584717,True
69,13800,1739.9230003356934,True
70,14000,1741.2400245666504,True
71,14200,1747.880220413208,True
72,14400,1802.7739524841309,True
73,14600,1825.8512020111084,True
74,14800,1883.8200569152832,True
75,15000,1942.1868324279783,True
76,15200,1973.682165145874,True
77,15400,2096.3189601898193,True
78,15600,2100.290060043335,True
79,15800,2189.0289783477783,True
80,16000,2248.322010040283,True
81,16200,2296.2441444396973,True
82,16400,2356.3170433044434,True
83,16600,2368.7620162963867,True
84,16800,2442.6088333129883,True
85,17000,3027.137756347656,True
86,17200,2528.3043384552,True
87,17400,2633.136987686157,True
88,17600,2641.023874282837,True
89,17800,2784.775972366333,True
90,18000,2799.2889881134033,True
91,18200,2941.5249824523926,True
92,18400,2944.972038269043,True
93,18600,2980.4017543792725,True
94,18800,3052.7331829071045,True
95,19000,3079.8487663269043,True
96,19200,3189.754009246826,True
97,19400,3190.9339427948,True
98,19600,3264.955759048462,True
99,19800,3370.97430229187,True
100,20000,3427.371025085449,True
