step,ram-cpu_queue-proxy,ram-cpu_user-container,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu_queue-proxy,cpu-cpu_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,gpu_gpu_0
0,,,,,,,,,
1,8.47 MB,5.82 GB,,,,,,,
2,,,,,,,,,
3,11.9 MB,5.82 GB,,,,,,,
4,,,,,,,,,
5,11.9 MB,5.82 GB,,,,,,,
6,,,,,,,,,
7,11.9 MB,5.82 GB,,,,,,,
8,,,,,,,,,
9,11.9 MB,5.82 GB,,,,,,,
10,,,,,,,,,
11,11.9 MB,5.82 GB,,,,,,,
12,,,,,,,,,
13,11.9 MB,5.82 GB,,,,,,,
14,,,,,,,,,
15,16.3 MB,5.82 GB,,,1.35 ms,,,,
16,,,,,,,,,
17,16.3 MB,5.82 GB,,,1.52 ms,,,,
18,,,,,,,,,
19,16.3 MB,9.93 GB,,,1.69 ms,162 ms,,,
20,,,,,,,,,
21,16.3 MB,9.93 GB,,,1.86 ms,180 ms,,,
22,,,,,,,,,
23,16.3 MB,9.93 GB,,,2.03 ms,199 ms,,,
24,,,,,,,,,
25,16.3 MB,9.93 GB,,,2.19 ms,217 ms,,,
26,,,,,,,,,
27,16.3 MB,9.93 GB,,,1.68 ms,235 ms,,,
28,,,,,,,,,
29,16.3 MB,9.93 GB,,,1.68 ms,254 ms,,,
30,,,,,,,,,
31,17.1 MB,9.93 GB,,,2.04 ms,272 ms,,,
32,,,,,,,,,
33,17.1 MB,11.7 GB,,,2.16 ms,1.38 s,,,
34,,,,,,,,,
35,17.1 MB,11.7 GB,,,2.28 ms,1.46 s,,,
36,,,,,,,,,
37,17.1 MB,11.7 GB,,,2.41 ms,1.55 s,,,
38,,,,,,,,,
39,17.1 MB,11.7 GB,,,2.53 ms,1.64 s,,,
40,,,,,,,,,
41,17.1 MB,11.7 GB,,,2.65 ms,1.72 s,,,
42,,,,,,,,,
43,17.1 MB,11.7 GB,,,2.78 ms,1.81 s,,,
44,,,,,,,,,
45,17.1 MB,11.7 GB,,,2.90 ms,1.90 s,,,
46,,,,,,,,,
47,17.1 MB,11.7 GB,,,3.02 ms,1.98 s,,,
48,,,,,,,,,
49,17.1 MB,11.7 GB,,,2.49 ms,1.65 s,,,
50,,,,,,,,,
51,17.2 MB,11.8 GB,,,2.29 ms,3.78 s,,,
52,,,,,,,,,
53,17.2 MB,11.8 GB,,,2.37 ms,3.93 s,,,
54,,,,,,,,,
55,17.2 MB,11.8 GB,,,2.46 ms,4.08 s,,,
56,,,,,,,,,
57,17.2 MB,11.8 GB,,,2.52 ms,4.24 s,,,
58,,,,,,,,,
59,17.2 MB,11.8 GB,,,2.52 ms,4.39 s,,,
60,,,,,,,,,
