step,ram-cpu_queue-proxy,ram-cpu_user-container,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu_queue-proxy,cpu-cpu_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,gpu_gpu_0
131,17.8 MB,11.6 GB,7.14 MB,2.03 GB,777 µs,7.93 s,3.82 ms,306 ms,0%
132,,,,,,,,,
133,17.8 MB,11.6 GB,7.14 MB,2.03 GB,632 µs,7.93 s,4.15 ms,334 ms,3%
134,,,,,,,,,
135,17.8 MB,11.6 GB,7.14 MB,5.63 GB,606 µs,7.93 s,4.47 ms,372 ms,0%
136,,,,,,,,,
137,17.8 MB,11.5 GB,7.14 MB,5.63 GB,516 µs,7.92 s,4.80 ms,401 ms,0%
138,,,,,,,,,
139,17.8 MB,11.5 GB,7.14 MB,5.63 GB,494 µs,7.92 s,5.12 ms,430 ms,0%
140,,,,,,,,,
141,18.0 MB,11.5 GB,7.14 MB,5.63 GB,727 µs,6.09 s,5.45 ms,460 ms,0%
142,,,,,,,,,
143,18.0 MB,11.5 GB,7.14 MB,5.63 GB,727 µs,6.35 s,5.77 ms,489 ms,0%
144,,,,,,,,,
145,18.0 MB,11.5 GB,7.14 MB,5.63 GB,727 µs,6.62 s,6.10 ms,519 ms,0%
146,,,,,,,,,
147,18.0 MB,11.5 GB,7.22 MB,5.63 GB,727 µs,6.88 s,4.49 ms,548 ms,0%
148,,,,,,,,,
149,18.0 MB,11.5 GB,7.22 MB,5.63 GB,727 µs,6.90 s,4.71 ms,366 ms,0%
150,,,,,,,,,
151,18.0 MB,11.5 GB,7.22 MB,5.63 GB,727 µs,6.63 s,4.93 ms,385 ms,0%
152,,,,,,,,,
153,18.0 MB,11.5 GB,7.22 MB,5.63 GB,762 µs,6.37 s,5.15 ms,403 ms,63%
154,,,,,,,,,
155,18.0 MB,11.5 GB,7.22 MB,5.63 GB,762 µs,7.40 s,5.37 ms,422 ms,62%
156,,,,,,,,,
157,18.0 MB,11.5 GB,7.22 MB,5.63 GB,762 µs,7.40 s,5.59 ms,441 ms,31%
158,,,,,,,,,
159,18.0 MB,11.5 GB,7.22 MB,5.63 GB,688 µs,7.40 s,5.81 ms,459 ms,63%
160,,,,,,,,,
161,18.0 MB,11.5 GB,7.34 MB,6.33 GB,688 µs,7.27 s,4.49 ms,523 ms,64%
162,,,,,,,,,
163,18.0 MB,11.5 GB,7.34 MB,6.33 GB,688 µs,7.27 s,4.65 ms,544 ms,62%
164,,,,,,,,,
165,18.0 MB,11.5 GB,7.34 MB,6.33 GB,688 µs,7.27 s,4.80 ms,564 ms,63%
166,,,,,,,,,
167,18.0 MB,11.5 GB,7.34 MB,6.33 GB,688 µs,5.71 s,4.80 ms,585 ms,63%
168,,,,,,,,,
169,18.0 MB,11.5 GB,7.34 MB,6.33 GB,622 µs,5.71 s,4.80 ms,605 ms,63%
170,,,,,,,,,
171,18.0 MB,11.5 GB,7.34 MB,6.33 GB,622 µs,5.18 s,2.17 ms,541 ms,62%
172,,,,,,,,,
173,18.0 MB,11.5 GB,7.34 MB,6.33 GB,335 µs,5.18 s,2.17 ms,541 ms,65%
174,,,,,,,,,
175,18.0 MB,11.5 GB,7.34 MB,6.33 GB,351 µs,5.18 s,2.17 ms,649 ms,37%
176,,,,,,,,,
177,18.0 MB,11.5 GB,7.34 MB,6.33 GB,368 µs,5.18 s,2.17 ms,649 ms,65%
178,,,,,,,,,
179,18.0 MB,11.5 GB,7.41 MB,6.33 GB,384 µs,5.18 s,1.62 ms,649 ms,68%
180,,,,,,,,,
181,18.0 MB,11.5 GB,7.41 MB,6.33 GB,401 µs,5.18 s,1.62 ms,563 ms,67%
182,,,,,,,,,
183,18.0 MB,11.5 GB,7.41 MB,6.33 GB,417 µs,3.95 s,1.62 ms,563 ms,65%
184,,,,,,,,,
185,18.0 MB,11.5 GB,7.41 MB,6.33 GB,429 µs,2.56 s,1.62 ms,563 ms,65%
186,,,,,,,,,
187,18.0 MB,11.5 GB,7.41 MB,6.33 GB,429 µs,2.56 s,1.62 ms,563 ms,65%
188,,,,,,,,,
189,18.0 MB,11.5 GB,7.41 MB,6.33 GB,429 µs,2.56 s,567 µs,477 ms,63%
190,,,,,,,,,
191,18.0 MB,11.5 GB,7.41 MB,6.33 GB,429 µs,2.56 s,567 µs,458 ms,61%
192,,,,,,,,,
193,18.0 MB,11.5 GB,7.41 MB,6.33 GB,429 µs,2.56 s,567 µs,695 ms,61%
194,,,,,,,,,
195,18.0 MB,11.5 GB,7.41 MB,6.33 GB,429 µs,2.56 s,567 µs,922 ms,35%
196,,,,,,,,,
197,18.0 MB,11.5 GB,7.41 MB,6.33 GB,429 µs,103 µs,466 µs,922 ms,64%
198,,,,,,,,,
199,18.0 MB,11.5 GB,7.41 MB,6.33 GB,429 µs,106 µs,447 µs,922 ms,62%
200,,,,,,,,,
201,18.0 MB,11.5 GB,7.41 MB,6.33 GB,219 µs,102 µs,428 µs,922 ms,60%
202,,,,,,,,,
203,18.0 MB,11.5 GB,7.41 MB,6.33 GB,262 µs,126 µs,410 µs,922 ms,65%
204,,,,,,,,,
205,18.0 MB,11.5 GB,7.61 MB,6.33 GB,321 µs,126 µs,567 µs,922 ms,64%
206,,,,,,,,,
207,18.0 MB,11.5 GB,7.61 MB,6.33 GB,321 µs,126 µs,573 µs,922 ms,63%
208,,,,,,,,,
209,18.0 MB,11.5 GB,7.61 MB,6.23 GB,321 µs,126 µs,573 µs,967 ms,63%
210,,,,,,,,,
211,18.0 MB,11.5 GB,7.61 MB,6.23 GB,321 µs,126 µs,573 µs,967 ms,3%
212,,,,,,,,,
213,18.0 MB,11.5 GB,7.61 MB,6.23 GB,321 µs,122 µs,573 µs,967 ms,65%
214,,,,,,,,,
215,18.0 MB,11.5 GB,7.61 MB,6.23 GB,321 µs,115 µs,573 µs,967 ms,64%
216,,,,,,,,,
217,18.0 MB,11.5 GB,7.61 MB,6.23 GB,321 µs,115 µs,573 µs,967 ms,63%
218,,,,,,,,,
219,18.0 MB,11.5 GB,7.74 MB,6.23 GB,320 µs,115 µs,568 µs,967 ms,62%
220,,,,,,,,,
221,18.0 MB,11.5 GB,7.74 MB,6.23 GB,320 µs,115 µs,561 µs,966 ms,64%
222,,,,,,,,,
223,18.0 MB,11.5 GB,7.74 MB,6.23 GB,320 µs,115 µs,561 µs,966 ms,62%
224,,,,,,,,,
225,18.1 MB,11.5 GB,7.74 MB,6.23 GB,289 µs,115 µs,561 µs,966 ms,60%
226,,,,,,,,,
227,18.1 MB,11.5 GB,7.74 MB,6.23 GB,289 µs,121 µs,561 µs,966 ms,62%
228,,,,,,,,,
229,18.1 MB,11.5 GB,7.74 MB,6.23 GB,274 µs,121 µs,561 µs,966 ms,63%
230,,,,,,,,,
231,18.1 MB,11.5 GB,7.74 MB,6.23 GB,274 µs,99.4 µs,561 µs,966 ms,55%
232,,,,,,,,,
233,18.1 MB,11.5 GB,7.87 MB,6.23 GB,274 µs,90.6 µs,568 µs,966 ms,65%
234,,,,,,,,,
235,18.1 MB,11.5 GB,7.87 MB,6.23 GB,274 µs,90.6 µs,568 µs,797 ms,64%
236,,,,,,,,,
237,18.1 MB,11.5 GB,7.87 MB,6.23 GB,274 µs,90.6 µs,568 µs,829 ms,65%
238,,,,,,,,,
239,18.1 MB,11.5 GB,7.87 MB,6.23 GB,274 µs,90.6 µs,396 µs,968 ms,68%
240,,,,,,,,,
241,18.1 MB,11.5 GB,7.87 MB,6.23 GB,274 µs,90.6 µs,415 µs,968 ms,67%
242,,,,,,,,,
243,18.1 MB,11.5 GB,7.87 MB,6.23 GB,274 µs,90.6 µs,434 µs,968 ms,62%
244,,,,,,,,,
245,18.1 MB,11.5 GB,8.18 MB,6.23 GB,231 µs,67.5 µs,488 µs,967 ms,64%
246,,,,,,,,,
247,18.1 MB,11.5 GB,8.18 MB,6.23 GB,182 µs,67.5 µs,508 µs,967 ms,60%
248,,,,,,,,,
249,18.1 MB,11.5 GB,8.18 MB,6.23 GB,174 µs,67.5 µs,529 µs,967 ms,59%
250,,,,,,,,,
251,18.1 MB,11.5 GB,8.18 MB,6.23 GB,167 µs,55.5 µs,615 µs,967 ms,61%
252,,,,,,,,,
253,18.1 MB,11.5 GB,8.18 MB,6.23 GB,159 µs,53.3 µs,615 µs,825 ms,62%
254,,,,,,,,,
255,18.1 MB,11.5 GB,8.18 MB,6.23 GB,151 µs,51.0 µs,615 µs,968 ms,61%
256,,,,,,,,,
257,18.1 MB,11.5 GB,8.18 MB,6.23 GB,143 µs,48.7 µs,615 µs,968 ms,58%
258,,,,,,,,,
259,18.1 MB,11.5 GB,8.22 MB,6.23 GB,136 µs,46.5 µs,594 µs,968 ms,64%
260,,,,,,,,,
261,18.1 MB,11.5 GB,8.22 MB,6.23 GB,128 µs,44.2 µs,594 µs,968 ms,60%
262,,,,,,,,,
263,18.1 MB,11.5 GB,8.22 MB,6.23 GB,120 µs,29.5 µs,594 µs,968 ms,61%
264,,,,,,,,,
265,18.1 MB,11.5 GB,8.22 MB,6.23 GB,,28.0 µs,608 µs,968 ms,64%
266,,,,,,,,,
267,18.1 MB,11.5 GB,8.22 MB,6.23 GB,,26.5 µs,608 µs,968 ms,64%
268,,,,,,,,,
269,18.1 MB,11.5 GB,8.22 MB,6.23 GB,,25.0 µs,608 µs,967 ms,64%
270,,,,,,,,,
271,18.1 MB,11.5 GB,8.22 MB,6.23 GB,,23.5 µs,608 µs,967 ms,65%
272,,,,,,,,,
273,18.1 MB,11.5 GB,8.22 MB,6.23 GB,,,608 µs,967 ms,35%
274,,,,,,,,,
275,8.99 MB,11.5 GB,8.28 MB,6.23 GB,,,606 µs,967 ms,63%
276,,,,,,,,,
277,8.99 MB,11.5 GB,8.28 MB,6.23 GB,,,606 µs,967 ms,62%
278,,,,,,,,,
279,8.99 MB,5.73 GB,8.28 MB,6.23 GB,,,612 µs,967 ms,64%
280,,,,,,,,,
281,8.99 MB,5.73 GB,8.28 MB,6.23 GB,,,612 µs,966 ms,63%
282,,,,,,,,,
283,8.99 MB,5.73 GB,8.28 MB,6.23 GB,,,612 µs,966 ms,63%
284,,,,,,,,,
285,8.99 MB,5.73 GB,8.28 MB,6.23 GB,,,612 µs,966 ms,63%
286,,,,,,,,,
287,8.99 MB,5.73 GB,8.28 MB,6.23 GB,,,612 µs,966 ms,60%
288,,,,,,,,,
289,8.99 MB,5.73 GB,8.33 MB,6.23 GB,,,598 µs,966 ms,60%
290,,,,,,,,,
