step,ram-cpu_queue-proxy,ram-cpu_user-container,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu_queue-proxy,cpu-cpu_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,gpu_gpu_0
0,8.34 MB,5.83 GB,,,190 µs,69.8 µs,,,
1,,,,,,,,,
2,11.8 MB,5.83 GB,,,166 µs,54.7 µs,,,
3,,,,,,,,,
4,11.8 MB,5.83 GB,,,158 µs,18.6 µs,,,
5,,,,,,,,,
6,11.8 MB,5.83 GB,,,151 µs,18.6 µs,,,
7,,,,,,,,,
8,11.8 MB,5.83 GB,,,144 µs,18.6 µs,,,
9,,,,,,,,,
10,11.8 MB,5.83 GB,,,137 µs,18.6 µs,,,
11,,,,,,,,,
12,11.8 MB,8.07 GB,,,130 µs,99.3 ms,,,
13,,,,,,,,,
14,11.8 MB,8.07 GB,,,45.7 µs,119 ms,,,
15,,,,,,,,,
16,11.8 MB,8.07 GB,,,45.7 µs,138 ms,,,
17,,,,,,,,,
18,11.8 MB,8.07 GB,,,59.0 µs,158 ms,,,
19,,,,,,,,,
20,11.8 MB,8.07 GB,,,54.9 µs,177 ms,,,
21,,,,,,,,,
22,11.8 MB,8.07 GB,,,50.8 µs,196 ms,,,
23,,,,,,,,,
24,11.8 MB,11.7 GB,,,46.6 µs,201 ms,,,
25,,,,,,,,,
26,11.8 MB,11.7 GB,,,42.5 µs,219 ms,,,
27,,,,,,,,,
28,16.6 MB,11.7 GB,,,2.19 ms,237 ms,,,
29,,,,,,,,,
30,16.6 MB,11.7 GB,,,2.30 ms,255 ms,,,
31,,,,,,,,,
32,16.6 MB,11.7 GB,,,2.44 ms,273 ms,,,
33,,,,,,,,,
34,16.6 MB,11.7 GB,,,2.59 ms,291 ms,,,
35,,,,,,,,,
36,16.6 MB,11.7 GB,,,2.74 ms,239 ms,,,
37,,,,,,,,,
38,16.6 MB,11.7 GB,,,2.88 ms,2.13 s,,,
39,,,,,,,,,
40,16.6 MB,11.7 GB,,,3.03 ms,2.24 s,,,
41,,,,,,,,,
42,16.6 MB,11.7 GB,,,3.18 ms,2.36 s,,,
43,,,,,,,,,
44,16.6 MB,11.7 GB,,,3.32 ms,2.48 s,,,
45,,,,,,,,,
46,16.7 MB,11.7 GB,,,2.25 ms,2.60 s,,,
47,,,,,,,,,
48,16.7 MB,11.7 GB,,,2.35 ms,2.71 s,,,
49,,,,,,,,,
50,16.7 MB,11.7 GB,,,2.44 ms,2.83 s,,,
51,,,,,,,,,
52,16.7 MB,11.7 GB,,,2.53 ms,2.47 s,,,
53,,,,,,,,,
54,16.7 MB,11.8 GB,,,2.62 ms,4.23 s,,,
55,,,,,,,,,
56,16.7 MB,11.8 GB,,,2.71 ms,4.40 s,,,
57,,,,,,,,,
58,16.7 MB,11.8 GB,,,2.75 ms,4.56 s,,,
59,,,,,,,,,
60,16.9 MB,11.8 GB,,,2.23 ms,4.72 s,,,
61,,,,,,,,,
62,16.9 MB,11.8 GB,,,499 µs,5.03 s,,,
63,,,,,,,,,
64,16.9 MB,11.8 GB,,,521 µs,5.23 s,,,
65,,,,,,,,,
66,16.9 MB,11.8 GB,,,544 µs,5.43 s,,,
67,,,,,,,,,
68,16.9 MB,11.8 GB,,,673 µs,6.11 s,,,
69,,,,,,,,,
70,16.9 MB,11.8 GB,,,673 µs,6.32 s,,,
71,,,,,,,,,
72,16.9 MB,11.8 GB,,,673 µs,6.64 s,,,
73,,,,,,,,,
74,16.9 MB,11.8 GB,,,673 µs,6.91 s,,,
75,,,,,,,,,
76,16.9 MB,11.8 GB,,,673 µs,7.17 s,,,
77,,,,,,,,,
78,16.9 MB,11.8 GB,,,673 µs,7.43 s,,,
79,,,,,,,,,
80,16.9 MB,11.8 GB,,,686 µs,7.69 s,,,
81,,,,,,,,,
82,16.9 MB,11.8 GB,,,686 µs,7.89 s,,,
83,,,,,,,,,
84,16.9 MB,11.8 GB,,,686 µs,6.77 s,,,
85,,,,,,,,,
86,16.9 MB,11.8 GB,,,686 µs,6.50 s,,,
87,,,,,,,,,
88,16.9 MB,11.8 GB,,,682 µs,6.24 s,,,
89,,,,,,,,,
90,16.9 MB,11.8 GB,,,682 µs,5.97 s,,,
91,,,,,,,,,
92,16.9 MB,11.8 GB,,,682 µs,5.71 s,,,
93,,,,,,,,,
94,16.9 MB,11.8 GB,,,682 µs,7.96 s,,,
95,,,,,,,,,
96,16.9 MB,11.8 GB,,,682 µs,7.96 s,,,
97,,,,,,,,,
98,17.0 MB,11.8 GB,,,737 µs,7.96 s,,,
99,,,,,,,,,
100,17.0 MB,11.8 GB,,,737 µs,7.96 s,,,
101,,,,,,,,,
102,17.0 MB,11.8 GB,,,737 µs,7.96 s,,,
103,,,,,,,,,
104,17.0 MB,11.8 GB,,,737 µs,7.96 s,,,
105,,,,,,,,,
106,17.0 MB,11.8 GB,,,772 µs,7.96 s,,,
107,,,,,,,,,
108,17.0 MB,11.8 GB,,,772 µs,7.96 s,,,
109,,,,,,,,,
110,17.1 MB,11.8 GB,,,744 µs,7.95 s,,,
111,,,,,,,,,
112,17.1 MB,11.8 GB,,,744 µs,7.95 s,,,
113,,,,,,,,,
114,17.1 MB,11.8 GB,,,744 µs,7.95 s,,,
115,,,,,,,,,
116,17.1 MB,11.8 GB,,,744 µs,7.95 s,,,
117,,,,,,,,,
118,17.1 MB,11.8 GB,4.59 MB,2.65 MB,744 µs,7.95 s,,,0%
119,,,,,,,,,
120,17.1 MB,11.8 GB,4.59 MB,2.65 MB,610 µs,7.95 s,,,0%
121,,,,,,,,,
122,17.1 MB,11.8 GB,4.59 MB,2.65 MB,599 µs,7.95 s,,,0%
123,,,,,,,,,
124,17.1 MB,11.8 GB,4.59 MB,2.65 MB,624 µs,7.94 s,,,0%
125,,,,,,,,,
126,17.1 MB,11.8 GB,4.59 MB,2.65 MB,728 µs,7.94 s,,,0%
127,,,,,,,,,
128,17.1 MB,11.8 GB,7.27 MB,2.65 MB,728 µs,5.60 s,2.31 ms,,0%
129,,,,,,,,,
130,17.1 MB,11.8 GB,7.27 MB,2.51 GB,728 µs,5.87 s,2.65 ms,193 ms,0%
131,,,,,,,,,
132,17.1 MB,11.8 GB,7.27 MB,2.51 GB,728 µs,6.13 s,2.99 ms,222 ms,0%
133,,,,,,,,,
134,17.1 MB,11.8 GB,7.27 MB,2.51 GB,728 µs,6.39 s,3.33 ms,251 ms,0%
135,,,,,,,,,
136,17.1 MB,11.8 GB,7.27 MB,2.51 GB,728 µs,6.66 s,3.68 ms,280 ms,0%
137,,,,,,,,,
138,17.1 MB,11.8 GB,7.27 MB,2.51 GB,607 µs,7.92 s,4.02 ms,308 ms,0%
139,,,,,,,,,
140,17.3 MB,11.8 GB,7.27 MB,2.51 GB,608 µs,7.92 s,3.12 ms,337 ms,0%
141,,,,,,,,,
142,17.3 MB,11.8 GB,7.27 MB,2.51 GB,633 µs,7.92 s,3.12 ms,366 ms,0%
143,,,,,,,,,
144,17.3 MB,11.8 GB,7.27 MB,5.61 GB,737 µs,7.92 s,3.12 ms,383 ms,0%
145,,,,,,,,,
146,17.3 MB,11.8 GB,7.27 MB,5.61 GB,737 µs,7.92 s,3.12 ms,411 ms,0%
147,,,,,,,,,
148,17.3 MB,11.8 GB,7.55 MB,5.61 GB,737 µs,7.92 s,4.31 ms,439 ms,0%
149,,,,,,,,,
150,17.3 MB,11.8 GB,7.55 MB,5.61 GB,737 µs,7.92 s,4.56 ms,468 ms,0%
151,,,,,,,,,
152,17.3 MB,11.8 GB,7.55 MB,5.61 GB,737 µs,7.92 s,4.81 ms,496 ms,0%
153,,,,,,,,,
154,17.3 MB,11.8 GB,7.55 MB,5.61 GB,630 µs,5.30 s,5.06 ms,524 ms,8%
155,,,,,,,,,
156,17.3 MB,11.8 GB,7.55 MB,5.61 GB,692 µs,6.20 s,5.31 ms,552 ms,65%
157,,,,,,,,,
158,17.3 MB,11.8 GB,7.55 MB,5.61 GB,703 µs,7.18 s,5.56 ms,447 ms,69%
159,,,,,,,,,
160,17.3 MB,11.8 GB,7.55 MB,5.61 GB,703 µs,7.18 s,5.81 ms,447 ms,65%
161,,,,,,,,,
162,17.3 MB,11.8 GB,7.55 MB,6.45 GB,703 µs,7.18 s,6.06 ms,513 ms,67%
163,,,,,,,,,
164,17.3 MB,11.8 GB,7.55 MB,6.45 GB,703 µs,7.18 s,6.31 ms,536 ms,64%
165,,,,,,,,,
166,17.3 MB,11.8 GB,7.55 MB,6.45 GB,703 µs,7.18 s,5.19 ms,559 ms,60%
167,,,,,,,,,
168,17.3 MB,11.8 GB,7.78 MB,6.45 GB,703 µs,5.80 s,4.52 ms,581 ms,63%
169,,,,,,,,,
170,17.3 MB,11.8 GB,7.78 MB,6.45 GB,727 µs,5.17 s,4.68 ms,604 ms,60%
171,,,,,,,,,
172,17.3 MB,11.8 GB,7.78 MB,6.45 GB,727 µs,5.17 s,4.83 ms,679 ms,62%
173,,,,,,,,,
174,17.3 MB,11.8 GB,7.78 MB,6.45 GB,590 µs,5.17 s,4.83 ms,704 ms,61%
175,,,,,,,,,
176,17.3 MB,11.8 GB,7.78 MB,6.45 GB,590 µs,5.17 s,4.83 ms,728 ms,60%
177,,,,,,,,,
178,17.3 MB,11.8 GB,7.78 MB,6.45 GB,590 µs,5.17 s,3.36 ms,695 ms,64%
179,,,,,,,,,
180,17.3 MB,11.8 GB,7.78 MB,6.45 GB,590 µs,5.17 s,3.36 ms,695 ms,64%
181,,,,,,,,,
182,17.3 MB,11.8 GB,7.91 MB,6.45 GB,450 µs,5.17 s,2.63 ms,695 ms,62%
183,,,,,,,,,
184,17.3 MB,11.8 GB,7.91 MB,6.45 GB,450 µs,3.97 s,2.63 ms,749 ms,66%
185,,,,,,,,,
186,17.3 MB,11.8 GB,7.91 MB,6.45 GB,427 µs,2.50 s,2.63 ms,749 ms,56%
187,,,,,,,,,
188,17.3 MB,11.8 GB,7.91 MB,6.45 GB,427 µs,2.50 s,488 µs,749 ms,65%
189,,,,,,,,,
190,17.3 MB,11.8 GB,7.91 MB,6.45 GB,427 µs,2.50 s,598 µs,729 ms,65%
191,,,,,,,,,
192,17.3 MB,11.8 GB,7.91 MB,6.45 GB,427 µs,2.50 s,598 µs,729 ms,62%
193,,,,,,,,,
194,17.3 MB,11.8 GB,8.05 MB,6.45 GB,427 µs,2.50 s,595 µs,729 ms,65%
195,,,,,,,,,
196,17.3 MB,11.8 GB,8.05 MB,6.45 GB,427 µs,2.50 s,595 µs,729 ms,59%
197,,,,,,,,,
198,17.3 MB,11.8 GB,8.05 MB,6.45 GB,427 µs,132 µs,595 µs,620 ms,63%
199,,,,,,,,,
200,17.3 MB,11.8 GB,8.05 MB,6.45 GB,340 µs,137 µs,595 µs,596 ms,62%
201,,,,,,,,,
202,17.3 MB,11.8 GB,8.05 MB,6.45 GB,288 µs,135 µs,595 µs,802 ms,60%
203,,,,,,,,,
