,response_time_ms
0,39979.26092147827
1,17726.542234420776
2,17918.067932128906
3,17701.357126235962
4,17408.324241638184
5,18301.671743392944
6,20176.799058914185
7,18421.048879623413
8,2694.283962249756
9,2267.443895339966
10,2215.766191482544
11,2273.7889289855957
12,2291.60213470459
13,2365.8900260925293
14,2211.310863494873
15,2312.2000694274902
16,2378.3130645751953
17,2388.301134109497
18,2415.8389568328857
19,2358.643054962158
20,2522.8111743927
21,2349.0607738494873
22,2366.870880126953
23,2354.872941970825
24,2245.482921600342
25,2257.056951522827
26,2331.3868045806885
27,2303.7712574005127
28,2326.9670009613037
29,2426.8879890441895
30,2369.191884994507
31,2367.743968963623
32,2387.2740268707275
33,2398.4739780426025
34,2283.314943313598
35,2278.733730316162
36,2401.9839763641357
37,2220.9200859069824
38,2187.469959259033
39,2233.478784561157
40,2197.0739364624023
41,2172.0669269561768
42,2259.8559856414795
43,2241.3721084594727
44,2268.773078918457
45,2270.634889602661
46,2240.9069538116455
47,2284.633159637451
48,2275.624990463257
49,2268.378973007202
50,2180.5408000946045
51,2203.3419609069824
52,2192.7812099456787
53,2179.4188022613525
54,2197.601795196533
55,2223.2120037078857
56,2276.379346847534
57,2287.168025970459
58,2278.480052947998
59,2312.166929244995
60,2267.566680908203
61,2205.350875854492
62,2269.8938846588135
63,2204.2548656463623
64,2120.0828552246094
65,2170.7420349121094
66,2238.5809421539307
67,2181.002140045166
68,2197.6280212402344
69,2270.1079845428467
70,2252.72536277771
71,2237.2870445251465
72,2277.254819869995
73,2241.5881156921387
74,2272.141933441162
75,2282.148838043213
76,2285.398006439209
77,2163.3269786834717
78,2191.2128925323486
79,2245.76473236084
80,2161.048650741577
81,2163.3431911468506
82,2260.583877563477
83,2286.329984664917
84,2278.2180309295654
85,2282.542943954468
86,2268.2669162750244
87,2270.4339027404785
88,2330.322027206421
89,1998.897075653076
90,2223.798990249634
91,2163.248062133789
92,2169.672966003418
93,2222.6808071136475
94,2207.0372104644775
95,2192.9359436035156
96,2251.8908977508545
97,2281.8150520324707
98,2296.5879440307617
99,2558.5272312164307
100,2388.627290725708
101,2230.1619052886963
102,2253.9618015289307
103,2251.986026763916
104,2167.4091815948486
105,2217.050075531006
106,2231.8058013916016
107,2211.0819816589355
108,2203.8426399230957
109,2284.6148014068604
110,2260.8697414398193
111,1943.9010620117188
112,2301.76305770874
113,2299.5309829711914
114,2124.2878437042236
115,2283.655166625977
116,2316.1771297454834
117,2208.6830139160156
118,2201.186180114746
119,2251.875877380371
120,2193.6659812927246
121,2198.9963054656982
122,2254.9397945404053
123,2321.5200901031494
124,2306.5860271453857
125,1834.8710536956787
126,2289.9210453033447
127,2339.2372131347656
128,2234.123945236206
129,2289.478063583374
130,2313.853025436402
131,2228.3859252929688
132,2188.678979873657
133,2228.898048400879
134,2189.1369819641113
135,2196.7649459838867
136,2304.265022277832
137,2272.3278999328613
138,2135.7860565185547
139,2373.384952545166
140,2328.3941745758057
141,2269.3428993225098
142,2269.563913345337
143,1905.15398979187
144,2213.09494972229
145,2182.126998901367
146,2199.260950088501
147,2094.212055206299
148,2200.011730194092
149,2249.207019805908
150,2310.0061416625977
151,2280.5778980255127
152,2286.853075027466
153,2446.9311237335205
154,2303.032875061035
155,2267.9898738861084
156,2277.212142944336
157,2256.8092346191406
158,2178.7147521972656
159,2170.4089641571045
160,2218.835830688477
161,2206.1140537261963
162,2232.666254043579
163,2256.8728923797607
164,2308.903932571411
165,2307.969093322754
166,2309.2200756073
167,1953.0658721923828
168,2314.521074295044
169,2304.8598766326904
170,2295.4771518707275
171,2169.1362857818604
172,2198.081970214844
173,2241.014003753662
174,2185.7242584228516
175,2250.4053115844727
176,2296.898126602173
177,2304.7468662261963
178,2321.533203125
179,2290.1251316070557
180,2261.768102645874
181,2282.627820968628
182,2302.7560710906982
183,1834.541082382202
184,2236.359119415283
185,2184.309959411621
186,2195.537328720093
187,2252.0511150360107
188,2200.2408504486084
189,2243.584632873535
190,2308.727741241455
191,2341.040849685669
192,2162.1758937835693
193,2280.9128761291504
194,2306.466817855835
195,2057.6798915863037
196,2285.547971725464
197,2307.3012828826904
198,2181.174993515014
199,2203.1428813934326
200,1788.3708477020264
201,2195.389747619629
202,2193.143129348755
203,2321.505069732666
204,2331.5987586975098
205,2324.9661922454834
206,2310.760021209717
207,2285.9723567962646
208,2292.186737060547
209,2290.148973464966
210,1769.766092300415
211,2151.4980792999268
212,2175.997018814087
213,2193.2218074798584
214,2231.1198711395264
215,1839.2958641052248
