step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container
0,11.2 MB,18.2 MB,210 µs,40.8 µs
1,11.2 MB,18.2 MB,205 µs,39.9 µs
2,11.2 MB,18.2 MB,112 µs,38.9 µs
3,11.2 MB,18.2 MB,112 µs,38.0 µs
4,11.2 MB,18.2 MB,145 µs,37.0 µs
5,11.2 MB,18.2 MB,141 µs,36.1 µs
6,11.2 MB,18.2 MB,137 µs,35.1 µs
7,11.2 MB,18.2 MB,133 µs,34.2 µs
8,11.2 MB,18.2 MB,129 µs,33.2 µs
9,11.2 MB,18.2 MB,126 µs,32.3 µs
10,11.2 MB,18.2 MB,122 µs,31.3 µs
11,11.2 MB,18.2 MB,118 µs,30.4 µs
12,11.2 MB,34.1 MB,114 µs,29.5 µs
13,11.2 MB,34.1 MB,110 µs,28.5 µs
14,11.2 MB,34.1 MB,107 µs,27.6 µs
15,18.8 MB,34.1 MB,103 µs,26.6 µs
16,18.8 MB,34.1 MB,99.0 µs,
17,18.8 MB,34.1 MB,95.2 µs,
18,18.8 MB,34.1 MB,91.4 µs,
19,18.8 MB,34.1 MB,87.6 µs,
20,18.8 MB,34.1 MB,,
21,18.8 MB,34.1 MB,,
22,18.8 MB,34.1 MB,,
23,18.8 MB,34.1 MB,,
24,18.8 MB,34.5 MB,,275 µs
25,18.8 MB,34.5 MB,,289 µs
26,18.8 MB,34.5 MB,,304 µs
27,19.0 MB,34.5 MB,273 µs,318 µs
28,19.0 MB,34.5 MB,288 µs,333 µs
29,19.0 MB,34.5 MB,302 µs,347 µs
30,19.0 MB,34.5 MB,317 µs,362 µs
31,19.0 MB,34.5 MB,332 µs,376 µs
32,19.0 MB,34.5 MB,346 µs,391 µs
33,19.0 MB,34.5 MB,361 µs,405 µs
34,19.0 MB,34.5 MB,376 µs,419 µs
35,19.0 MB,34.5 MB,390 µs,434 µs
36,19.0 MB,34.5 MB,405 µs,448 µs
37,19.0 MB,34.5 MB,420 µs,463 µs
38,19.0 MB,34.5 MB,434 µs,363 µs
39,19.0 MB,34.5 MB,449 µs,363 µs
40,19.0 MB,34.5 MB,464 µs,363 µs
41,19.0 MB,34.8 MB,363 µs,483 µs
42,19.0 MB,34.8 MB,363 µs,496 µs
43,19.0 MB,34.8 MB,363 µs,509 µs
44,19.6 MB,34.8 MB,731 µs,522 µs
45,19.6 MB,34.8 MB,751 µs,535 µs
46,19.6 MB,34.8 MB,771 µs,548 µs
47,19.6 MB,34.8 MB,791 µs,561 µs
48,19.6 MB,34.8 MB,811 µs,574 µs
49,19.6 MB,34.8 MB,831 µs,587 µs
50,19.6 MB,34.8 MB,851 µs,601 µs
51,19.6 MB,34.8 MB,871 µs,614 µs
52,19.6 MB,34.8 MB,891 µs,627 µs
53,19.6 MB,34.8 MB,911 µs,640 µs
54,19.6 MB,34.8 MB,931 µs,653 µs
55,19.6 MB,34.8 MB,951 µs,666 µs
56,20.0 MB,34.8 MB,880 µs,783 µs
57,20.0 MB,34.8 MB,899 µs,658 µs
58,20.0 MB,34.8 MB,917 µs,645 µs
59,20.0 MB,35.2 MB,935 µs,824 µs
60,20.0 MB,35.2 MB,1.10 ms,824 µs
61,20.0 MB,35.2 MB,1.10 ms,824 µs
62,20.0 MB,35.2 MB,1.10 ms,824 µs
63,20.0 MB,35.2 MB,1.10 ms,824 µs
64,20.0 MB,35.2 MB,1.10 ms,824 µs
65,20.0 MB,35.2 MB,1.10 ms,824 µs
66,20.0 MB,35.2 MB,1.10 ms,824 µs
67,20.0 MB,35.2 MB,1.10 ms,824 µs
68,20.0 MB,35.2 MB,1.10 ms,824 µs
69,20.0 MB,35.2 MB,1.10 ms,824 µs
70,20.0 MB,35.2 MB,1.10 ms,824 µs
71,20.0 MB,35.2 MB,939 µs,824 µs
72,20.0 MB,35.2 MB,921 µs,808 µs
73,20.0 MB,35.2 MB,903 µs,808 µs
74,20.0 MB,35.2 MB,885 µs,808 µs
75,20.2 MB,35.2 MB,1.14 ms,808 µs
76,20.2 MB,35.2 MB,1.14 ms,808 µs
77,20.2 MB,35.2 MB,1.14 ms,808 µs
78,20.2 MB,35.2 MB,1.14 ms,820 µs
79,20.2 MB,35.2 MB,1.14 ms,820 µs
80,20.2 MB,35.2 MB,1.14 ms,820 µs
81,20.2 MB,35.2 MB,1.14 ms,820 µs
82,20.2 MB,35.2 MB,1.14 ms,820 µs
83,20.2 MB,35.2 MB,1.14 ms,820 µs
84,20.2 MB,35.2 MB,1.14 ms,864 µs
85,20.2 MB,35.2 MB,1.14 ms,864 µs
86,20.2 MB,35.2 MB,1.14 ms,864 µs
87,20.2 MB,35.2 MB,826 µs,864 µs
88,20.2 MB,35.2 MB,975 µs,864 µs
89,20.2 MB,35.2 MB,975 µs,864 µs
90,20.2 MB,35.2 MB,975 µs,864 µs
91,20.3 MB,35.2 MB,986 µs,864 µs
92,20.3 MB,35.2 MB,986 µs,864 µs
93,20.3 MB,35.2 MB,986 µs,864 µs
94,20.3 MB,35.2 MB,986 µs,864 µs
95,20.3 MB,35.2 MB,986 µs,864 µs
96,20.3 MB,35.2 MB,986 µs,864 µs
97,20.3 MB,35.2 MB,986 µs,838 µs
98,20.3 MB,35.2 MB,986 µs,838 µs
99,20.3 MB,35.2 MB,986 µs,838 µs
100,20.3 MB,35.2 MB,986 µs,838 µs
101,20.3 MB,35.2 MB,986 µs,814 µs
102,20.3 MB,35.2 MB,986 µs,814 µs
103,20.3 MB,35.2 MB,986 µs,814 µs
104,20.3 MB,35.2 MB,1.03 ms,814 µs
105,20.3 MB,35.2 MB,1.03 ms,814 µs
106,20.3 MB,35.2 MB,1.03 ms,814 µs
107,20.4 MB,35.2 MB,960 µs,814 µs
108,20.4 MB,35.2 MB,960 µs,814 µs
109,20.4 MB,35.2 MB,960 µs,814 µs
110,20.4 MB,35.2 MB,960 µs,814 µs
111,20.4 MB,35.2 MB,960 µs,814 µs
112,20.4 MB,35.2 MB,960 µs,814 µs
113,20.4 MB,35.2 MB,960 µs,814 µs
114,20.4 MB,35.2 MB,960 µs,814 µs
115,20.4 MB,35.2 MB,960 µs,814 µs
116,20.4 MB,35.2 MB,751 µs,814 µs
117,20.4 MB,35.2 MB,904 µs,788 µs
118,20.4 MB,35.2 MB,904 µs,788 µs
119,20.4 MB,35.2 MB,904 µs,763 µs
120,20.4 MB,35.2 MB,904 µs,763 µs
121,20.4 MB,35.2 MB,904 µs,763 µs
122,20.4 MB,35.2 MB,904 µs,763 µs
123,20.4 MB,35.2 MB,904 µs,763 µs
124,20.8 MB,35.2 MB,1.00 ms,763 µs
125,20.8 MB,35.2 MB,1.00 ms,763 µs
126,20.8 MB,35.2 MB,1.00 ms,763 µs
127,20.8 MB,35.2 MB,1.00 ms,763 µs
128,20.8 MB,35.2 MB,1.00 ms,763 µs
129,20.8 MB,35.2 MB,1.00 ms,763 µs
130,20.8 MB,35.2 MB,1.00 ms,763 µs
131,20.8 MB,35.2 MB,1.00 ms,763 µs
132,20.8 MB,35.2 MB,1.00 ms,763 µs
133,20.8 MB,35.2 MB,1.00 ms,763 µs
134,20.8 MB,35.2 MB,1.00 ms,763 µs
135,20.8 MB,35.2 MB,1.00 ms,763 µs
136,20.8 MB,35.2 MB,1.00 ms,763 µs
137,20.9 MB,35.5 MB,1.02 ms,818 µs
138,20.9 MB,35.5 MB,1.02 ms,833 µs
139,20.9 MB,35.5 MB,1.02 ms,833 µs
140,20.9 MB,35.5 MB,1.02 ms,833 µs
141,20.9 MB,35.5 MB,1.02 ms,833 µs
142,20.9 MB,35.5 MB,1.02 ms,833 µs
143,20.9 MB,35.5 MB,1.02 ms,833 µs
144,20.9 MB,35.5 MB,1.02 ms,833 µs
145,20.9 MB,35.5 MB,1.02 ms,833 µs
146,20.9 MB,35.5 MB,1.02 ms,833 µs
147,20.9 MB,35.5 MB,1.02 ms,833 µs
148,20.9 MB,35.5 MB,1.02 ms,833 µs
149,20.9 MB,35.5 MB,1.02 ms,833 µs
150,20.9 MB,35.5 MB,1.02 ms,771 µs
151,20.9 MB,35.5 MB,1.13 ms,771 µs
152,21.2 MB,35.5 MB,1.01 ms,771 µs
153,21.2 MB,35.5 MB,1.01 ms,771 µs
