,response_time_ms
0,2963.710069656372
1,2077.3136615753174
2,2077.976942062378
3,2077.188730239868
4,2105.7357788085938
5,2151.756048202514
6,2074.740171432495
7,2071.3789463043213
8,2070.9187984466553
9,2073.0011463165283
10,2078.824043273926
11,2076.291799545288
12,2074.3796825408936
13,2164.4229888916016
14,2148.4978199005127
15,2075.839042663574
16,2120.8629608154297
17,2150.4650115966797
18,2078.9291858673096
19,2126.378059387207
20,2141.5460109710693
21,2076.338052749634
22,2099.494218826294
23,2077.1820545196533
24,2077.998161315918
25,2112.114906311035
26,2133.83412361145
27,2076.4927864074707
28,2134.921073913574
29,2089.0629291534424
30,2074.553966522217
31,2073.5790729522705
32,2078.9146423339844
33,2076.3120651245117
34,2073.5740661621094
35,2074.023962020874
36,2074.817895889282
37,2082.789659500122
38,2075.2460956573486
39,2071.061134338379
40,2074.286937713623
41,2107.0361137390137
42,2079.235076904297
43,2074.1240978240967
44,2075.845956802368
45,2074.155807495117
46,2077.8517723083496
47,2094.6288108825684
48,2081.7649364471436
49,2079.961061477661
50,2074.3110179901123
51,2075.369119644165
52,2083.2879543304443
53,2075.0746726989746
54,2074.208974838257
55,2153.949975967407
56,2148.993730545044
57,2074.7580528259277
58,2074.2578506469727
59,2079.8699855804443
60,2075.756072998047
61,2105.436086654663
62,2073.1589794158936
63,2075.592279434204
64,2071.705102920532
65,2077.3632526397705
66,2073.248863220215
67,2150.1917839050293
68,2149.9240398406982
69,2077.111005783081
70,2119.709014892578
71,2149.563789367676
72,2074.432134628296
73,2122.0359802246094
74,2150.412082672119
75,2076.9989490509033
76,2072.5882053375244
77,2076.0419368743896
78,2074.9168395996094
79,2078.514814376831
80,2110.9540462493896
81,2072.0341205596924
82,2124.778985977173
83,2076.852798461914
84,2086.8489742279053
85,2074.383020401001
86,2074.7170448303223
87,2074.712038040161
88,2075.0038623809814
89,2175.6458282470703
90,2076.2901306152344
91,2075.885057449341
92,2091.18390083313
93,2077.7151584625244
94,2075.835704803467
95,2090.9907817840576
96,2074.841260910034
97,2077.9550075531006
98,2077.105760574341
99,2163.815975189209
100,2149.4662761688232
101,2080.2409648895264
102,2073.270082473755
103,2074.041843414306
104,2086.536407470703
105,2116.675853729248
106,2075.895071029663
107,2075.123071670532
108,2112.8461360931396
109,2078.0117511749268
110,2110.413074493408
111,2076.1027336120605
112,2077.6491165161133
113,2089.9739265441895
114,2075.870990753174
115,2078.249931335449
116,2073.0979442596436
117,2074.075698852539
118,2139.5461559295654
119,2077.075958251953
120,2076.7760276794434
121,2075.9260654449463
122,2075.3140449523926
123,2076.669216156006
124,2106.0709953308105
125,2149.045944213867
126,
127,2130.8720111846924
128,2073.148012161255
129,2076.1611461639404
130,2070.2037811279297
131,2103.83939743042
132,2071.677923202514
133,2072.7128982543945
134,2098.302841186523
135,2076.157808303833
136,2120.826959609986
137,2151.7629623413086
138,2075.13689994812
139,2073.939323425293
140,2076.172113418579
141,2073.837995529175
142,2071.2921619415283
143,2077.411890029907
144,2085.7388973236084
145,2073.117971420288
146,2123.173952102661
147,2150.4831314086914
148,2074.5630264282227
149,2071.556806564331
150,2071.110963821411
151,2078.8028240203857
152,2177.830934524536
153,2117.974042892456
154,2076.2031078338623
155,2078.08518409729
156,2089.102029800415
157,2072.167158126831
158,2125.1163482666016
159,2150.61092376709
160,2073.42791557312
161,2080.2152156829834
162,2079.8940658569336
163,2077.368974685669
164,2074.7439861297607
165,2100.801944732666
166,2075.8869647979736
167,2121.4640140533447
168,2109.4582080841064
169,2078.667163848877
170,2080.314874649048
171,2127.681016921997
172,2076.530933380127
173,2076.871871948242
174,2190.603017807007
175,2076.1680603027344
176,2122.436046600342
177,2148.1361389160156
178,2105.210065841675
179,2081.928014755249
180,2159.2960357666016
181,2072.409152984619
182,2076.7531394958496
183,2095.3338146209717
184,2075.648069381714
185,2083.3098888397217
186,2084.728002548218
187,2074.333906173706
188,2121.4091777801514
189,2075.1168727874756
190,2125.9231567382812
191,2074.795961380005
192,2117.432117462158
193,2074.4471549987793
194,2079.939842224121
195,2089.183807373047
196,2075.819730758667
197,2076.0257244110107
198,2074.187994003296
199,2077.369213104248
