Index,AUTO-first-cpu-revision,AUTO-gpu-revision,AUTO-second-cpu-revision,CPU,GPU
298,,1.5694999999999998e-05,0.001372,0.0012232,0.0005002
299,,1.5584999999999997e-05,0.001424,0.001243,0.000516
300,,1.5475e-05,0.001424,0.0012590000000000001,0.0005124
301,,1.5365e-05,0.001424,0.0012174,0.000507
302,,1.5254999999999999e-05,0.001424,0.001238,0.0005044
303,,1.5144999999999998e-05,0.001424,0.001082,0.0005058
304,,1.5034999999999998e-05,0.001432,0.0010846,0.0004902
305,,1.4924999999999999e-05,0.0014259999999999998,0.0010570000000000002,0.0005092000000000001
306,,1.4815e-05,0.0014199999999999998,0.0010746,0.0005092000000000001
307,,1.4704999999999999e-05,0.001426,0.0011098000000000002,0.0005092000000000001
308,,2.1899999999999997e-05,0.001426,0.0011382000000000002,0.0005092000000000001
309,,2.1899999999999997e-05,0.001426,0.0011382000000000002,0.0005092000000000001
310,,2.1899999999999997e-05,0.001414,0.0011382000000000002,0.0005092000000000001
311,,2.1899999999999997e-05,0.001418,0.0010562,0.000507
312,,2.1899999999999997e-05,0.001418,0.0010642,0.000507
313,,,0.001418,0.0010722000000000001,0.000492
314,,,0.001418,0.0010862,0.0004936000000000001
315,,,0.001418,0.0010942,0.0004718
316,,,0.0014199999999999998,0.0011021999999999998,0.0004580000000000001
317,,,0.0013319999999999999,0.0010827999999999999,0.00046280000000000003
318,,,0.001422,0.0010876,0.00046440000000000007
319,,,0.0012398,0.0011097999999999998,0.0004670000000000001
320,,,0.0012482,0.0010998,0.0004688
321,,,0.0012586,0.0010992,0.0005168000000000001
322,,,0.0012668,0.0010828,0.0005208000000000001
323,,,0.0012332,0.0011088,0.0005208000000000001
324,,,0.0012418,0.0011062000000000003,0.0005208000000000001
325,,,0.0013282,0.0007594,0.0005068
326,,,0.0013327999999999999,0.0007714,0.0005051999999999999
327,,,0.0013374,0.000786,0.0005034
328,,,0.0013419999999999999,0.0007830000000000001,0.0005017999999999999
329,,,0.0013460000000000002,0.0007802,0.0004999999999999999
330,,,0.00135,0.0007772,0.00046499999999999997
331,,,0.001278,0.0008608000000000001,0.0004668
332,,,0.001272,0.0008753999999999999,0.00048019999999999996
333,,,0.0012162,0.0008753999999999999,0.00048020000000000007
334,,,0.0012582,0.0008753999999999999,0.000514
335,,,0.0012422,0.0008753999999999999,0.0005204000000000001
336,,,0.001272,0.0008722000000000001,0.0005224
337,,,0.001264,0.0008446,0.0005224
338,,,0.0011658,0.0008418,0.0005224
339,,,0.0012266,0.000839,0.0005224
340,,,0.0013540000000000002,0.000809,0.0005224
341,,,0.001396,0.0008128000000000001,0.000521
342,,,0.0014060000000000001,0.0008074000000000001,0.000521
343,,,0.0014060000000000001,0.0007384000000000001,0.000521
344,,,0.0014060000000000001,0.000772,0.000521
345,,,0.0014060000000000001,0.0007522,0.0005198000000000001
346,,,0.0014060000000000001,0.0007496,0.0005198000000000001
347,,,0.0014060000000000001,0.0007472,0.0005008
348,,,0.0014060000000000001,0.0006894,0.0005028000000000001
349,,,0.0014160000000000002,0.0006448000000000001,0.0005012
350,,,0.00142,0.0006642,0.0005006
351,,,0.00141,0.0010572,0.000499
352,,,0.001424,0.0011068,0.00048140000000000005
353,,,0.001422,0.0011889999999999997,0.00047559999999999996
354,,,0.001422,0.0012069999999999997,0.00045899999999999994
355,,,0.001422,0.0012229999999999997,0.00047420000000000003
356,,,0.001422,0.0012409999999999997,0.00047100000000000006
357,,,0.0014160000000000002,0.0012569999999999999,0.00046740000000000003
358,,,0.0014160000000000002,0.0012749999999999997,0.0004854000000000001
359,,,0.0014059999999999997,0.0011927999999999997,0.0004836
360,,,0.0014059999999999997,0.0011902,0.0004818
361,,,0.0014059999999999997,0.0012062,0.00048000000000000007
362,,,0.0014059999999999997,0.0012242,0.0004594
363,,,0.0014059999999999997,0.0012682,0.0004576
364,,,0.00141,0.0012558,0.0004574
365,,,0.001406,0.0010336000000000002,0.0004548
366,,,0.0013111999999999998,0.0010014,0.0004956
367,,,0.0012732,0.0010301999999999998,0.0004938
368,,,0.0013219999999999998,0.0010420000000000002,0.000492
369,,,0.001324,0.0010538,0.0004902
370,,,0.001362,0.001065,0.0004936000000000001
371,,,0.001356,0.0010428,0.00046439999999999996
372,,,0.001408,0.0010517999999999999,0.00046439999999999996
373,,,0.001408,0.001061,0.00046239999999999996
374,,,0.001408,0.0010930000000000002,0.000466
375,,,0.001408,0.0014778,0.0004844
376,,,0.001358,0.0015622000000000001,0.00048259999999999997
377,,,0.0012469999999999998,0.0016002,0.0004808
378,,,0.001251,0.0016382,0.000479
379,,,0.0013069999999999998,0.0016642,0.0004778
380,,,0.001354,0.001675,0.0005158000000000001
381,,,0.0013579999999999998,0.0017121999999999999,0.0005126
382,,,0.001364,0.0015732000000000003,0.0005142
383,,,0.00133,0.0015994000000000002,0.0005152000000000001
384,,,0.001372,0.0015873999999999999,0.000516
385,,,0.0013659999999999998,0.0016213999999999998,0.000516
386,,,0.001404,0.0016576,0.000516
387,,,0.001404,0.0014636,0.0005166
388,,,0.001404,0.0014394,0.0005166
389,,,0.0013580000000000003,0.0015258000000000001,0.0004964
390,,,0.001424,0.0014106000000000001,0.0004923999999999999
391,,,0.001424,0.0014272000000000002,0.0004906000000000001
392,,,0.001424,0.0014420000000000001,0.0004888
393,,,0.001424,0.0014547999999999998,0.000487
394,,,0.001424,0.0011538000000000002,0.0004938
395,,,0.001382,0.0011750000000000003,0.0004536
396,,,0.001378,0.0011442,0.00043400000000000003
397,,,0.0013180000000000002,0.0011582,0.00045979999999999995
398,,,0.001376,0.0011722000000000002,0.0004632
399,,,0.001384,0.0011842,0.0004666
400,,,0.001374,0.0012064,0.00047020000000000005
401,,,0.001428,0.0012204000000000002,0.00048760000000000003
402,,,0.0014359999999999998,0.0012344000000000003,0.0004946
403,,,0.001382,0.0012464000000000002,0.0004963999999999999
404,,,0.0013759999999999998,0.0012604000000000003,0.0004982
405,,,0.0013739999999999998,0.0011250000000000001,0.000504
406,,,0.0013679999999999999,0.0011284,0.0005058
407,,,0.001364,0.0011318,0.0005076
408,,,0.0013579999999999998,0.0011052,0.0005094
409,,,0.001354,0.0010984,0.0005112000000000001
410,,,0.0013479999999999998,0.0010650000000000002,0.000476
411,,,0.0013499999999999999,0.0010458,0.0004762
