step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container,gpu_gpu_0
0,8.20 MB,16.1 MB,235 µs,48.5 µs,
1,8.20 MB,16.1 MB,229 µs,48.5 µs,
2,8.20 MB,16.1 MB,223 µs,48.5 µs,
3,8.20 MB,16.1 MB,217 µs,48.5 µs,
4,8.20 MB,16.1 MB,212 µs,0 s,
5,8.20 MB,16.1 MB,213 µs,0 s,
6,8.20 MB,16.1 MB,208 µs,0 s,
7,11.6 MB,18.2 MB,202 µs,0 s,0%
8,11.6 MB,18.2 MB,196 µs,0 s,0%
9,11.6 MB,18.2 MB,190 µs,0 s,0%
10,11.6 MB,18.2 MB,184 µs,0 s,0%
11,11.6 MB,18.2 MB,178 µs,0 s,0%
12,11.6 MB,18.2 MB,173 µs,0 s,0%
13,11.6 MB,18.2 MB,167 µs,0 s,0%
14,11.6 MB,18.2 MB,161 µs,0 s,0%
15,11.6 MB,18.2 MB,155 µs,0 s,0%
16,11.6 MB,18.2 MB,149 µs,0 s,0%
17,11.6 MB,18.2 MB,144 µs,0 s,0%
18,11.6 MB,18.2 MB,,0 s,0%
19,11.6 MB,18.2 MB,,0 s,0%
20,11.6 MB,18.2 MB,,0 s,0%
21,11.6 MB,18.2 MB,,0 s,0%
22,11.6 MB,18.2 MB,,0 s,0%
23,11.6 MB,18.2 MB,,0 s,0%
24,11.6 MB,18.2 MB,,0 s,0%
25,11.6 MB,18.2 MB,,0 s,0%
26,11.6 MB,32.1 MB,,1.65 ms,0%
27,11.6 MB,32.1 MB,,1.73 ms,0%
28,11.6 MB,32.1 MB,,1.81 ms,0%
29,11.6 MB,32.1 MB,,1.89 ms,0%
30,11.6 MB,32.1 MB,,1.97 ms,0%
31,11.6 MB,32.1 MB,,2.05 ms,0%
32,11.6 MB,32.1 MB,,2.13 ms,0%
33,15.5 MB,32.1 MB,680 µs,2.22 ms,0%
34,15.5 MB,32.1 MB,698 µs,2.30 ms,0%
35,15.5 MB,32.1 MB,716 µs,2.38 ms,0%
36,15.5 MB,32.1 MB,734 µs,2.46 ms,0%
37,15.5 MB,32.1 MB,752 µs,2.54 ms,0%
38,15.5 MB,32.1 MB,770 µs,2.62 ms,0%
39,15.5 MB,32.1 MB,788 µs,2.70 ms,0%
40,15.5 MB,32.1 MB,806 µs,2.78 ms,0%
41,15.5 MB,32.1 MB,824 µs,2.86 ms,0%
42,15.5 MB,32.1 MB,842 µs,2.94 ms,0%
43,15.5 MB,32.1 MB,860 µs,1.75 ms,0%
44,15.5 MB,32.1 MB,878 µs,1.79 ms,0%
45,15.5 MB,32.1 MB,896 µs,1.84 ms,0%
46,15.5 MB,32.1 MB,914 µs,1.89 ms,0%
47,15.5 MB,32.1 MB,932 µs,1.93 ms,0%
48,15.5 MB,32.1 MB,839 µs,1.98 ms,0%
49,15.5 MB,32.1 MB,854 µs,2.02 ms,0%
50,15.5 MB,32.1 MB,869 µs,2.07 ms,0%
51,15.5 MB,32.1 MB,885 µs,2.11 ms,0%
52,15.5 MB,32.1 MB,900 µs,2.16 ms,0%
53,15.5 MB,32.1 MB,915 µs,2.21 ms,0%
54,15.5 MB,32.1 MB,918 µs,2.25 ms,0%
55,15.5 MB,32.1 MB,918 µs,2.30 ms,0%
56,15.5 MB,32.1 MB,918 µs,2.34 ms,0%
57,15.5 MB,32.1 MB,918 µs,2.39 ms,0%
58,15.5 MB,32.1 MB,918 µs,1.89 ms,0%
59,15.5 MB,32.1 MB,918 µs,1.92 ms,0%
60,15.5 MB,32.1 MB,918 µs,1.96 ms,0%
61,15.5 MB,32.1 MB,918 µs,1.99 ms,0%
62,15.5 MB,32.1 MB,918 µs,2.03 ms,0%
63,15.5 MB,32.1 MB,918 µs,2.06 ms,0%
64,15.5 MB,32.1 MB,918 µs,2.10 ms,0%
65,15.7 MB,32.1 MB,815 µs,2.10 ms,0%
66,15.7 MB,32.1 MB,815 µs,2.10 ms,0%
67,15.7 MB,32.1 MB,432 µs,444 µs,0%
68,15.7 MB,32.1 MB,442 µs,533 µs,0%
69,15.7 MB,32.1 MB,452 µs,533 µs,0%
70,15.7 MB,32.1 MB,462 µs,533 µs,0%
71,15.7 MB,32.1 MB,472 µs,533 µs,0%
72,15.7 MB,32.1 MB,483 µs,524 µs,0%
73,15.7 MB,32.1 MB,493 µs,524 µs,0%
74,15.7 MB,32.1 MB,503 µs,524 µs,0%
75,15.7 MB,32.1 MB,606 µs,524 µs,0%
76,15.7 MB,32.1 MB,606 µs,524 µs,0%
77,15.7 MB,32.1 MB,606 µs,524 µs,0%
78,15.7 MB,32.1 MB,606 µs,524 µs,0%
79,15.8 MB,32.1 MB,630 µs,524 µs,0%
80,15.8 MB,32.1 MB,630 µs,524 µs,0%
81,15.8 MB,32.1 MB,630 µs,524 µs,0%
82,15.8 MB,32.1 MB,630 µs,524 µs,0%
83,15.8 MB,32.1 MB,630 µs,524 µs,0%
84,15.8 MB,32.1 MB,630 µs,524 µs,0%
85,15.8 MB,32.1 MB,630 µs,524 µs,0%
86,15.8 MB,32.1 MB,630 µs,451 µs,0%
87,15.8 MB,32.1 MB,630 µs,533 µs,0%
88,15.8 MB,32.1 MB,630 µs,455 µs,0%
89,15.8 MB,32.1 MB,628 µs,446 µs,0%
90,15.8 MB,32.1 MB,628 µs,437 µs,0%
91,15.8 MB,32.1 MB,628 µs,428 µs,0%
92,15.8 MB,32.1 MB,628 µs,419 µs,0%
93,15.8 MB,32.1 MB,622 µs,410 µs,0%
94,15.8 MB,32.1 MB,622 µs,402 µs,0%
95,15.8 MB,32.1 MB,622 µs,393 µs,0%
96,15.8 MB,32.1 MB,622 µs,384 µs,0%
97,15.8 MB,32.1 MB,622 µs,375 µs,0%
98,15.8 MB,32.1 MB,622 µs,366 µs,0%
99,15.8 MB,32.1 MB,622 µs,543 µs,0%
100,15.8 MB,32.1 MB,622 µs,543 µs,0%
101,15.8 MB,32.1 MB,622 µs,543 µs,0%
102,15.8 MB,32.1 MB,622 µs,543 µs,0%
103,15.9 MB,32.1 MB,636 µs,537 µs,0%
104,15.9 MB,32.1 MB,636 µs,537 µs,0%
105,15.9 MB,32.1 MB,636 µs,537 µs,0%
106,15.9 MB,32.1 MB,636 µs,537 µs,0%
107,15.9 MB,32.1 MB,636 µs,537 µs,0%
108,15.9 MB,32.1 MB,545 µs,537 µs,0%
109,15.9 MB,32.1 MB,557 µs,537 µs,0%
110,15.9 MB,32.1 MB,568 µs,544 µs,0%
111,15.9 MB,32.1 MB,579 µs,544 µs,0%
112,15.9 MB,32.1 MB,665 µs,544 µs,0%
113,15.9 MB,32.1 MB,665 µs,544 µs,0%
114,15.9 MB,32.1 MB,665 µs,544 µs,0%
115,15.9 MB,32.1 MB,665 µs,544 µs,0%
116,15.9 MB,32.1 MB,579 µs,544 µs,0%
117,15.9 MB,32.1 MB,568 µs,544 µs,0%
118,15.9 MB,32.1 MB,557 µs,560 µs,0%
119,15.9 MB,32.1 MB,545 µs,560 µs,0%
120,15.9 MB,32.1 MB,534 µs,560 µs,0%
121,15.9 MB,32.1 MB,523 µs,560 µs,0%
122,16.3 MB,32.1 MB,652 µs,560 µs,0%
123,16.3 MB,32.1 MB,652 µs,560 µs,0%
124,16.3 MB,32.1 MB,652 µs,560 µs,0%
125,16.3 MB,32.1 MB,640 µs,560 µs,0%
126,16.3 MB,32.1 MB,640 µs,560 µs,0%
127,16.3 MB,32.2 MB,640 µs,558 µs,0%
128,16.3 MB,32.2 MB,640 µs,558 µs,0%
129,16.3 MB,32.2 MB,640 µs,558 µs,0%
130,16.3 MB,32.2 MB,640 µs,558 µs,0%
131,16.3 MB,32.2 MB,640 µs,558 µs,0%
132,16.3 MB,32.2 MB,640 µs,379 µs,0%
133,16.3 MB,32.2 MB,640 µs,388 µs,0%
134,16.3 MB,32.2 MB,640 µs,397 µs,0%
135,16.3 MB,32.2 MB,640 µs,407 µs,0%
136,16.3 MB,32.2 MB,640 µs,416 µs,0%
137,16.3 MB,32.2 MB,640 µs,426 µs,0%
138,16.3 MB,32.2 MB,546 µs,435 µs,0%
139,16.3 MB,32.2 MB,648 µs,444 µs,0%
140,16.3 MB,32.2 MB,648 µs,454 µs,0%
141,16.3 MB,32.2 MB,532 µs,463 µs,0%
142,16.3 MB,32.2 MB,521 µs,393 µs,0%
143,16.3 MB,32.2 MB,511 µs,393 µs,0%
144,16.3 MB,32.2 MB,500 µs,550 µs,0%
145,16.3 MB,32.2 MB,489 µs,550 µs,0%
146,16.3 MB,32.2 MB,478 µs,550 µs,0%
147,16.3 MB,32.2 MB,467 µs,550 µs,0%
148,16.3 MB,32.2 MB,457 µs,550 µs,0%
149,16.3 MB,32.2 MB,449 µs,550 µs,0%
150,16.3 MB,32.2 MB,438 µs,550 µs,0%
151,16.3 MB,32.2 MB,428 µs,550 µs,0%
152,16.3 MB,32.2 MB,417 µs,550 µs,0%
153,16.3 MB,32.2 MB,407 µs,550 µs,0%
154,16.3 MB,32.2 MB,396 µs,550 µs,0%
155,16.3 MB,32.2 MB,386 µs,550 µs,0%
156,16.8 MB,32.2 MB,656 µs,550 µs,0%
157,16.8 MB,32.2 MB,656 µs,550 µs,0%
158,16.8 MB,32.2 MB,656 µs,550 µs,0%
159,16.8 MB,32.2 MB,656 µs,543 µs,0%
160,16.8 MB,32.2 MB,656 µs,543 µs,0%
161,16.8 MB,32.2 MB,656 µs,543 µs,0%
162,16.8 MB,32.2 MB,656 µs,532 µs,0%
163,16.8 MB,32.2 MB,673 µs,532 µs,0%
164,16.8 MB,32.2 MB,673 µs,532 µs,0%
165,16.8 MB,32.2 MB,673 µs,532 µs,0%
166,16.8 MB,32.2 MB,673 µs,532 µs,0%
167,16.8 MB,32.2 MB,673 µs,532 µs,0%
168,16.8 MB,32.2 MB,673 µs,532 µs,0%
169,16.8 MB,32.2 MB,673 µs,532 µs,0%
170,16.8 MB,32.2 MB,673 µs,521 µs,0%
171,16.8 MB,32.2 MB,673 µs,521 µs,0%
172,16.8 MB,32.2 MB,673 µs,521 µs,0%
173,16.8 MB,32.2 MB,673 µs,521 µs,0%
174,16.8 MB,32.2 MB,673 µs,521 µs,0%
175,17.1 MB,32.2 MB,660 µs,521 µs,0%
176,17.1 MB,32.2 MB,660 µs,521 µs,0%
177,17.1 MB,32.2 MB,660 µs,506 µs,0%
178,17.1 MB,32.2 MB,660 µs,506 µs,0%
179,17.1 MB,32.2 MB,660 µs,506 µs,0%
180,17.1 MB,32.2 MB,660 µs,506 µs,0%
181,17.1 MB,32.2 MB,660 µs,506 µs,0%
182,17.1 MB,32.2 MB,378 µs,506 µs,0%
183,17.1 MB,32.2 MB,389 µs,506 µs,0%
184,17.1 MB,32.2 MB,399 µs,506 µs,0%
185,17.1 MB,32.2 MB,410 µs,506 µs,0%
186,17.1 MB,32.2 MB,420 µs,506 µs,0%
187,17.1 MB,32.2 MB,431 µs,493 µs,0%
188,17.1 MB,32.2 MB,442 µs,493 µs,0%
189,17.1 MB,32.2 MB,452 µs,493 µs,0%
190,17.1 MB,32.2 MB,463 µs,493 µs,0%
191,17.1 MB,32.2 MB,474 µs,519 µs,0%
192,17.1 MB,32.2 MB,484 µs,519 µs,0%
193,17.1 MB,32.2 MB,495 µs,519 µs,0%
194,16.9 MB,32.2 MB,485 µs,519 µs,0%
195,16.9 MB,32.2 MB,496 µs,519 µs,0%
196,16.9 MB,32.2 MB,613 µs,519 µs,0%
197,16.9 MB,32.2 MB,613 µs,519 µs,0%
198,16.9 MB,32.2 MB,613 µs,519 µs,0%
199,16.9 MB,32.2 MB,613 µs,519 µs,0%
200,16.9 MB,32.2 MB,613 µs,519 µs,0%
201,16.9 MB,32.2 MB,613 µs,519 µs,0%
202,16.9 MB,32.2 MB,613 µs,519 µs,0%
203,16.9 MB,32.2 MB,613 µs,519 µs,0%
204,16.9 MB,32.2 MB,613 µs,437 µs,0%
205,16.9 MB,32.2 MB,613 µs,446 µs,0%
206,16.9 MB,32.2 MB,613 µs,523 µs,0%
207,16.9 MB,32.2 MB,613 µs,443 µs,0%
208,16.9 MB,32.2 MB,613 µs,434 µs,0%
209,16.9 MB,32.2 MB,613 µs,524 µs,0%
210,17.0 MB,32.2 MB,609 µs,524 µs,0%
211,17.0 MB,32.2 MB,609 µs,524 µs,0%
212,17.0 MB,32.2 MB,609 µs,524 µs,0%
213,17.0 MB,32.2 MB,609 µs,524 µs,0%
214,17.0 MB,32.2 MB,609 µs,524 µs,0%
215,17.0 MB,32.2 MB,609 µs,524 µs,0%
216,17.0 MB,32.2 MB,593 µs,524 µs,0%
217,17.0 MB,32.2 MB,593 µs,524 µs,0%
218,17.0 MB,32.2 MB,593 µs,524 µs,0%
219,17.0 MB,32.2 MB,593 µs,524 µs,0%
220,17.0 MB,32.2 MB,593 µs,524 µs,0%
221,17.0 MB,32.2 MB,593 µs,524 µs,0%
222,17.0 MB,32.2 MB,593 µs,530 µs,0%
223,17.0 MB,32.2 MB,593 µs,530 µs,0%
224,17.1 MB,32.2 MB,609 µs,530 µs,0%
225,17.1 MB,32.2 MB,609 µs,530 µs,0%
226,17.1 MB,32.2 MB,609 µs,530 µs,0%
227,17.1 MB,32.2 MB,609 µs,530 µs,0%
228,17.1 MB,32.2 MB,609 µs,530 µs,0%
229,17.1 MB,32.2 MB,609 µs,530 µs,0%
230,17.1 MB,32.2 MB,609 µs,530 µs,0%
231,17.1 MB,32.2 MB,609 µs,530 µs,0%
232,17.1 MB,32.2 MB,609 µs,530 µs,0%
233,17.1 MB,32.2 MB,609 µs,530 µs,0%
234,17.1 MB,32.2 MB,609 µs,530 µs,0%
235,17.1 MB,32.2 MB,498 µs,530 µs,0%
236,17.1 MB,32.2 MB,508 µs,530 µs,0%
237,17.1 MB,32.2 MB,519 µs,508 µs,0%
238,17.1 MB,32.2 MB,529 µs,508 µs,0%
239,17.1 MB,32.2 MB,616 µs,508 µs,0%
240,17.1 MB,32.2 MB,616 µs,422 µs,0%
241,17.1 MB,32.2 MB,616 µs,530 µs,0%
242,17.1 MB,32.2 MB,616 µs,530 µs,0%
243,17.1 MB,32.2 MB,616 µs,530 µs,0%
244,17.1 MB,32.2 MB,616 µs,530 µs,0%
245,17.1 MB,32.2 MB,616 µs,530 µs,0%
246,17.1 MB,32.2 MB,616 µs,530 µs,0%
247,17.1 MB,32.2 MB,616 µs,530 µs,0%
248,17.1 MB,32.2 MB,616 µs,530 µs,0%
249,17.1 MB,32.2 MB,616 µs,530 µs,0%
250,17.0 MB,32.2 MB,643 µs,530 µs,0%
251,17.0 MB,32.2 MB,643 µs,532 µs,0%
252,17.0 MB,32.2 MB,643 µs,532 µs,0%
253,17.0 MB,32.2 MB,643 µs,541 µs,0%
254,17.0 MB,32.2 MB,561 µs,541 µs,0%
255,17.0 MB,32.2 MB,572 µs,541 µs,0%
256,17.0 MB,32.2 MB,661 µs,541 µs,0%
257,17.0 MB,32.2 MB,661 µs,541 µs,0%
258,17.0 MB,32.2 MB,661 µs,541 µs,0%
259,17.0 MB,32.2 MB,661 µs,541 µs,0%
260,17.0 MB,32.2 MB,661 µs,541 µs,0%
261,17.0 MB,32.2 MB,661 µs,541 µs,0%
262,17.0 MB,32.2 MB,661 µs,541 µs,0%
263,17.0 MB,32.2 MB,661 µs,541 µs,0%
264,17.0 MB,32.2 MB,661 µs,541 µs,0%
265,17.0 MB,32.2 MB,563 µs,541 µs,0%
266,17.0 MB,32.2 MB,552 µs,541 µs,0%
267,17.0 MB,32.2 MB,644 µs,541 µs,0%
