,response_time_ms
0,9329.04815673828
1,2076.1311054229736
2,2080.374002456665
3,2076.592922210694
4,2144.3891525268555
5,2110.18705368042
6,2079.724073410034
7,2079.773187637329
8,2109.2021465301514
9,2113.8038635253906
10,2115.0550842285156
11,2114.1910552978516
12,2082.5068950653076
13,2077.777147293091
14,2079.40411567688
15,2087.1028900146484
16,2074.9120712280273
17,2074.8629570007324
18,2076.673984527588
19,2080.517053604126
20,2112.795829772949
21,2110.292911529541
22,2083.1522941589355
23,2074.629068374634
24,2073.7409591674805
25,2076.671361923218
26,2076.3702392578125
27,2073.319911956787
28,2076.786994934082
29,2077.5067806243896
30,2079.030990600586
31,2073.5650062561035
32,2106.5192222595215
33,2164.146900177002
34,2078.4590244293213
35,2076.969861984253
36,2092.071771621704
37,2119.7869777679443
38,2077.51989364624
39,2076.6501426696777
40,2075.5960941314697
41,2074.90611076355
42,2088.7699127197266
43,2078.911066055298
44,2093.654155731201
45,2074.9430656433105
46,2076.0657787323
47,2077.033281326294
48,2116.3268089294434
49,2075.9737491607666
50,2077.333927154541
51,2077.04496383667
52,2075.1819610595703
53,2109.7400188446045
54,2112.807035446167
55,2121.9680309295654
56,2079.254150390625
57,2078.4029960632324
58,2116.089105606079
59,2080.930233001709
60,2078.2320499420166
61,2094.1567420959473
62,2075.7272243499756
63,2072.3369121551514
64,2081.8052291870117
65,2078.294038772583
66,2111.36794090271
67,2075.803756713867
68,2079.507827758789
69,2081.2878608703613
70,2101.8030643463135
71,2076.894044876098
72,2094.825983047486
73,2118.8879013061523
74,2079.9238681793213
75,2078.289031982422
76,2116.1911487579346
77,2078.9272785186768
78,2107.8858375549316
79,2076.575994491577
80,2108.445882797241
81,2107.60760307312
82,2077.2628784179688
83,2082.5719833374023
84,2075.6540298461914
85,2081.6221237182617
86,2077.854871749878
87,2081.9668769836426
88,2108.7069511413574
89,2074.709177017212
90,2111.3860607147217
91,2175.714015960694
92,2076.1139392852783
93,2075.7319927215576
94,2090.3961658477783
95,2074.260950088501
96,2077.0187377929688
97,2079.8308849334717
98,2078.44614982605
99,2079.491138458252
100,2073.880910873413
101,2080.7619094848633
102,2077.8439044952393
103,2077.428817749023
104,2072.75915145874
105,2071.7599391937256
106,2075.1402378082275
107,2077.425956726074
108,2079.2720317840576
109,2076.4200687408447
110,2080.7831287384033
111,2078.0038833618164
112,2078.73797416687
113,2117.1579360961914
114,2073.408842086792
115,2075.7477283477783
116,2075.011968612671
117,2081.0911655426025
118,2074.5840072631836
119,2085.581064224243
120,2117.341995239258
121,2080.7769298553467
122,2074.406147003174
123,2076.05504989624
124,2077.891111373902
125,2087.388277053833
126,2113.884210586548
127,2079.6658992767334
128,2076.612710952759
129,2077.81720161438
130,2074.968099594116
131,2077.8162479400635
132,2138.856887817383
133,2079.310178756714
134,2074.692726135254
135,2089.337110519409
136,2074.949264526367
137,2115.664005279541
138,2077.2809982299805
139,2075.897693634033
140,2098.9749431610107
141,2081.663131713867
142,2075.2923488616943
143,2073.5559463500977
144,2075.523614883423
145,2091.034173965454
146,2076.533079147339
147,2083.263874053955
148,2075.8068561553955
149,2086.3630771636963
150,2082.21697807312
151,2071.891069412231
152,2071.927785873413
153,2072.597026824951
154,2072.951078414917
155,2075.977087020874
156,2074.1279125213623
157,2176.413059234619
158,2071.9711780548096
159,2077.347993850708
160,2096.012830734253
161,2082.833766937256
162,2072.6828575134277
163,2085.8991146087646
164,2076.0209560394287
165,2074.5463371276855
166,2092.365980148315
167,2079.6051025390625
168,2119.641065597534
169,2147.5017070770264
170,2109.443187713623
171,2085.4148864746094
172,2075.575828552246
173,2075.639009475708
174,2093.8169956207275
175,2149.815082550049
176,2075.563907623291
177,2077.1758556365967
178,2078.2670974731445
179,2078.238010406494
180,2077.2008895874023
181,2071.465015411377
182,2070.881605148315
183,2072.0200538635254
184,2083.019733428955
185,2073.446750640869
186,2077.6820182800293
187,2075.90913772583
188,2076.454162597656
189,2074.0342140197754
190,2075.2429962158203
191,2130.112648010254
192,2075.2298831939697
193,2078.065872192383
194,2073.8658905029297
195,2162.22620010376
196,2150.974988937378
197,2079.0820121765137
198,2117.6421642303467
199,2250.6041526794434
