step,ram-cpu_queue-proxy,ram-cpu_user-container,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu_queue-proxy,cpu-cpu_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,gpu_gpu_0
0,,,,,,,,,
1,,,,,,,,,
2,3.42 MB,2.12 MB,,,,,,,
3,3.42 MB,2.12 MB,,,,,,,
4,3.42 MB,2.12 MB,,,,,,,
5,3.42 MB,2.12 MB,,,,,,,
6,3.42 MB,2.12 MB,,,,,,,
7,3.42 MB,2.12 MB,,,,,,,
8,3.42 MB,2.12 MB,,,,,,,
9,3.42 MB,2.12 MB,,,,,,,
10,3.42 MB,2.12 MB,,,,,,,
11,3.42 MB,2.12 MB,,,,,,,
12,3.42 MB,2.12 MB,,,,,,,
13,3.42 MB,2.12 MB,,,,,,,
14,3.42 MB,2.12 MB,,,,,,,
15,3.42 MB,2.12 MB,,,,,,,
16,3.42 MB,3.45 GB,,,,122 ms,,,
17,3.42 MB,3.45 GB,,,,131 ms,,,
18,3.42 MB,3.45 GB,,,,139 ms,,,
19,3.42 MB,3.45 GB,,,,148 ms,,,
20,3.42 MB,3.45 GB,,,,156 ms,,,
21,3.42 MB,3.45 GB,,,,165 ms,,,
22,8.98 MB,3.45 GB,,,1.76 ms,173 ms,,,
23,8.98 MB,3.45 GB,,,1.84 ms,182 ms,,,
24,8.98 MB,3.45 GB,,,1.91 ms,190 ms,,,
25,8.98 MB,3.45 GB,,,1.99 ms,199 ms,,,
26,8.98 MB,3.45 GB,,,2.07 ms,207 ms,,,
27,8.98 MB,3.45 GB,,,2.14 ms,216 ms,,,
28,8.98 MB,3.45 GB,,,2.22 ms,224 ms,,,
29,8.98 MB,3.45 GB,,,2.30 ms,233 ms,,,
30,8.98 MB,3.45 GB,,,2.37 ms,241 ms,,,
31,8.98 MB,10.3 GB,,,2.45 ms,918 ms,,,
32,8.98 MB,10.3 GB,,,2.53 ms,949 ms,,,
33,9.10 MB,10.3 GB,,,2.07 ms,980 ms,,,
34,9.10 MB,10.3 GB,,,2.12 ms,1.01 s,,,
35,9.10 MB,10.3 GB,,,2.18 ms,1.04 s,,,
36,9.10 MB,10.3 GB,,,2.24 ms,1.07 s,,,
37,9.10 MB,10.3 GB,,,2.30 ms,1.10 s,,,
38,9.10 MB,10.3 GB,,,2.36 ms,1.14 s,,,
39,9.10 MB,10.3 GB,,,2.42 ms,1.17 s,,,
40,9.10 MB,10.3 GB,,,2.48 ms,1.20 s,,,
41,9.10 MB,10.3 GB,,,2.54 ms,1.23 s,,,
42,9.10 MB,10.3 GB,,,2.60 ms,1.26 s,,,
43,9.10 MB,10.3 GB,,,2.66 ms,2.08 s,,,
44,9.10 MB,10.3 GB,,,2.72 ms,2.13 s,,,
45,9.10 MB,10.3 GB,,,2.78 ms,2.18 s,,,
