step,ram-cpu_queue-proxy,ram-cpu_user-container,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu_queue-proxy,cpu-cpu_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,gpu_gpu_0
0,8.18 MB,10.3 GB,,,273 µs,73.0 µs,,,
1,8.18 MB,10.3 GB,,,233 µs,71.2 µs,,,
2,11.6 MB,10.3 GB,,,228 µs,69.4 µs,,,
3,11.6 MB,10.3 GB,,,209 µs,67.6 µs,,,
4,11.6 MB,10.3 GB,,,205 µs,65.8 µs,,,
5,11.6 MB,10.3 GB,,,201 µs,64.0 µs,,,
6,11.6 MB,10.3 GB,,,196 µs,62.2 µs,,,
7,11.6 MB,10.3 GB,,,192 µs,60.4 µs,,,
8,11.6 MB,10.3 GB,,,188 µs,58.6 µs,,,
9,11.6 MB,10.3 GB,,,184 µs,56.8 µs,,,
10,11.6 MB,10.3 GB,,,179 µs,55.0 µs,,,
11,11.6 MB,10.3 GB,,,175 µs,53.1 µs,,,
12,11.6 MB,10.3 GB,,,171 µs,51.3 µs,,,
13,11.6 MB,10.3 GB,,,167 µs,49.5 µs,,,
14,11.6 MB,10.3 GB,,,162 µs,47.7 µs,,,
15,11.6 MB,10.3 GB,,,158 µs,45.9 µs,,,
16,11.6 MB,10.3 GB,,,154 µs,,,,
17,11.6 MB,10.3 GB,,,53.1 µs,,,,
18,11.6 MB,10.3 GB,,,53.1 µs,,,,
19,11.6 MB,10.3 GB,,,53.1 µs,,,,
20,11.6 MB,14.8 GB,,,53.1 µs,159 ms,,,
21,11.6 MB,14.8 GB,,,68.5 µs,167 ms,,,
22,16.7 MB,14.8 GB,,,1.86 ms,176 ms,,,
23,16.7 MB,14.8 GB,,,1.93 ms,184 ms,,,
24,16.7 MB,14.8 GB,,,2.01 ms,193 ms,,,
25,16.7 MB,14.8 GB,,,2.08 ms,202 ms,,,
26,16.7 MB,14.8 GB,,,2.16 ms,210 ms,,,
27,16.7 MB,14.8 GB,,,2.23 ms,219 ms,,,
28,16.7 MB,14.8 GB,,,2.31 ms,227 ms,,,
29,16.7 MB,14.8 GB,,,2.39 ms,236 ms,,,
30,16.7 MB,14.8 GB,,,2.46 ms,245 ms,,,
31,16.7 MB,14.8 GB,,,2.54 ms,253 ms,,,
32,16.7 MB,14.8 GB,,,2.61 ms,262 ms,,,
33,16.7 MB,14.8 GB,,,2.69 ms,271 ms,,,
34,16.7 MB,14.8 GB,,,2.73 ms,279 ms,,,
35,16.7 MB,14.8 GB,,,2.80 ms,288 ms,,,
36,16.7 MB,20.3 GB,,,2.88 ms,1.41 s,,,
37,18.3 MB,20.3 GB,,,2.22 ms,1.45 s,,,
38,18.3 MB,20.3 GB,,,2.28 ms,1.49 s,,,
39,18.3 MB,20.3 GB,,,2.33 ms,1.53 s,,,
40,18.3 MB,20.3 GB,,,2.39 ms,1.58 s,,,
41,18.3 MB,20.3 GB,,,2.45 ms,1.62 s,,,
42,18.3 MB,20.3 GB,,,2.51 ms,1.66 s,,,
43,18.3 MB,20.3 GB,,,2.56 ms,1.70 s,,,
44,18.3 MB,20.3 GB,,,2.62 ms,1.74 s,,,
45,18.3 MB,20.3 GB,,,2.68 ms,1.78 s,,,
46,18.3 MB,20.3 GB,,,2.73 ms,1.82 s,,,
47,18.3 MB,20.3 GB,,,2.79 ms,2.47 s,,,
48,18.3 MB,20.3 GB,,,2.85 ms,2.52 s,,,
49,18.3 MB,20.3 GB,,,2.91 ms,2.57 s,,,
50,18.3 MB,20.3 GB,,,2.96 ms,2.63 s,,,
51,18.3 MB,20.3 GB,,,3.02 ms,2.68 s,,,
52,17.9 MB,20.3 GB,,,2.38 ms,2.74 s,,,
53,17.9 MB,20.3 GB,,,2.43 ms,2.79 s,,,
54,17.9 MB,20.3 GB,,,2.47 ms,2.85 s,,,
55,17.9 MB,20.3 GB,,,2.51 ms,2.90 s,,,
56,17.9 MB,20.3 GB,,,2.56 ms,2.95 s,,,
57,17.9 MB,20.3 GB,,,2.60 ms,3.01 s,,,
58,17.9 MB,20.3 GB,,,2.60 ms,3.06 s,,,
59,17.9 MB,20.3 GB,,,2.60 ms,3.12 s,,,
60,17.9 MB,20.3 GB,,,2.60 ms,3.72 s,,,
61,17.9 MB,20.3 GB,,,2.60 ms,3.79 s,,,
62,17.9 MB,20.3 GB,,,979 µs,3.92 s,,,
63,17.9 MB,20.3 GB,,,1000 µs,4.00 s,,,
64,17.9 MB,20.3 GB,,,1.02 ms,4.09 s,,,
65,17.9 MB,20.3 GB,,,923 µs,4.18 s,,,
66,17.9 MB,20.3 GB,,,1.09 ms,4.27 s,,,
67,17.9 MB,20.3 GB,,,1.09 ms,4.36 s,,,
68,17.9 MB,20.3 GB,,,1.09 ms,4.45 s,,,
69,17.9 MB,20.3 GB,,,1.09 ms,4.54 s,,,
70,17.9 MB,20.3 GB,,,1.09 ms,4.71 s,,,
71,17.9 MB,20.3 GB,,,1.09 ms,4.80 s,,,
72,17.9 MB,20.3 GB,,,1.09 ms,4.89 s,,,
73,17.9 MB,20.3 GB,,,1.09 ms,4.98 s,,,
74,17.9 MB,20.3 GB,,,1.09 ms,5.07 s,,,
75,17.9 MB,20.3 GB,,,1.09 ms,5.16 s,,,
76,17.9 MB,20.3 GB,,,1.09 ms,5.25 s,,,
77,17.9 MB,20.3 GB,,,1.09 ms,5.34 s,,,
78,17.9 MB,20.3 GB,,,1.09 ms,5.42 s,,,
79,17.9 MB,20.3 GB,,,1.09 ms,5.42 s,,,
80,17.9 MB,20.3 GB,,,1.09 ms,4.83 s,,,
81,17.9 MB,20.3 GB,,,924 µs,4.93 s,,,
82,17.9 MB,20.3 GB,,,633 µs,4.35 s,,,
83,17.9 MB,20.3 GB,,,620 µs,4.35 s,,,
84,18.0 MB,20.3 GB,,,781 µs,4.92 s,,,
85,18.0 MB,20.3 GB,,,781 µs,4.82 s,,,
86,18.0 MB,20.3 GB,,,781 µs,4.73 s,,,
87,18.0 MB,20.3 GB,,,781 µs,4.63 s,,,
88,18.0 MB,20.3 GB,,,781 µs,4.53 s,,,
89,18.0 MB,20.3 GB,,,781 µs,4.44 s,,,
90,18.0 MB,20.3 GB,,,781 µs,5.79 s,,,
91,18.0 MB,20.3 GB,3.42 MB,3.24 MB,781 µs,5.79 s,,,0%
92,18.0 MB,20.3 GB,3.42 MB,3.24 MB,781 µs,5.79 s,,,0%
93,18.0 MB,20.3 GB,3.42 MB,3.24 MB,781 µs,5.79 s,,,0%
94,18.0 MB,20.3 GB,3.42 MB,3.24 MB,781 µs,5.79 s,,,0%
95,18.0 MB,20.3 GB,3.42 MB,3.24 MB,781 µs,5.79 s,,,0%
96,18.0 MB,20.3 GB,3.42 MB,3.24 MB,781 µs,5.79 s,,,0%
97,18.0 MB,20.3 GB,3.42 MB,3.24 MB,797 µs,5.79 s,,,0%
98,18.0 MB,20.3 GB,3.42 MB,3.24 MB,797 µs,5.79 s,,,0%
99,18.0 MB,20.3 GB,3.42 MB,3.24 MB,797 µs,5.79 s,,,0%
100,18.0 MB,20.3 GB,3.42 MB,3.24 MB,797 µs,5.79 s,,,0%
101,18.0 MB,20.3 GB,3.42 MB,3.24 MB,664 µs,5.79 s,,,0%
102,18.0 MB,20.3 GB,3.42 MB,3.24 MB,650 µs,5.79 s,,,0%
103,18.1 MB,20.3 GB,3.42 MB,3.24 MB,805 µs,5.79 s,,,0%
104,18.1 MB,20.3 GB,3.42 MB,2.94 GB,805 µs,5.79 s,,137 ms,0%
105,18.1 MB,20.3 GB,3.42 MB,2.94 GB,805 µs,5.79 s,,147 ms,0%
106,18.1 MB,20.3 GB,3.42 MB,2.94 GB,805 µs,4.87 s,,156 ms,0%
107,18.1 MB,20.3 GB,3.42 MB,2.94 GB,805 µs,5.55 s,,166 ms,0%
108,18.1 MB,20.3 GB,7.14 MB,2.94 GB,805 µs,5.55 s,2.02 ms,176 ms,0%
109,18.1 MB,20.3 GB,7.14 MB,2.94 GB,805 µs,5.55 s,2.12 ms,186 ms,0%
110,18.1 MB,20.3 GB,7.14 MB,2.94 GB,805 µs,5.55 s,2.22 ms,196 ms,0%
111,18.1 MB,20.3 GB,7.14 MB,2.94 GB,805 µs,5.55 s,2.33 ms,205 ms,0%
112,18.1 MB,20.3 GB,7.14 MB,2.94 GB,811 µs,5.55 s,2.43 ms,215 ms,0%
113,18.1 MB,20.3 GB,7.14 MB,2.94 GB,811 µs,5.55 s,2.53 ms,225 ms,0%
114,18.1 MB,20.3 GB,7.14 MB,2.94 GB,811 µs,5.55 s,2.63 ms,235 ms,0%
115,18.1 MB,20.3 GB,7.14 MB,2.94 GB,811 µs,5.55 s,2.73 ms,245 ms,0%
116,18.1 MB,20.3 GB,7.14 MB,2.94 GB,811 µs,5.55 s,2.84 ms,255 ms,47%
117,18.1 MB,20.3 GB,7.14 MB,2.94 GB,811 µs,5.55 s,2.94 ms,264 ms,45%
118,18.1 MB,20.3 GB,8.43 MB,6.68 GB,811 µs,5.55 s,2.78 ms,263 ms,45%
119,18.1 MB,20.3 GB,8.43 MB,6.68 GB,811 µs,5.55 s,2.87 ms,272 ms,13%
120,18.3 MB,20.3 GB,8.43 MB,6.68 GB,746 µs,4.81 s,2.96 ms,282 ms,68%
121,18.3 MB,20.3 GB,8.43 MB,6.68 GB,746 µs,4.81 s,3.06 ms,291 ms,37%
122,18.3 MB,20.3 GB,8.43 MB,6.68 GB,746 µs,4.81 s,3.15 ms,301 ms,50%
123,18.3 MB,20.3 GB,8.43 MB,6.68 GB,746 µs,4.81 s,3.24 ms,310 ms,57%
124,18.3 MB,20.3 GB,8.43 MB,6.68 GB,746 µs,4.81 s,3.34 ms,320 ms,39%
125,18.3 MB,20.3 GB,8.43 MB,6.68 GB,717 µs,4.81 s,3.43 ms,329 ms,34%
126,18.3 MB,20.3 GB,8.43 MB,6.68 GB,717 µs,4.81 s,3.52 ms,338 ms,68%
127,18.3 MB,20.3 GB,8.43 MB,6.68 GB,717 µs,4.81 s,3.61 ms,348 ms,33%
128,18.3 MB,20.3 GB,8.43 MB,6.68 GB,717 µs,4.81 s,3.71 ms,357 ms,25%
129,18.3 MB,20.3 GB,8.43 MB,6.68 GB,717 µs,4.81 s,3.80 ms,367 ms,18%
130,18.3 MB,20.3 GB,8.43 MB,6.68 GB,717 µs,3.34 s,3.89 ms,376 ms,21%
131,18.3 MB,20.3 GB,8.43 MB,6.68 GB,717 µs,2.47 s,3.99 ms,386 ms,19%
132,18.3 MB,20.3 GB,8.43 MB,6.68 GB,717 µs,2.52 s,4.08 ms,395 ms,67%
133,18.3 MB,20.3 GB,9.40 MB,6.68 GB,717 µs,2.57 s,3.76 ms,404 ms,20%
134,18.3 MB,20.3 GB,9.40 MB,6.68 GB,612 µs,2.62 s,3.85 ms,327 ms,31%
135,18.3 MB,20.3 GB,9.40 MB,6.68 GB,612 µs,3.05 s,3.93 ms,327 ms,21%
136,18.3 MB,20.3 GB,9.40 MB,6.68 GB,612 µs,3.05 s,4.01 ms,327 ms,42%
137,18.3 MB,20.3 GB,9.40 MB,6.68 GB,612 µs,3.05 s,4.10 ms,427 ms,24%
138,18.3 MB,20.3 GB,9.40 MB,6.68 GB,612 µs,3.05 s,4.18 ms,436 ms,32%
139,18.3 MB,20.3 GB,9.40 MB,6.68 GB,612 µs,3.05 s,4.26 ms,445 ms,56%
140,18.3 MB,20.3 GB,9.40 MB,6.68 GB,612 µs,3.05 s,4.35 ms,454 ms,0%
141,18.3 MB,20.3 GB,9.40 MB,6.68 GB,612 µs,3.05 s,4.43 ms,463 ms,15%
142,18.3 MB,20.3 GB,9.40 MB,6.68 GB,612 µs,3.05 s,4.51 ms,472 ms,34%
143,18.3 MB,20.3 GB,9.40 MB,6.68 GB,612 µs,3.05 s,4.60 ms,481 ms,21%
144,18.3 MB,20.3 GB,9.40 MB,6.68 GB,390 µs,3.05 s,4.68 ms,490 ms,46%
145,18.3 MB,20.3 GB,9.40 MB,6.68 GB,398 µs,3.05 s,4.76 ms,500 ms,23%
146,18.3 MB,20.3 GB,9.40 MB,6.68 GB,478 µs,2.60 s,4.85 ms,509 ms,30%
147,18.3 MB,20.3 GB,9.40 MB,6.68 GB,478 µs,2.55 s,4.93 ms,518 ms,19%
148,18.3 MB,20.3 GB,9.40 MB,6.68 GB,478 µs,2.50 s,4.24 ms,527 ms,42%
149,18.3 MB,20.3 GB,9.40 MB,6.68 GB,478 µs,2.10 s,4.16 ms,523 ms,31%
150,18.3 MB,20.3 GB,9.40 MB,6.68 GB,404 µs,772 ms,4.08 ms,532 ms,52%
151,18.4 MB,20.3 GB,9.40 MB,6.68 GB,443 µs,912 ms,2.61 ms,516 ms,41%
152,18.4 MB,20.3 GB,10.2 MB,6.68 GB,443 µs,912 ms,3.98 ms,516 ms,39%
153,18.4 MB,20.3 GB,10.2 MB,6.68 GB,443 µs,912 ms,3.98 ms,516 ms,17%
154,18.4 MB,20.3 GB,10.2 MB,6.68 GB,443 µs,912 ms,3.98 ms,516 ms,53%
155,18.4 MB,20.3 GB,10.2 MB,6.68 GB,443 µs,912 ms,3.98 ms,516 ms,44%
156,18.4 MB,20.3 GB,10.2 MB,6.68 GB,443 µs,912 ms,3.98 ms,516 ms,67%
157,18.4 MB,20.3 GB,10.2 MB,6.68 GB,443 µs,912 ms,3.98 ms,516 ms,22%
158,18.4 MB,20.3 GB,10.2 MB,6.68 GB,443 µs,912 ms,3.98 ms,516 ms,43%
159,18.4 MB,20.3 GB,10.2 MB,6.68 GB,443 µs,912 ms,3.98 ms,516 ms,43%
160,18.4 MB,20.3 GB,10.2 MB,6.68 GB,443 µs,912 ms,3.98 ms,516 ms,48%
161,18.4 MB,20.3 GB,10.2 MB,6.68 GB,443 µs,912 ms,3.98 ms,516 ms,39%
162,18.4 MB,20.3 GB,10.2 MB,6.68 GB,443 µs,912 ms,3.98 ms,516 ms,23%
163,18.4 MB,20.3 GB,10.2 MB,6.68 GB,297 µs,689 ms,3.98 ms,516 ms,40%
164,18.4 MB,20.3 GB,10.2 MB,6.68 GB,351 µs,689 ms,3.98 ms,503 ms,42%
165,18.4 MB,20.3 GB,10.2 MB,6.68 GB,340 µs,689 ms,3.98 ms,503 ms,43%
166,18.4 MB,20.3 GB,10.2 MB,6.68 GB,340 µs,689 ms,3.98 ms,420 ms,39%
167,18.4 MB,20.3 GB,10.2 MB,6.68 GB,340 µs,126 µs,3.98 ms,497 ms,30%
168,18.4 MB,20.3 GB,11.2 MB,6.68 GB,340 µs,126 µs,3.79 ms,497 ms,26%
169,18.4 MB,20.3 GB,11.2 MB,6.68 GB,340 µs,126 µs,3.79 ms,497 ms,40%
170,18.4 MB,20.3 GB,11.2 MB,6.68 GB,340 µs,126 µs,3.79 ms,497 ms,33%
171,18.4 MB,20.3 GB,11.2 MB,6.68 GB,340 µs,126 µs,3.79 ms,497 ms,8%
172,18.4 MB,20.3 GB,11.2 MB,6.68 GB,340 µs,126 µs,3.79 ms,497 ms,43%
173,18.4 MB,20.3 GB,11.2 MB,6.68 GB,340 µs,126 µs,3.79 ms,497 ms,43%
174,18.4 MB,20.3 GB,11.2 MB,6.68 GB,340 µs,126 µs,3.79 ms,497 ms,38%
175,18.4 MB,20.3 GB,11.2 MB,6.68 GB,340 µs,126 µs,3.79 ms,497 ms,40%
176,18.4 MB,20.3 GB,11.2 MB,6.68 GB,340 µs,126 µs,3.79 ms,497 ms,19%
177,18.4 MB,20.3 GB,11.2 MB,6.68 GB,340 µs,126 µs,3.79 ms,497 ms,43%
178,18.4 MB,20.3 GB,11.2 MB,6.68 GB,340 µs,126 µs,3.76 ms,389 ms,43%
179,18.4 MB,20.3 GB,11.2 MB,6.68 GB,328 µs,128 µs,3.76 ms,397 ms,21%
180,18.4 MB,20.3 GB,11.2 MB,6.68 GB,332 µs,118 µs,3.76 ms,406 ms,37%
181,18.4 MB,20.3 GB,11.2 MB,6.68 GB,332 µs,118 µs,3.76 ms,414 ms,24%
182,18.4 MB,20.3 GB,10.8 MB,6.68 GB,332 µs,118 µs,3.79 ms,422 ms,34%
183,18.4 MB,20.3 GB,10.8 MB,6.68 GB,332 µs,118 µs,3.79 ms,490 ms,43%
184,18.4 MB,20.3 GB,10.8 MB,6.68 GB,332 µs,118 µs,3.79 ms,490 ms,43%
185,18.4 MB,20.3 GB,10.8 MB,6.68 GB,332 µs,118 µs,3.79 ms,490 ms,0%
186,18.4 MB,20.3 GB,10.8 MB,6.68 GB,332 µs,118 µs,3.79 ms,490 ms,0%
187,18.4 MB,20.3 GB,10.8 MB,6.68 GB,332 µs,118 µs,3.79 ms,490 ms,0%
188,18.4 MB,20.3 GB,10.8 MB,6.68 GB,332 µs,118 µs,3.79 ms,490 ms,0%
189,18.4 MB,20.3 GB,10.8 MB,6.68 GB,332 µs,118 µs,3.79 ms,490 ms,0%
190,18.4 MB,20.3 GB,10.8 MB,6.68 GB,332 µs,118 µs,3.79 ms,490 ms,0%
191,18.4 MB,20.3 GB,10.8 MB,6.68 GB,332 µs,105 µs,3.79 ms,490 ms,0%
192,18.4 MB,20.3 GB,10.8 MB,6.68 GB,332 µs,107 µs,3.79 ms,417 ms,0%
193,18.4 MB,20.3 GB,10.8 MB,6.68 GB,332 µs,127 µs,3.12 ms,417 ms,0%
194,18.4 MB,20.3 GB,10.8 MB,6.68 GB,258 µs,127 µs,3.18 ms,417 ms,0%
195,18.4 MB,20.3 GB,10.8 MB,6.68 GB,249 µs,111 µs,3.25 ms,417 ms,0%
196,18.4 MB,20.3 GB,10.8 MB,6.68 GB,249 µs,111 µs,3.85 ms,417 ms,0%
197,18.4 MB,20.3 GB,10.8 MB,6.68 GB,249 µs,111 µs,3.85 ms,401 ms,0%
198,18.4 MB,20.3 GB,10.8 MB,6.68 GB,249 µs,111 µs,3.85 ms,401 ms,0%
