step,ram-cpu_queue-proxy,ram-cpu_user-container,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu_queue-proxy,cpu-cpu_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,gpu_gpu_0
92,17.7 MB,20.3 GB,3.69 MB,2.44 MB,651 µs,5.82 s,,,0%
93,17.7 MB,20.3 GB,3.69 MB,2.44 MB,556 µs,5.82 s,,,0%
94,17.7 MB,20.3 GB,3.69 MB,2.44 MB,719 µs,5.82 s,,,0%
95,17.7 MB,20.3 GB,3.69 MB,2.44 MB,719 µs,5.82 s,,,0%
96,17.7 MB,20.3 GB,3.69 MB,2.44 MB,719 µs,5.82 s,,,0%
97,17.7 MB,20.3 GB,3.69 MB,2.44 MB,719 µs,5.82 s,,,0%
98,17.7 MB,20.3 GB,3.69 MB,2.44 MB,719 µs,5.82 s,,,0%
99,17.7 MB,20.3 GB,3.69 MB,2.44 MB,739 µs,5.72 s,,,0%
100,17.7 MB,20.3 GB,3.69 MB,2.44 MB,739 µs,5.72 s,,,0%
101,17.7 MB,20.3 GB,3.69 MB,2.44 MB,739 µs,5.72 s,,,0%
102,17.7 MB,20.3 GB,3.69 MB,2.61 GB,739 µs,5.72 s,,132 ms,0%
103,17.7 MB,20.3 GB,7.55 MB,2.61 GB,739 µs,5.72 s,1.78 ms,141 ms,0%
104,17.7 MB,20.3 GB,7.55 MB,2.61 GB,739 µs,5.72 s,1.88 ms,151 ms,0%
105,17.8 MB,20.3 GB,7.55 MB,2.61 GB,706 µs,5.72 s,1.99 ms,161 ms,0%
106,17.8 MB,20.3 GB,7.55 MB,2.61 GB,706 µs,5.72 s,2.10 ms,171 ms,0%
107,17.8 MB,20.3 GB,7.55 MB,2.61 GB,706 µs,5.71 s,2.21 ms,181 ms,0%
108,17.8 MB,20.3 GB,7.55 MB,2.61 GB,706 µs,5.71 s,2.32 ms,191 ms,0%
109,17.8 MB,20.3 GB,7.55 MB,2.61 GB,706 µs,5.71 s,2.43 ms,201 ms,0%
110,17.8 MB,20.3 GB,7.55 MB,2.61 GB,706 µs,5.71 s,2.53 ms,211 ms,0%
111,17.8 MB,20.3 GB,7.55 MB,2.61 GB,570 µs,5.71 s,2.64 ms,221 ms,0%
112,17.8 MB,20.3 GB,7.55 MB,2.61 GB,582 µs,5.71 s,2.75 ms,231 ms,0%
113,17.8 MB,20.3 GB,7.55 MB,2.61 GB,674 µs,5.71 s,2.86 ms,241 ms,0%
114,17.8 MB,20.3 GB,7.55 MB,2.61 GB,674 µs,5.71 s,2.97 ms,251 ms,0%
115,17.8 MB,20.3 GB,7.55 MB,2.61 GB,674 µs,5.71 s,3.07 ms,185 ms,0%
116,18.1 MB,20.3 GB,7.55 MB,5.87 GB,687 µs,5.71 s,3.18 ms,224 ms,0%
117,18.1 MB,20.3 GB,7.55 MB,5.87 GB,687 µs,5.59 s,3.29 ms,232 ms,0%
118,18.1 MB,20.3 GB,8.00 MB,5.87 GB,687 µs,5.59 s,2.63 ms,240 ms,0%
119,18.1 MB,20.3 GB,8.00 MB,5.87 GB,687 µs,5.59 s,2.71 ms,249 ms,0%
120,18.1 MB,20.3 GB,8.00 MB,5.87 GB,687 µs,5.59 s,2.80 ms,257 ms,0%
121,18.1 MB,20.3 GB,8.00 MB,5.87 GB,687 µs,5.59 s,2.88 ms,265 ms,0%
122,18.1 MB,20.3 GB,8.00 MB,5.87 GB,687 µs,5.59 s,2.96 ms,273 ms,0%
123,18.1 MB,20.3 GB,8.00 MB,5.87 GB,687 µs,5.59 s,3.04 ms,281 ms,24%
124,18.1 MB,20.3 GB,8.00 MB,5.87 GB,687 µs,5.59 s,3.12 ms,290 ms,68%
125,18.1 MB,20.3 GB,8.00 MB,5.87 GB,687 µs,4.51 s,3.21 ms,298 ms,25%
126,18.1 MB,20.3 GB,8.00 MB,5.87 GB,687 µs,5.41 s,3.29 ms,306 ms,25%
127,18.1 MB,20.3 GB,8.00 MB,5.87 GB,755 µs,5.41 s,3.37 ms,314 ms,24%
128,18.1 MB,20.3 GB,8.00 MB,5.87 GB,755 µs,5.41 s,3.45 ms,322 ms,31%
129,18.1 MB,20.3 GB,8.00 MB,6.66 GB,755 µs,5.41 s,3.53 ms,282 ms,19%
130,17.9 MB,20.3 GB,8.00 MB,6.66 GB,690 µs,5.41 s,3.62 ms,289 ms,23%
131,17.9 MB,20.3 GB,8.00 MB,6.66 GB,690 µs,5.41 s,3.70 ms,296 ms,42%
132,17.9 MB,20.3 GB,8.00 MB,6.66 GB,690 µs,5.41 s,3.78 ms,303 ms,26%
133,17.9 MB,20.3 GB,8.00 MB,6.66 GB,690 µs,5.41 s,3.86 ms,310 ms,70%
134,17.9 MB,20.3 GB,8.00 MB,6.66 GB,690 µs,4.20 s,3.17 ms,317 ms,27%
135,17.9 MB,20.3 GB,9.42 MB,6.66 GB,690 µs,4.20 s,3.49 ms,324 ms,37%
136,17.9 MB,20.3 GB,9.42 MB,6.66 GB,690 µs,4.20 s,3.56 ms,331 ms,42%
137,17.9 MB,20.3 GB,9.42 MB,6.66 GB,690 µs,4.20 s,3.63 ms,338 ms,42%
138,17.9 MB,20.3 GB,9.42 MB,6.66 GB,512 µs,4.20 s,3.70 ms,345 ms,32%
139,17.9 MB,20.3 GB,9.42 MB,6.66 GB,522 µs,4.20 s,3.77 ms,352 ms,70%
140,17.9 MB,20.3 GB,9.42 MB,6.66 GB,603 µs,4.20 s,3.84 ms,359 ms,42%
141,17.9 MB,20.3 GB,9.42 MB,6.66 GB,603 µs,4.20 s,3.91 ms,366 ms,41%
142,17.9 MB,20.3 GB,9.42 MB,6.66 GB,603 µs,4.20 s,3.98 ms,373 ms,20%
143,17.9 MB,20.3 GB,9.42 MB,6.66 GB,525 µs,4.20 s,4.05 ms,402 ms,20%
144,17.9 MB,20.3 GB,9.42 MB,6.66 GB,515 µs,2.80 s,4.12 ms,410 ms,70%
145,17.9 MB,20.3 GB,9.42 MB,6.66 GB,505 µs,2.80 s,4.19 ms,417 ms,17%
146,17.9 MB,20.3 GB,10.6 MB,6.66 GB,495 µs,2.80 s,4.18 ms,424 ms,42%
147,18.0 MB,20.3 GB,10.6 MB,6.66 GB,512 µs,2.80 s,4.18 ms,432 ms,30%
148,18.0 MB,20.3 GB,10.6 MB,6.66 GB,512 µs,2.80 s,4.18 ms,439 ms,32%
149,18.0 MB,20.3 GB,10.6 MB,6.66 GB,512 µs,2.80 s,3.45 ms,399 ms,36%
150,18.0 MB,20.3 GB,10.6 MB,6.66 GB,512 µs,2.80 s,3.45 ms,399 ms,39%
151,18.0 MB,20.3 GB,10.6 MB,6.66 GB,512 µs,2.80 s,3.45 ms,399 ms,49%
152,18.0 MB,20.3 GB,10.6 MB,6.66 GB,512 µs,2.80 s,3.45 ms,399 ms,19%
153,18.0 MB,20.3 GB,10.6 MB,6.66 GB,512 µs,2.80 s,3.45 ms,399 ms,20%
154,18.0 MB,20.3 GB,10.6 MB,6.66 GB,489 µs,2.80 s,3.45 ms,424 ms,45%
155,18.0 MB,20.3 GB,10.6 MB,6.66 GB,489 µs,2.80 s,3.45 ms,424 ms,25%
156,18.0 MB,20.3 GB,10.6 MB,6.66 GB,489 µs,2.21 s,3.45 ms,424 ms,21%
157,18.0 MB,20.3 GB,11.2 MB,6.66 GB,489 µs,2.21 s,3.58 ms,424 ms,42%
158,18.0 MB,20.3 GB,11.2 MB,6.66 GB,489 µs,2.21 s,3.58 ms,424 ms,26%
159,18.0 MB,20.3 GB,11.2 MB,6.66 GB,489 µs,704 ms,3.58 ms,424 ms,67%
160,18.0 MB,20.3 GB,11.2 MB,6.66 GB,489 µs,718 ms,3.58 ms,424 ms,43%
161,18.0 MB,20.3 GB,11.2 MB,6.66 GB,489 µs,732 ms,3.58 ms,424 ms,55%
162,18.0 MB,20.3 GB,11.2 MB,6.66 GB,420 µs,852 ms,3.58 ms,431 ms,43%
163,18.0 MB,20.3 GB,11.2 MB,6.66 GB,412 µs,852 ms,3.62 ms,431 ms,21%
164,18.4 MB,20.3 GB,11.2 MB,6.66 GB,468 µs,852 ms,3.62 ms,431 ms,59%
165,18.4 MB,20.3 GB,11.2 MB,6.66 GB,407 µs,852 ms,3.62 ms,431 ms,19%
166,18.4 MB,20.3 GB,11.2 MB,6.66 GB,407 µs,852 ms,3.62 ms,431 ms,19%
167,18.4 MB,20.3 GB,11.2 MB,6.66 GB,407 µs,852 ms,3.62 ms,431 ms,28%
168,18.4 MB,20.3 GB,11.2 MB,6.66 GB,407 µs,852 ms,3.62 ms,376 ms,15%
169,18.4 MB,20.3 GB,11.3 MB,6.66 GB,407 µs,852 ms,3.66 ms,451 ms,22%
170,18.4 MB,20.3 GB,11.3 MB,6.66 GB,407 µs,629 ms,3.66 ms,451 ms,43%
171,18.4 MB,20.3 GB,11.3 MB,6.66 GB,407 µs,629 ms,3.66 ms,451 ms,43%
172,18.4 MB,20.3 GB,11.3 MB,6.66 GB,407 µs,629 ms,3.66 ms,451 ms,47%
173,18.4 MB,20.3 GB,11.3 MB,6.66 GB,407 µs,629 ms,3.66 ms,451 ms,32%
174,18.4 MB,20.3 GB,11.3 MB,6.66 GB,407 µs,629 ms,3.66 ms,451 ms,40%
175,18.4 MB,20.3 GB,11.3 MB,6.66 GB,407 µs,629 ms,3.66 ms,451 ms,20%
176,18.4 MB,20.3 GB,11.3 MB,6.66 GB,369 µs,629 ms,3.66 ms,510 ms,70%
177,18.4 MB,20.3 GB,11.3 MB,6.66 GB,369 µs,102 µs,3.66 ms,510 ms,69%
178,18.1 MB,20.3 GB,11.3 MB,6.66 GB,359 µs,104 µs,3.28 ms,510 ms,26%
179,18.1 MB,20.3 GB,11.3 MB,6.66 GB,359 µs,106 µs,3.34 ms,510 ms,19%
180,18.1 MB,20.3 GB,11.3 MB,6.66 GB,359 µs,108 µs,3.41 ms,510 ms,43%
181,18.1 MB,20.3 GB,11.3 MB,6.66 GB,359 µs,123 µs,3.48 ms,510 ms,18%
182,18.1 MB,20.3 GB,11.3 MB,6.66 GB,359 µs,123 µs,3.49 ms,510 ms,43%
183,18.1 MB,20.3 GB,11.3 MB,6.66 GB,359 µs,108 µs,3.42 ms,510 ms,43%
184,18.1 MB,20.3 GB,11.3 MB,6.66 GB,359 µs,131 µs,3.36 ms,521 ms,28%
185,18.1 MB,20.3 GB,11.3 MB,6.66 GB,359 µs,131 µs,3.29 ms,521 ms,43%
186,18.1 MB,20.3 GB,11.3 MB,6.66 GB,359 µs,131 µs,3.22 ms,521 ms,21%
187,18.1 MB,20.3 GB,11.3 MB,6.66 GB,359 µs,131 µs,3.16 ms,521 ms,43%
188,18.1 MB,20.3 GB,11.0 MB,6.66 GB,359 µs,131 µs,3.88 ms,521 ms,22%
189,18.1 MB,20.3 GB,11.0 MB,6.66 GB,359 µs,131 µs,3.88 ms,524 ms,34%
190,18.1 MB,20.3 GB,11.0 MB,6.66 GB,297 µs,131 µs,3.88 ms,524 ms,35%
191,18.1 MB,20.3 GB,11.0 MB,6.66 GB,353 µs,131 µs,3.88 ms,524 ms,16%
192,18.1 MB,20.3 GB,11.0 MB,6.66 GB,353 µs,131 µs,3.88 ms,524 ms,43%
193,18.1 MB,20.3 GB,11.0 MB,6.66 GB,353 µs,131 µs,3.88 ms,524 ms,22%
194,18.1 MB,20.3 GB,11.0 MB,6.66 GB,353 µs,131 µs,3.88 ms,524 ms,43%
195,18.1 MB,20.3 GB,11.0 MB,6.66 GB,353 µs,120 µs,3.84 ms,524 ms,0%
196,18.1 MB,20.3 GB,11.0 MB,6.66 GB,353 µs,120 µs,3.84 ms,524 ms,0%
197,18.1 MB,20.3 GB,11.0 MB,6.66 GB,353 µs,120 µs,3.84 ms,524 ms,0%
198,18.1 MB,20.3 GB,11.0 MB,6.66 GB,353 µs,120 µs,3.84 ms,524 ms,0%
199,18.1 MB,20.3 GB,11.0 MB,6.66 GB,353 µs,120 µs,3.84 ms,524 ms,0%
200,18.1 MB,20.3 GB,11.0 MB,6.66 GB,353 µs,120 µs,3.84 ms,444 ms,0%
201,18.1 MB,20.3 GB,11.0 MB,6.66 GB,353 µs,120 µs,3.84 ms,455 ms,0%
202,18.1 MB,20.3 GB,11.0 MB,6.66 GB,353 µs,120 µs,3.84 ms,455 ms,0%
203,18.1 MB,20.3 GB,11.0 MB,6.66 GB,353 µs,120 µs,3.84 ms,441 ms,0%
204,18.1 MB,20.3 GB,11.0 MB,6.66 GB,353 µs,121 µs,3.25 ms,441 ms,0%
205,18.1 MB,20.3 GB,11.0 MB,6.66 GB,353 µs,121 µs,3.19 ms,441 ms,0%
206,18.1 MB,20.3 GB,11.0 MB,6.66 GB,299 µs,106 µs,3.09 ms,441 ms,0%
207,18.1 MB,20.3 GB,11.0 MB,6.66 GB,209 µs,106 µs,2.80 ms,441 ms,0%
208,18.1 MB,20.3 GB,11.0 MB,6.66 GB,247 µs,106 µs,2.80 ms,441 ms,0%
209,18.1 MB,20.3 GB,11.0 MB,6.66 GB,247 µs,106 µs,2.80 ms,441 ms,0%
210,18.1 MB,20.3 GB,11.0 MB,6.66 GB,247 µs,106 µs,2.80 ms,441 ms,0%
211,18.1 MB,20.3 GB,11.0 MB,6.66 GB,247 µs,106 µs,2.80 ms,441 ms,0%
212,18.1 MB,20.3 GB,11.0 MB,6.66 GB,247 µs,106 µs,2.80 ms,441 ms,0%
213,18.1 MB,20.3 GB,11.0 MB,6.66 GB,247 µs,106 µs,2.80 ms,354 ms,0%
214,18.1 MB,20.3 GB,11.0 MB,6.66 GB,247 µs,106 µs,2.80 ms,303 ms,0%
215,18.1 MB,20.3 GB,11.0 MB,6.66 GB,247 µs,106 µs,2.80 ms,303 ms,0%
216,18.1 MB,20.3 GB,11.0 MB,6.66 GB,247 µs,86.1 µs,2.80 ms,303 ms,0%
217,18.1 MB,20.3 GB,11.0 MB,6.66 GB,247 µs,98.3 µs,2.48 ms,303 ms,0%
218,18.1 MB,20.3 GB,11.0 MB,6.66 GB,247 µs,98.3 µs,2.48 ms,303 ms,0%
219,18.1 MB,20.3 GB,11.0 MB,6.66 GB,247 µs,86.4 µs,2.48 ms,303 ms,0%
220,18.1 MB,20.3 GB,11.0 MB,6.66 GB,247 µs,84.8 µs,1.94 ms,303 ms,0%
221,18.1 MB,20.3 GB,11.0 MB,6.66 GB,247 µs,83.1 µs,1.94 ms,303 ms,0%
222,18.1 MB,20.3 GB,11.0 MB,6.66 GB,247 µs,81.5 µs,1.94 ms,303 ms,0%
223,18.1 MB,20.3 GB,11.0 MB,6.66 GB,210 µs,79.8 µs,1.94 ms,303 ms,0%
224,18.1 MB,20.3 GB,11.0 MB,6.66 GB,170 µs,78.2 µs,1.94 ms,303 ms,0%
225,18.1 MB,20.3 GB,11.0 MB,6.66 GB,166 µs,76.6 µs,1.94 ms,303 ms,0%
226,18.1 MB,20.3 GB,11.0 MB,6.66 GB,163 µs,74.9 µs,1.94 ms,303 ms,0%
227,18.1 MB,20.3 GB,11.0 MB,6.66 GB,160 µs,73.3 µs,1.94 ms,303 ms,0%
228,18.1 MB,20.3 GB,11.0 MB,6.66 GB,156 µs,71.6 µs,1.94 ms,303 ms,0%
229,18.1 MB,20.3 GB,11.0 MB,6.66 GB,153 µs,70.0 µs,724 µs,144 ms,0%
230,18.1 MB,20.3 GB,11.0 MB,6.66 GB,150 µs,35.5 µs,615 µs,142 ms,0%
231,18.1 MB,20.3 GB,11.0 MB,6.66 GB,146 µs,35.5 µs,627 µs,139 ms,0%
232,18.1 MB,20.3 GB,11.0 MB,6.66 GB,143 µs,42.2 µs,640 µs,136 ms,0%
233,18.1 MB,20.3 GB,11.0 MB,6.66 GB,139 µs,41.2 µs,750 µs,101 ms,0%
234,18.1 MB,20.3 GB,11.0 MB,6.66 GB,136 µs,40.1 µs,750 µs,101 ms,0%
235,18.1 MB,20.3 GB,11.0 MB,6.66 GB,133 µs,39.0 µs,750 µs,101 ms,0%
236,18.1 MB,20.3 GB,11.0 MB,6.66 GB,129 µs,37.9 µs,750 µs,101 ms,0%
237,18.1 MB,20.3 GB,11.0 MB,6.66 GB,126 µs,36.8 µs,750 µs,101 ms,0%
238,18.1 MB,20.3 GB,11.0 MB,6.66 GB,91.2 µs,35.8 µs,750 µs,101 ms,0%
239,18.1 MB,20.3 GB,11.0 MB,6.66 GB,88.8 µs,34.7 µs,750 µs,101 ms,0%
240,18.1 MB,20.3 GB,11.0 MB,6.66 GB,86.3 µs,33.6 µs,750 µs,101 ms,0%
241,18.1 MB,20.3 GB,11.0 MB,6.66 GB,83.9 µs,32.5 µs,750 µs,101 ms,0%
242,18.1 MB,20.3 GB,11.0 MB,6.66 GB,81.4 µs,31.4 µs,750 µs,101 ms,0%
243,18.1 MB,20.3 GB,11.0 MB,6.66 GB,79.0 µs,30.4 µs,750 µs,101 ms,0%
244,18.1 MB,20.3 GB,11.0 MB,6.66 GB,76.6 µs,22.8 µs,750 µs,485 µs,0%
245,18.1 MB,20.3 GB,11.0 MB,6.66 GB,74.1 µs,22.0 µs,645 µs,485 µs,0%
246,18.1 MB,20.3 GB,11.0 MB,6.66 GB,71.7 µs,21.1 µs,633 µs,485 µs,0%
247,18.1 MB,20.3 GB,11.0 MB,6.66 GB,69.2 µs,20.3 µs,634 µs,485 µs,0%
248,18.1 MB,20.3 GB,11.0 MB,6.66 GB,66.8 µs,19.4 µs,279 µs,485 µs,0%
249,18.1 MB,20.3 GB,11.0 MB,6.66 GB,64.4 µs,18.6 µs,285 µs,485 µs,0%
250,18.1 MB,20.3 GB,11.0 MB,6.66 GB,,17.8 µs,291 µs,407 µs,0%
251,18.1 MB,20.3 GB,11.0 MB,6.66 GB,,16.9 µs,296 µs,399 µs,0%
252,18.1 MB,20.3 GB,11.0 MB,6.66 GB,,16.1 µs,349 µs,466 µs,0%
