step,ram-cpu_queue-proxy,ram-cpu_user-container,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu_queue-proxy,cpu-cpu_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,gpu_gpu_0
0,8.32 MB,10.2 GB,,,82.2 µs,,,,
1,8.32 MB,10.2 GB,,,79.8 µs,,,,
2,11.7 MB,10.2 GB,,,77.5 µs,,,,
3,11.7 MB,10.2 GB,,,75.1 µs,,,,
4,11.7 MB,10.2 GB,,,72.8 µs,,,,
5,11.7 MB,10.2 GB,,,70.4 µs,,,,
6,11.7 MB,10.2 GB,,,68.0 µs,,,,
7,11.7 MB,10.2 GB,,,65.7 µs,,,,
8,11.7 MB,10.2 GB,,,63.3 µs,,,,
9,11.7 MB,10.2 GB,,,,,,,
10,11.7 MB,10.2 GB,,,,,,,
11,11.7 MB,10.2 GB,,,,,,,
12,11.7 MB,10.2 GB,,,,,,,
13,15.3 MB,10.2 GB,,,1.09 ms,,,,
14,15.3 MB,10.2 GB,,,1.16 ms,,,,
15,15.3 MB,10.2 GB,,,1.24 ms,,,,
16,15.3 MB,10.2 GB,,,1.32 ms,,,,
17,15.3 MB,13.6 GB,,,1.40 ms,133 ms,,,
18,15.3 MB,13.6 GB,,,1.48 ms,141 ms,,,
19,15.3 MB,13.6 GB,,,1.56 ms,150 ms,,,
20,15.3 MB,13.6 GB,,,1.63 ms,159 ms,,,
21,15.3 MB,13.6 GB,,,1.71 ms,167 ms,,,
22,15.3 MB,13.6 GB,,,1.79 ms,176 ms,,,
23,15.3 MB,13.6 GB,,,1.87 ms,184 ms,,,
24,15.3 MB,13.6 GB,,,1.95 ms,193 ms,,,
25,15.3 MB,13.6 GB,,,1.45 ms,202 ms,,,
26,15.3 MB,13.6 GB,,,1.45 ms,210 ms,,,
27,15.3 MB,13.6 GB,,,1.45 ms,219 ms,,,
28,17.0 MB,13.6 GB,,,2.02 ms,228 ms,,,
29,17.0 MB,13.6 GB,,,2.09 ms,236 ms,,,
30,17.0 MB,13.6 GB,,,2.16 ms,245 ms,,,
31,17.0 MB,13.6 GB,,,2.23 ms,253 ms,,,
32,17.0 MB,13.6 GB,,,2.30 ms,262 ms,,,
33,17.0 MB,13.6 GB,,,2.37 ms,191 ms,,,
34,17.0 MB,13.6 GB,,,2.44 ms,191 ms,,,
35,17.0 MB,13.6 GB,,,2.51 ms,191 ms,,,
36,17.0 MB,13.6 GB,,,2.58 ms,191 ms,,,
37,17.0 MB,20.5 GB,,,2.65 ms,1.48 s,,,
38,17.0 MB,20.5 GB,,,2.71 ms,1.52 s,,,
39,17.0 MB,20.5 GB,,,2.13 ms,1.56 s,,,
40,17.0 MB,20.5 GB,,,2.18 ms,1.61 s,,,
41,17.0 MB,20.5 GB,,,2.23 ms,1.65 s,,,
42,17.0 MB,20.5 GB,,,2.29 ms,1.69 s,,,
43,17.0 MB,20.5 GB,,,2.34 ms,1.73 s,,,
44,17.0 MB,20.5 GB,,,2.39 ms,1.77 s,,,
45,17.0 MB,20.5 GB,,,2.44 ms,1.81 s,,,
46,17.0 MB,20.5 GB,,,2.49 ms,1.86 s,,,
47,17.0 MB,20.5 GB,,,2.55 ms,1.90 s,,,
48,17.0 MB,20.5 GB,,,2.60 ms,1.94 s,,,
49,17.0 MB,20.5 GB,,,2.65 ms,1.98 s,,,
50,17.0 MB,20.5 GB,,,2.70 ms,2.02 s,,,
51,17.0 MB,20.5 GB,,,2.75 ms,2.06 s,,,
52,17.0 MB,20.5 GB,,,2.40 ms,2.99 s,,,
53,17.0 MB,20.5 GB,,,2.40 ms,3.05 s,,,
54,17.0 MB,20.5 GB,,,2.40 ms,3.11 s,,,
55,17.0 MB,20.5 GB,,,2.40 ms,3.16 s,,,
56,17.0 MB,20.5 GB,,,2.40 ms,3.22 s,,,
57,17.1 MB,20.5 GB,,,2.28 ms,3.28 s,,,
58,17.1 MB,20.5 GB,,,2.28 ms,3.34 s,,,
59,17.1 MB,20.5 GB,,,2.28 ms,3.40 s,,,
60,17.1 MB,20.5 GB,,,2.28 ms,3.46 s,,,
61,17.1 MB,20.5 GB,,,2.28 ms,3.52 s,,,
62,17.1 MB,20.5 GB,,,1.69 ms,3.81 s,,,
63,17.1 MB,20.5 GB,,,1.69 ms,3.89 s,,,
64,17.1 MB,20.5 GB,,,1.69 ms,3.97 s,,,
65,17.1 MB,20.5 GB,,,1.69 ms,4.05 s,,,
66,17.1 MB,20.5 GB,,,1.69 ms,4.13 s,,,
67,17.1 MB,20.5 GB,,,1.69 ms,4.21 s,,,
68,17.1 MB,20.5 GB,,,1.69 ms,4.29 s,,,
69,17.1 MB,20.5 GB,,,1.42 ms,4.37 s,,,
70,17.1 MB,20.5 GB,,,1.42 ms,4.45 s,,,
71,17.1 MB,20.5 GB,,,1.42 ms,4.90 s,,,
72,17.1 MB,20.5 GB,,,1.42 ms,4.99 s,,,
73,17.1 MB,20.5 GB,,,568 µs,5.08 s,,,
74,17.1 MB,20.5 GB,,,568 µs,5.16 s,,,
75,17.1 MB,20.5 GB,,,568 µs,5.25 s,,,
76,17.1 MB,20.5 GB,,,568 µs,5.25 s,,,
77,17.1 MB,20.5 GB,,,568 µs,4.92 s,,,
78,17.1 MB,20.5 GB,,,568 µs,5.60 s,,,
79,17.1 MB,20.5 GB,,,568 µs,5.70 s,,,
80,17.1 MB,20.5 GB,,,568 µs,5.80 s,,,
81,17.1 MB,20.5 GB,,,568 µs,5.90 s,,,
82,17.1 MB,20.5 GB,,,568 µs,5.95 s,,,
83,17.1 MB,20.5 GB,,,568 µs,5.95 s,,,
84,17.1 MB,20.5 GB,,,568 µs,5.95 s,,,
85,17.7 MB,20.5 GB,,,646 µs,5.95 s,,,
86,17.7 MB,20.5 GB,,,646 µs,5.92 s,,,
87,17.7 MB,20.5 GB,,,646 µs,5.92 s,,,
88,17.7 MB,20.5 GB,,,658 µs,5.92 s,,,
89,17.7 MB,20.5 GB,,,658 µs,5.92 s,,,
90,17.7 MB,20.5 GB,,,658 µs,5.92 s,,,
91,17.7 MB,20.5 GB,,,658 µs,5.92 s,,,
92,17.7 MB,20.5 GB,,,658 µs,5.92 s,,,
93,17.7 MB,20.5 GB,,,658 µs,5.92 s,,,
94,17.7 MB,20.5 GB,,,658 µs,5.92 s,,,
95,17.7 MB,20.5 GB,,,658 µs,5.92 s,,,
96,17.7 MB,20.5 GB,,,658 µs,5.92 s,,,
97,17.7 MB,20.5 GB,,,658 µs,5.92 s,,,
